Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Lukasz Gerstenstein,pl POL,MF,Śląsk Wrocław,17,2004,0.0,0,,,,,,,,,0,0,Matches
Krystian Getinger,pl POL,"MF,DF",Stal Mielec,33,1988,32.6,0,,,,,,,,,0,0,Matches
Virgil Ghiță,ro ROU,DF,Cracovia,24,1998,34.0,3,,,,,,,,,0,0,Matches
Guram Giorbelidze,ge GEO,DF,Zagłębie Lubin,26,1996,12.5,0,,,,,,,,,0,0,Matches
Marcus Godinho,ca CAN,"MF,DF",Korona Kielce,25,1997,6.7,1,,,,,,,,,0,0,Matches

Miroslav Gono,sk SVK,MF,Wisła Płock,21,2000,0.8,0,,,,,,,,,0,0,Matches
Alexander Gorgon,at AUT,"MF,FW",Pogoń Szczecin,33,1988,7.3,3,,,,,,,,,0,0,Matches
Bartłomiej Gradecki,pl POL,GK,Wisła Płock,22,1999,14.0,0,,,,,,,,,0,0,Matches
Jędrzej Grobelny,pl POL,GK,Warta Poznań,21,2001,5.4,0,,,,,,,,,0,0,Matches
Kamil Grosicki,pl POL,MF,Pogoń Szczecin,34,1988,32.5,13,,,,,,,,,5,5,Matches
Jan Grzesik,pl POL,"MF,DF",Warta Poznań,27,1994,27.6,4,,,,,,,,,0,0,Matches
Mateusz Grzybek,pl POL,DF,Zagłębie Lubin,26,1996,12.7,0,,,,,,,,,0,0,Matches
Mateusz Grzybek,pl POL,"DF,MF",Radomiak Radom,26,1996,15.0,2,,,,,,,,,0,0,Matches
Marc Gual,es ESP,"FW,MF",Jagiellonia,26,1996,26.3,16,,,,,,,,,3,4,Matches
Levent Gülen,ch SUI,DF,Miedź Legnica,28,1994,25.8,0,,,,,,,,,0,0,Matches
Michał Gurgul,pl POL,DF,Lech Poznań,16,2006,1.0,0,,,,,,,,,0,0,Matches
Vladislavs Gutkovskis,lv LVA,FW,RKS Raków,27,1995,19.6,8,,,,,,,,,1,1,Matches
Valerian Gvilia,ge GEO,MF,RKS Raków,28,1994,0.8,0,,,,,,,,,0,0,Matches
Saïd Hamulic,ba BIH,FW,Stal Mielec,21,2000,14.0,9,,,,,,,,,0,1,Matches
Marek Hanousek,cz CZE,MF,Widzew Łódź,30,1991,27.8,2,,,,,,,,,1,1,Matches
Jedrzej Hanuszczak,pl POL,MF,Warta Poznań,14,2008,0.0,0,,,,,,,,,0,0,Matches
Martin Hašek,cz CZE,MF,Wisła Płock,26,1995,0.2,0,,,,,,,,,0,0,Matches
Tom Hateley,eng ENG,MF,Piast Gliwice,32,1989,17.7,0,,,,,,,,,0,0,Matches
