Player,Age,Date,Record MV
Agustín Marchesín,32,28.01.2021,€9.00m
Roberto,29,27.09.2015,€9.00m
Tim Krul,25,15.01.2014,€9.00m
Lukasz Fabianski,31,01.08.2016,€9.00m
Sergey Ryzhikov,29,16.12.2009,€9.00m
José Moreira,22,05.02.2005,€9.00m
Paul Robinson,26,14.06.2006,€9.00m
Robert Enke,31,10.06.2009,€9.00m
Aleksandr Belenov,28,23.02.2015,€8.50m
Michel Vorm,28,24.06.2012,€8.50m
Manuel Almunia,32,29.06.2009,€8.50m
Allan McGregor,28,24.10.2010,€8.50m
Leo Franco,30,21.06.2007,€8.50m
Vladan Kovačević,24,30.03.2023,€8.00m
Josep Martínez,26,05.06.2024,€8.00m
Gautier Larsonneur,23,07.01.2021,€8.00m
N/A,N/A,N/A,N/A
Lucas Perri,26,11.12.2023,€8.00m
Jean Butez,28,09.06.2023,€8.00m
Iñaki Peña,24,22.12.2023,€8.00m
Philipp Köhn,25,18.12.2023,€8.00m
Sergio Herrera,28,03.06.2022,€8.00m
Bruno Varela,23,13.06.2018,€8.00m
Matz Sels,27,19.12.2019,€8.00m
David Ospina,26,01.07.2015,€8.00m
Neil Etheridge,29,13.06.2019,€8.00m
Guilherme,26,02.07.2012,€8.00m
Volkan Babacan,27,01.06.2016,€8.00m
Antonio Adán,30,05.06.2017,€8.00m
Andrea Consigli,27,01.07.2014,€8.00m
Guillermo Ochoa,23,15.06.2009,€8.00m
Gianluca Curci,25,10.01.2011,€8.00m
Benoît Costil,26,14.01.2014,€8.00m
Helton,29,20.09.2007,€8.00m
Rob Green,29,26.06.2009,€8.00m
Ivan Pelizzoli,23,04.10.2004,€8.00m
Morgan De Sanctis,28,23.10.2005,€8.00m
Grégory Coupet,32,02.03.2005,€8.00m
Roman Weidenfeller,26,15.01.2007,€8.00m
Jaume Doménech,29,20.12.2019,€7.50m
Ondrej Kolar,26,27.12.2020,€7.50m
Franco Armani,32,18.12.2018,€7.50m
N/A,N/A,N/A,N/A
Joel Robles,29,20.12.2019,€7.50m
Martin Dúbravka,31,30.07.2020,€7.50m
Juan Pablo Carrizo,23,24.09.2007,€7.50m
Kiko Casilla,28,23.10.2014,€7.50m
Vladimir Gabulov,26,13.07.2010,€7.50m
Jérémie Janot,29,23.12.2006,€7.50m
Francesco Toldo,32,04.10.2004,€7.50m
Gabriel Grando,21,17.12.2021,€7.00m
Dmytro Riznyk,25,06.06.2024,€7.00m
Matej Kovar,24,29.05.2024,€7.00m
Stefano Turati,22,20.12.2023,€7.00m
Luis Malagón,27,10.10.2024,€7.00m
Dominik Kotarski,24,26.09.2024,€7.00m
Agustín Rossi,27,26.10.2022,€7.00m
João Paulo,27,19.08.2022,€7.00m
Ivo Grbic,24,08.10.2020,€7.00m
Timon Wellenreuther,28,31.05.2024,€7.00m
Helton Leite,30,21.05.2021,€7.00m
Marvin Schwäbe,28,22.06.2023,€7.00m
Tomas Koubek,25,04.06.2018,€7.00m
Hendrik Van Crombrugge,26,30.03.2020,€7.00m
Marco Bizot,29,12.03.2020,€7.00m
Lukasz Skorupski,26,08.06.2017,€7.00m
Etrit Berisha,28,29.12.2017,€7.00m
Franco Armani,32,18.12.2018,€7.50m
N/A,N/A,N/A,N/A
Joel Robles,29,20.12.2019,€7.50m
Martin Dúbravka,31,30.07.2020,€7.50m
Juan Pablo Carrizo,23,24.09.2007,€7.50m
Kiko Casilla,28,23.10.2014,€7.50m
Vladimir Gabulov,26,13.07.2010,€7.50m
Jérémie Janot,29,23.12.2006,€7.50m
Francesco Toldo,32,04.10.2004,€7.50m
Gabriel Grando,21,17.12.2021,€7.00m
Dmytro Riznyk,25,06.06.2024,€7.00m
Matej Kovar,24,29.05.2024,€7.00m
Stefano Turati,22,20.12.2023,€7.00m
Luis Malagón,27,10.10.2024,€7.00m
Dominik Kotarski,24,26.09.2024,€7.00m
Agustín Rossi,27,26.10.2022,€7.00m
João Paulo,27,19.08.2022,€7.00m
Ivo Grbic,24,08.10.2020,€7.00m
Timon Wellenreuther,28,31.05.2024,€7.00m
Helton Leite,30,21.05.2021,€7.00m
Marvin Schwäbe,28,22.06.2023,€7.00m
Tomas Koubek,25,04.06.2018,€7.00m
Hendrik Van Crombrugge,26,30.03.2020,€7.00m
Marco Bizot,29,12.03.2020,€7.00m
Lukasz Skorupski,26,08.06.2017,€7.00m
Etrit Berisha,28,29.12.2017,€7.00m
Franco Armani,32,18.12.2018,€7.50m
N/A,N/A,N/A,N/A
Joel Robles,29,20.12.2019,€7.50m
Martin Dúbravka,31,30.07.2020,€7.50m
Juan Pablo Carrizo,23,24.09.2007,€7.50m
Kiko Casilla,28,23.10.2014,€7.50m
Vladimir Gabulov,26,13.07.2010,€7.50m
Jérémie Janot,29,23.12.2006,€7.50m
Francesco Toldo,32,04.10.2004,€7.50m
Gabriel Grando,21,17.12.2021,€7.00m
Dmytro Riznyk,25,06.06.2024,€7.00m
Matej Kovar,24,29.05.2024,€7.00m
Stefano Turati,22,20.12.2023,€7.00m
Luis Malagón,27,10.10.2024,€7.00m
Dominik Kotarski,24,26.09.2024,€7.00m
Agustín Rossi,27,26.10.2022,€7.00m
João Paulo,27,19.08.2022,€7.00m
Ivo Grbic,24,08.10.2020,€7.00m
Timon Wellenreuther,28,31.05.2024,€7.00m
Helton Leite,30,21.05.2021,€7.00m
Marvin Schwäbe,28,22.06.2023,€7.00m
Tomas Koubek,25,04.06.2018,€7.00m
Hendrik Van Crombrugge,26,30.03.2020,€7.00m
Marco Bizot,29,12.03.2020,€7.00m
Lukasz Skorupski,26,08.06.2017,€7.00m
Etrit Berisha,28,29.12.2017,€7.00m
Franco Armani,32,18.12.2018,€7.50m
N/A,N/A,N/A,N/A
Joel Robles,29,20.12.2019,€7.50m
Martin Dúbravka,31,30.07.2020,€7.50m
Juan Pablo Carrizo,23,24.09.2007,€7.50m
Kiko Casilla,28,23.10.2014,€7.50m
Vladimir Gabulov,26,13.07.2010,€7.50m
Jérémie Janot,29,23.12.2006,€7.50m
Francesco Toldo,32,04.10.2004,€7.50m
Gabriel Grando,21,17.12.2021,€7.00m
Dmytro Riznyk,25,06.06.2024,€7.00m
Matej Kovar,24,29.05.2024,€7.00m
Stefano Turati,22,20.12.2023,€7.00m
Luis Malagón,27,10.10.2024,€7.00m
Dominik Kotarski,24,26.09.2024,€7.00m
Agustín Rossi,27,26.10.2022,€7.00m
João Paulo,27,19.08.2022,€7.00m
Ivo Grbic,24,08.10.2020,€7.00m
Timon Wellenreuther,28,31.05.2024,€7.00m
Helton Leite,30,21.05.2021,€7.00m
Marvin Schwäbe,28,22.06.2023,€7.00m
Tomas Koubek,25,04.06.2018,€7.00m
Hendrik Van Crombrugge,26,30.03.2020,€7.00m
Marco Bizot,29,12.03.2020,€7.00m
Lukasz Skorupski,26,08.06.2017,€7.00m
Etrit Berisha,28,29.12.2017,€7.00m
Franco Armani,32,18.12.2018,€7.50m
N/A,N/A,N/A,N/A
Joel Robles,29,20.12.2019,€7.50m
Martin Dúbravka,31,30.07.2020,€7.50m
Juan Pablo Carrizo,23,24.09.2007,€7.50m
Kiko Casilla,28,23.10.2014,€7.50m
Vladimir Gabulov,26,13.07.2010,€7.50m
Jérémie Janot,29,23.12.2006,€7.50m
Francesco Toldo,32,04.10.2004,€7.50m
Gabriel Grando,21,17.12.2021,€7.00m
Dmytro Riznyk,25,06.06.2024,€7.00m
Matej Kovar,24,29.05.2024,€7.00m
Stefano Turati,22,20.12.2023,€7.00m
Luis Malagón,27,10.10.2024,€7.00m
Dominik Kotarski,24,26.09.2024,€7.00m
Agustín Rossi,27,26.10.2022,€7.00m
João Paulo,27,19.08.2022,€7.00m
