Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Mohamed Bamba,ci CIV,FW,Lorient,21,2001,12.6,14,9,3,8,3,4,10,40.0,6,7,1,6,2,16,3,0,Matches

Mamady Bangré,bf BFA,"FW,MF",Toulouse,22,2001,1.1,4,2,2,2,0,3,4,75.0,1,0,0,0,4,8,3,0,Matches
Bradley Barcola,fr FRA,FW,Lyon,20,2002,3.0,5,2,0,2,3,1,7,14.3,6,4,0,4,2,7,0,0,Matches
Bradley Barcola,fr FRA,"FW,MF",Paris S-G,20,2002,15.2,34,16,12,13,9,7,25,28.0,18,27,2,25,10,44,13,1,Matches
Melvin Bard,fr FRA,DF,Nice,22,2000,29.5,69,38,28,30,11,37,63,58.7,26,46,12,34,42,111,46,0,Matches
Steven Baseya,fr FRA,DF,Strasbourg,18,2005,0.1,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,1,0,Matches
Mohamed Bechikh,fr FRA,"FW,MF",Strasbourg,18,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Yanis Begraoui,ma MAR,"FW,MF",Toulouse,22,2001,3.3,5,3,1,3,1,3,9,33.3,6,4,0,4,5,10,5,0,Matches
Jérémie Bela,ao ANG,"MF,FW",Clermont Foot,30,1993,2.3,1,1,0,1,0,1,3,33.3,2,1,0,1,0,1,1,0,Matches
Reda Belahyane,fr FRA,MF,Nice,19,2004,0.3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
Alaa Bellaarouch,ma MAR,GK,Strasbourg,21,2002,15.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,2,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",Strasbourg,25,1998,3.0,5,3,3,2,0,3,6,50.0,3,4,0,4,4,9,0,0,Matches
Jeanuël Belocian,fr FRA,DF,Rennes,18,2005,16.1,32,22,23,8,1,22,28,78.6,6,18,10,8,13,45,49,0,Matches
Eliesse Ben Seghir,ma MAR,"MF,FW",Monaco,18,2005,4.8,9,6,2,5,2,3,7,42.9,4,6,0,6,2,11,2,0,Matches
Wissam Ben Yedder,fr FRA,FW,Monaco,32,1990,25.7,4,3,1,2,1,1,11,9.1,10,18,0,18,8,12,1,0,Matches
Saïd Benrahma,dz ALG,"FW,MF",Lyon,27,1995,8.6,9,7,1,6,2,5,7,71.4,2,7,0,7,1,10,3,0,Matches
Nabil Bentaleb,dz ALG,MF,Lille,28,1994,21.9,49,32,29,18,2,22,43,51.2,21,33,12,21,37,86,33,0,Matches
Lucas Beraldo,br BRA,DF,Paris S-G,19,2003,11.2,22,14,14,8,0,10,25,40.0,15,15,6,9,20,42,25,0,Matches
Dimitry Bertaud,cd COD,GK,Montpellier,25,1998,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Marco Bizot,nl NED,GK,Brest,32,1991,32.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,18,3,Matches
Rubén Blanco,es ESP,GK,Marseille,28,1995,1.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Ludovic Blas,fr FRA,"FW,MF",Rennes,25,1997,17.4,30,14,16,13,1,12,28,42.9,16,13,1,12,6,36,9,0,Matches
Myron Boadu,nl NED,FW,Monaco,22,2001,0.9,2,2,0,1,1,1,2,50.0,1,2,0,2,0,2,0,0,Matches
Jeremie Boga,ci CIV,FW,Nice,26,1997,22.2,18,7,6,10,2,10,20,50.0,10,26,2,24,8,26,4,0,Matches
Adama Bojang,gm GAM,FW,Reims,19,2004,0.9,2,1,1,0,1,0,0,,0,2,1,1,1,3,0,0,Matches
Neto Borges,br BRA,DF,Clermont Foot,26,1996,28.0,48,24,25,18,5,28,63,44.4,35,28,6,22,57,105,84,0,Matches

Saïmon Bouabré,fr FRA,MF,Monaco,17,2006,0.5,2,2,0,2,0,1,2,50.0,1,1,0,1,0,2,0,0,Matches
Ayyoub Bouaddi,fr FRA,MF,Lille,15,2007,1.5,6,2,6,0,0,2,5,40.0,3,2,0,2,1,7,3,0,Matches
Badredine Bouanani,dz ALG,FW,Nice,18,2004,1.8,3,2,1,1,1,3,4,75.0,1,5,0,5,3,6,0,0,Matches
Badredine Bouanani,dz ALG,MF,Lorient,18,2004,4.9,4,2,1,1,2,2,4,50.0,2,3,0,3,2,6,3,0,Matches
Mohamed Bouchenna,fr FRA,"MF,FW",Clermont Foot,17,2006,0.3,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
Hicham Boudaoui,dz ALG,MF,Nice,23,1999,17.9,41,19,16,22,3,21,30,70.0,9,15,1,14,11,52,15,0,Matches
Benjamin Bourigeaud,fr FRA,"MF,FW",Rennes,29,1994,26.9,31,18,14,9,8,13,44,29.5,31,31,2,29,22,53,39,2,Matches
Bilal Boutobba,fr FRA,"FW,MF",Clermont Foot,24,1998,10.3,22,12,6,10,6,10,23,43.5,13,9,0,9,8,30,3,0,Matches
Hugo Boutsingkham,fr FRA,"MF,FW",Nantes,20,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Bilal Brahimi,dz ALG,FW,Nice,23,2000,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Bilal Brahimi,dz ALG,"FW,MF",Brest,23,2000,2.5,0,0,0,0,0,0,3,0.0,3,3,0,3,0,0,0,0,Matches
Lilian Brassier,fr FRA,DF,Brest,23,1999,29.7,31,18,18,13,0,12,24,50.0,12,28,21,7,41,72,93,0,Matches
Maxime Busi,be BEL,"FW,DF",Reims,23,1999,1.8,2,0,0,1,1,0,2,0.0,2,6,1,5,4,6,5,0,Matches
Marcin Bułka,pl POL,GK,Nice,23,1999,34.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,9,3,Matches
Rémy Cabella,fr FRA,"FW,MF",Lille,33,1990,16.4,54,36,19,20,15,20,54,37.0,34,32,0,32,5,59,5,0,Matches
Duje Ćaleta-Car,hr CRO,DF,Lyon,26,1996,22.1,26,11,19,6,1,18,22,81.8,4,27,14,13,18,44,94,1,Matches
Lamine Camara,sn SEN,MF,Metz,19,2004,25.1,62,42,26,30,6,24,49,49.0,25,35,2,33,28,90,34,0,Matches
Mahdi Camara,fr FRA,MF,Brest,25,1998,22.4,55,39,8,40,7,20,49,40.8,29,24,1,23,27,82,19,0,Matches
Mohamed Camara,ml MLI,MF,Monaco,23,2000,11.5,35,21,10,20,5,15,29,51.7,14,8,2,6,11,46,7,0,Matches
Axel Camblan,fr FRA,FW,Brest,19,2003,1.0,3,1,0,2,1,2,4,50.0,2,2,0,2,0,3,0,0,Matches
Fali Candé,gw GNB,DF,Metz,25,1998,20.5,40,19,31,9,0,20,35,57.1,15,41,28,13,20,60,107,1,Matches
Gino Caoki,fr FRA,MF,Lorient,19,2004,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Maxence Caqueret,fr FRA,MF,Lyon,23,2000,33.6,91,64,39,37,15,38,107,35.5,69,40,9,31,48,139,26,2,Matches
Igor Carioca,br BRA,"DF,MF",Lorient,26,1996,2.9,8,6,6,1,1,4,6,66.7,2,0,0,0,3,11,6,0,Matches
Antonin Cartillier,fr FRA,DF,Monaco,19,2004,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches

