Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Ivo Pinto,pt POR,DF,Fortuna Sittard,32,1990,25.7,0,6,2,33.3,0.23,0.08,0.00,0.00,22.3,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Michael Pinto,lu LUX,DF,Sparta R'dam,29,1993,30.7,3,13,5,38.5,0.42,0.16,0.23,0.60,21.4,1,0,0,0.5,0.5,0.04,+2.5,+2.5,Matches
Brian Plat,nl NED,DF,Volendam,22,2000,24.4,0,12,3,25.0,0.49,0.12,0.00,0.00,18.0,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
Julio Pleguezuelo,es ESP,DF,Twente,25,1997,13.3,2,11,3,27.3,0.83,0.23,0.18,0.67,15.3,0,0,0,1.2,1.2,0.11,+0.8,+0.8,Matches
Romano Postema,nl NED,"MF,FW",Groningen,20,2002,0.4,0,1,1,100.0,2.57,2.57,0.00,0.00,11.3,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
Dirk Proper,nl NED,MF,NEC Nijmegen,20,2002,30.6,1,19,3,15.8,0.62,0.10,0.05,0.33,13.8,0,0,0,2.2,2.2,0.11,-1.2,-1.2,Matches
Davy Pröpper,nl NED,MF,Vitesse,30,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Robin Pröpper,nl NED,DF,Twente,28,1993,27.5,1,31,8,25.8,1.13,0.29,0.03,0.13,17.9,0,0,0,2.5,2.5,0.08,-1.5,-1.5,Matches
Stipe Radić,hr CRO,DF,Fortuna Sittard,22,2000,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
André Ramalho,br BRA,DF,PSV Eindhoven,30,1992,20.4,0,14,2,14.3,0.69,0.10,0.00,0.00,14.1,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
Bart Ramselaar,nl NED,FW,Utrecht,26,1996,3.8,0,8,0,0.0,2.08,0.00,0.00,,20.2,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Christian Rasmussen,dk DEN,FW,Ajax,19,2003,0.0,0,1,0,0.0,45.00,0.00,0.00,,19.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches

Jacob Rasmussen,dk DEN,DF,Feyenoord,25,1997,7.4,1,2,1,50.0,0.27,0.14,0.50,1.00,7.4,0,0,0,0.4,0.4,0.21,+0.6,+0.6,Matches
Givairo Read,nl NED,DF,Volendam,16,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
