Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Alessandro Buongiorno,it ITA,DF,Torino,22,1999,13.1,5,0,0,27,16,1,6,31,9,0,1,0,60,53,27,66.3,Matches
Gianluca Busio,us USA,MF,Venezia,19,2002,21.7,8,0,0,31,17,0,38,21,28,0,0,0,99,31,33,48.4,Matches
Arthur Cabral,br BRA,FW,Fiorentina,23,1998,8.3,1,0,0,16,10,1,2,1,5,0,0,0,15,12,26,31.6,Matches
Jovane Cabral,cv CPV,FW,Lazio,23,1998,2.1,0,0,0,5,3,0,2,1,1,0,0,0,6,1,4,20.0,Matches
Liberato Cacace,nz NZL,DF,Empoli,20,2000,5.2,1,0,0,9,6,0,11,8,6,0,0,0,29,2,6,25.0,Matches
Martín Cáceres,uy URU,DF,Cagliari,34,1987,9.2,3,1,0,7,9,0,12,14,7,0,0,0,55,5,5,50.0,Matches
Felipe Caicedo,ec ECU,FW,Genoa,32,1988,3.2,1,0,0,6,2,4,0,0,3,1,0,0,10,15,17,46.9,Matches
Felipe Caicedo,ec ECU,"FW,DF",Inter,32,1988,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Davide Calabria,it ITA,DF,Milan,24,1996,23.5,2,0,0,15,28,1,53,23,37,0,0,0,140,10,27,27.0,Matches
Riccardo Calafiori,it ITA,DF,Genoa,19,2002,0.9,1,0,0,3,0,0,0,2,0,0,0,0,2,1,0,100.0,Matches
Riccardo Calafiori,it ITA,DF,Roma,19,2002,1.9,2,0,0,4,0,0,3,3,4,0,0,0,8,1,2,33.3,Matches
Mattia Caldara,it ITA,DF,Venezia,27,1994,30.0,9,0,0,28,22,3,2,62,28,1,1,0,170,49,51,49.0,Matches
Hakan Çalhanoğlu,tr TUR,MF,Inter,27,1994,27.6,11,0,0,36,26,0,196,25,23,1,0,0,187,10,21,32.3,Matches
José Callejón,es ESP,FW,Fiorentina,34,1987,14.4,0,0,0,3,17,3,62,3,6,0,1,0,72,8,18,30.8,Matches
