Player,Nation,Position,Squad,Age,Year of birth,90s Played,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Assists,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Matches
Abbas Ibrahim,ng NGA,"MF,FW",Paços,23,1998,2.0,84,94,89.4,1423,296,36,38,94.7,41,46,89.1,5,6,83.3,0,0.0,0.1,0.0,2,4,0,0,10,Matches
Abdulwahab Ibrahim,gh GHA,MF,Famalicão,22,1999,0.0,2,3,66.7,54,34,0,1,0.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Tiago Ilori,pt POR,DF,Boavista,28,1993,5.6,244,282,86.5,4891,1819,71,78,91.0,142,153,92.8,29,47,61.7,0,0.1,0.2,-0.1,2,11,0,0,15,Matches
Giannelli Imbula,cd COD,"MF,FW",Portimonense,28,1992,1.5,88,98,89.8,1448,447,48,49,98.0,29,32,90.6,9,13,69.2,0,0.5,0.1,-0.5,1,6,1,0,9,Matches
Gonçalo Inácio,pt POR,DF,Sporting CP,19,2001,27.5,1936,2137,90.6,36699,12738,696,736,94.6,1027,1091,94.1,193,267,72.3,2,0.6,0.6,+1.4,8,188,7,0,170,Matches
Ismael,pt POR,"MF,DF",Moreirense,22,1999,4.2,156,204,76.5,2656,747,80,97,82.5,53,68,77.9,19,26,73.1,0,0.1,0.1,-0.1,1,11,0,0,8,Matches
Ivan Jaime Pajuelo,es ESP,"MF,FW",Famalicão,20,2000,14.0,353,461,76.6,5690,1333,184,210,87.6,131,160,81.9,28,48,58.3,2,1.8,1.4,+0.2,20,27,14,2,51,Matches
Nikola Jambor,hr CRO,MF,Moreirense,25,1995,1.1,43,53,81.1,803,187,20,20,100.0,17,19,89.5,6,11,54.5,0,0.3,0.2,-0.3,2,5,1,0,6,Matches
Nicolas Janvier,fr FRA,MF,Vitória,22,1998,12.1,552,670,82.4,10967,3249,233,257,90.7,203,234,86.8,101,144,70.1,1,1.6,2.0,-0.6,21,81,20,5,99,Matches
Jean,br BRA,MF,Gil Vicente FC,26,1994,0.1,8,9,88.9,188,70,4,5,80.0,2,2,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Jefferson,br BRA,MF,Moreirense,27,1994,11.0,355,446,79.6,6306,1747,160,197,81.2,147,163,90.2,40,64,62.5,0,0.2,0.4,-0.2,2,45,4,2,43,Matches
Jeimes,br BRA,GK,Paços,20,2001,1.9,51,77,66.2,1646,1381,7,7,100.0,18,21,85.7,25,48,52.1,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Anderson Jesus,br BRA,DF,Vizela,26,1995,17.0,480,611,78.6,9690,4054,136,159,85.5,281,311,90.4,56,121,46.3,0,0.4,0.5,-0.4,7,28,0,0,32,Matches
Joãozinho,pt POR,DF,Estoril,32,1989,32.1,1291,1722,75.0,23553,10018,538,612,87.9,592,728,81.3,144,294,49.0,3,2.6,3.0,+0.4,23,105,33,23,138,Matches
Henrique Jocú,pt POR,MF,Portimonense,19,2001,6.6,204,261,78.2,3794,922,77,98,78.6,101,117,86.3,24,39,61.5,0,0.0,0.1,0.0,1,14,0,0,15,Matches
Diederrick Joel,cm CMR,FW,Marítimo,27,1993,16.9,225,310,72.6,3733,587,108,141,76.6,94,122,77.0,18,21,85.7,0,0.8,0.4,-0.8,10,19,5,2,28,Matches
Jójó,,DF,B-SAD,20,2001,0.5,11,19,57.9,252,159,2,4,50.0,7,10,70.0,2,3,66.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Igor Julião,br BRA,DF,Vizela,26,1994,11.1,295,428,68.9,4877,2385,164,189,86.8,95,136,69.9,27,60,45.0,3,0.9,1.0,+2.1,8,19,11,6,31,Matches
Luiz Lúcio Reis Júnior,br BRA,GK,Famalicão,20,2001,31.0,682,951,71.7,20979,15864,106,106,100.0,299,306,97.7,276,530,52.1,0,0.0,0.0,0.0,0,22,0,0,0,Matches
Renato Junior,br BRA,FW,Portimonense,19,2002,3.8,49,71,69.0,662,64,28,42,66.7,16,21,76.2,2,3,66.7,0,0.4,0.1,-0.4,6,1,3,0,6,Matches
Welinton Júnior,br BRA,FW,Portimonense,28,1993,9.3,100,151,66.2,1477,283,55,76,72.4,37,54,68.5,3,8,37.5,1,1.1,0.7,-0.1,9,6,3,0,13,Matches
Zainadine Júnior,mz MOZ,DF,Marítimo,33,1988,31.8,1523,1782,85.5,33528,13225,306,351,87.2,990,1078,91.8,223,323,69.0,1,0.8,1.1,+0.2,6,61,3,0,77,Matches

Junior Kadile,fr FRA,"MF,FW",Famalicão,18,2002,0.5,4,9,44.4,54,18,2,5,40.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches
Eduardo Kau,br BRA,DF,B-SAD,22,1999,1.0,5,5,100.0,64,45,3,3,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Kewin,br BRA,GK,Moreirense,25,1995,15.0,276,477,57.9,9118,6783,24,24,100.0,129,131,98.5,122,318,38.4,0,0.0,0.0,0.0,0,15,1,0,4,Matches
Hamidou Keyta,fr FRA,"FW,MF",Santa Clara,26,1994,0.8,13,18,72.2,175,13,8,9,88.9,5,8,62.5,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
Naoufel Khacef,dz ALG,"DF,FW",Tondela,23,1997,9.6,276,372,74.2,4437,1505,148,169,87.6,95,128,74.2,23,50,46.0,0,0.0,0.1,0.0,1,19,3,1,17,Matches
Kobamelo Kodisang,za RSA,FW,Braga,21,1999,0.2,3,4,75.0,29,9,3,3,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Philippe Koffi,ci CIV,FW,Paços,19,2002,0.3,5,8,62.5,55,13,3,3,100.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Koffi Kouao,ci CIV,DF,Vizela,23,1998,21.0,678,925,73.3,11166,4522,353,412,85.7,247,321,76.9,67,137,48.9,1,2.0,1.9,-1.0,18,39,14,10,51,Matches
Eboue Kouassi,ci CIV,MF,Arouca,23,1997,16.3,598,719,83.2,10905,3014,249,292,85.3,282,321,87.9,61,86,70.9,0,0.2,0.3,-0.2,6,56,4,1,51,Matches
Stanislav Kritsyuk,ru RUS,GK,Gil Vicente FC,30,1990,4.0,118,166,71.1,3474,2503,14,14,100.0,62,62,100.0,42,90,46.7,0,0.0,0.0,0.0,0,4,0,0,0,Matches
Matías Lacava,ve VEN,"FW,MF",Tondela,18,2002,0.2,11,12,91.7,148,12,6,6,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Derik Lacerda,br BRA,"FW,MF",Moreirense,21,1999,8.7,128,195,65.6,1815,524,78,105,74.3,41,56,73.2,7,14,50.0,2,1.1,0.8,+0.9,12,11,1,0,18,Matches
Rúben Lameiras,pt POR,"FW,MF",Vitória,26,1994,17.0,301,436,69.0,4602,1289,183,215,85.1,84,128,65.6,26,49,53.1,0,1.1,1.1,-1.1,13,23,18,5,37,Matches
Achraf Lazaar,ma MAR,DF,Portimonense,29,1992,2.7,42,69,60.9,729,307,20,25,80.0,13,23,56.5,5,14,35.7,0,0.0,0.0,0.0,1,6,1,0,4,Matches
Valentino Lazaro,at AUT,"DF,MF",Benfica,25,1996,11.4,572,705,81.1,8683,2852,318,348,91.4,206,256,80.5,32,66,48.5,1,1.1,1.5,-0.1,12,45,21,8,66,Matches
Antoine Léautey,fr FRA,FW,Gil Vicente FC,25,1996,16.2,407,498,81.7,6117,1138,218,241,90.5,126,162,77.8,32,40,80.0,2,2.8,1.8,-0.8,12,18,19,11,28,Matches
Diogo Leite,pt POR,DF,Braga,22,1999,20.6,1331,1574,84.6,25268,8453,511,571,89.5,672,740,90.8,137,218,62.8,0,0.2,0.3,-0.2,3,109,2,0,107,Matches
Helton Leite,br BRA,GK,Benfica,30,1990,2.0,33,43,76.7,755,496,6,6,100.0,20,21,95.2,7,16,43.8,0,0.0,0.0,0.0,0,0,0,0,0,Matches
André Filipe Rio Liberal,pt POR,FW,Gil Vicente FC,18,2002,0.1,0,3,0.0,0,0,0,2,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Licá,pt POR,"FW,DF",B-SAD,32,1988,4.6,45,70,64.3,589,157,26,31,83.9,12,22,54.5,2,5,40.0,0,0.7,0.6,-0.7,2,4,2,0,6,Matches
Nuno Lima,pt POR,DF,Paços,20,2001,10.8,468,557,84.0,10142,3473,93,106,87.7,307,334,91.9,65,105,61.9,0,0.1,0.4,-0.1,2,22,0,0,21,Matches
Rúben Lima,pt POR,"DF,MF",Famalicão,31,1989,6.1,195,288,67.7,3768,1851,84,106,79.2,77,112,68.8,31,56,55.4,0,1.1,0.7,-1.1,7,23,6,5,23,Matches
Lincoln,br BRA,MF,Santa Clara,22,1998,30.5,1082,1473,73.5,19173,6403,515,589,87.4,410,503,81.5,131,292,44.9,6,8.2,6.9,-2.2,59,120,30,8,140,Matches
Samuel Lino,br BRA,"FW,MF",Gil Vicente FC,21,1999,32.9,892,1162,76.8,13756,3027,490,583,84.0,315,383,82.2,59,111,53.2,5,3.9,3.2,+1.1,49,67,43,4,109,Matches
Danny Loader,eng ENG,FW,Porto,20,2000,0.1,2,3,66.7,24,1,1,1,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches

André Lopes,pt POR,DF,B-SAD,19,2001,1.0,6,11,54.5,79,43,3,4,75.0,2,2,100.0,0,4,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Bruno Lourenço,pt POR,"FW,MF",Estoril,23,1998,12.7,236,322,73.3,3326,754,154,181,85.1,57,79,72.2,15,22,68.2,3,1.4,0.8,+1.6,12,18,4,1,31,Matches
André Luis,br BRA,"FW,MF",Moreirense,27,1994,14.8,253,409,61.9,3352,971,151,215,70.2,71,116,61.2,10,18,55.6,1,1.7,0.9,-0.7,15,34,11,1,53,Matches
Andrija Luković,rs SRB,MF,B-SAD,26,1994,9.9,259,367,70.6,4720,1509,114,141,80.9,109,137,79.6,29,70,41.4,1,1.4,0.8,-0.4,10,30,4,2,23,Matches
Luquinha,br BRA,"MF,FW",Portimonense,20,2000,6.1,212,287,73.9,3515,999,100,119,84.0,79,103,76.7,24,46,52.2,0,1.0,1.3,-1.0,12,32,4,1,37,Matches
Rúben Macedo,pt POR,"FW,DF",Marítimo,25,1996,0.7,15,24,62.5,183,67,12,13,92.3,3,7,42.9,0,2,0.0,0,0.0,0.0,0.0,1,0,0,0,2,Matches
Miguel Maga,pt POR,DF,Vitória,18,2002,12.0,483,617,78.3,7499,3042,271,308,88.0,180,229,78.6,25,49,51.0,2,1.0,0.8,+1.0,13,31,7,5,35,Matches
Gaius Makouta,cg CGO,MF,Boavista,24,1997,28.0,856,1087,78.7,13997,3522,397,467,85.0,367,439,83.6,58,101,57.4,3,2.0,0.9,+1.0,23,82,11,4,107,Matches
Pedro Malheiro,pt POR,"MF,DF",Boavista,20,2001,9.9,296,415,71.3,5113,1917,139,163,85.3,120,161,74.5,30,63,47.6,0,0.2,0.2,-0.2,7,9,4,2,14,Matches
Wilson Manafá,pt POR,DF,Porto,27,1994,2.9,146,175,83.4,2209,818,89,97,91.8,39,50,78.0,14,16,87.5,0,0.2,0.3,-0.2,4,7,3,1,14,Matches
Sori Mané,gw GNB,MF,Moreirense,25,1996,5.5,205,255,80.4,4789,1440,58,65,89.2,96,108,88.9,50,75,66.7,0,0.1,0.3,-0.1,1,38,2,2,28,Matches
Mansur,br BRA,DF,Santa Clara,28,1993,22.1,784,1016,77.2,13234,5012,386,440,87.7,308,385,80.0,74,140,52.9,0,0.6,1.1,-0.6,5,55,9,5,55,Matches
Juan Manuel Boselli,uy URU,"FW,MF",Tondela,21,1999,9.5,141,223,63.2,2247,570,79,96,82.3,42,67,62.7,12,38,31.6,0,1.0,0.6,-1.0,7,8,4,1,21,Matches
José Manuel Velázquez,ve VEN,DF,Arouca,30,1990,4.0,116,139,83.5,2501,815,28,31,90.3,66,79,83.5,21,27,77.8,0,0.0,0.0,0.0,1,4,0,0,3,Matches
Maracás,br BRA,DF,Paços,27,1994,23.0,802,946,84.8,17331,5745,189,215,87.9,499,541,92.2,109,174,62.6,0,0.0,0.1,0.0,0,24,0,0,25,Matches
Iván Marcano,es ESP,DF,Porto,34,1987,7.3,390,453,86.1,7575,2815,147,159,92.5,200,222,90.1,38,62,61.3,0,0.1,0.1,-0.1,1,39,2,0,36,Matches
Marcelo,br BRA,"FW,MF",Gil Vicente FC,24,1997,0.1,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Agustín Marchesín,ar ARG,GK,Porto,33,1988,0.0,4,10,40.0,178,160,1,1,100.0,0,0,,3,9,33.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Abraham Marcus,ng NGA,FW,Portimonense,21,2000,0.9,19,21,90.5,309,135,11,11,100.0,3,5,60.0,3,3,100.0,0,0.1,0.1,-0.1,2,3,1,0,4,Matches
Adrián Marín,es ESP,"DF,MF",Famalicão,24,1997,25.5,935,1238,75.5,17158,8714,385,439,87.7,443,548,80.8,93,193,48.2,2,2.7,2.6,-0.7,21,89,30,16,111,Matches
João Mário,pt POR,MF,Benfica,28,1993,19.3,1086,1280,84.8,18144,4774,540,591,91.4,394,441,89.3,104,164,63.4,3,4.0,4.6,-1.0,37,111,39,13,178,Matches
João Mário Lopes,pt POR,DF,Porto,21,2000,22.9,1093,1343,81.4,16148,4995,642,718,89.4,353,447,79.0,64,106,60.4,2,3.8,4.2,-1.8,28,56,31,15,78,Matches
Pedro David Rosendo Marques,pt POR,"FW,MF",Famalicão,23,1998,3.5,39,60,65.0,601,118,17,26,65.4,11,18,61.1,6,8,75.0,1,0.8,0.0,+0.2,1,4,0,0,2,Matches
José Marsà,es ESP,DF,Sporting CP,19,2002,0.1,12,14,85.7,235,54,5,5,100.0,5,7,71.4,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Toni Martínez,es ESP,FW,Porto,24,1997,5.3,63,113,55.8,755,162,41,60,68.3,14,33,42.4,2,3,66.7,0,0.5,0.5,-0.5,3,7,2,1,7,Matches

