Player,Nation,Position,Squad,Age,Year of birth,90s Played,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Assists,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Matches
João Graça,pt POR,MF,Rio Ave,28,1995,13.3,488,606,80.5,8072,2052,232,262,88.5,197,226,87.2,42,74,56.8,0,0.4,1.2,-0.4,14,46,16,1,72,Matches
Marko Grujić,rs SRB,MF,Porto,27,1996,3.2,175,214,81.8,3322,1017,72,85,84.7,80,91,87.9,20,29,69.0,1,0.8,0.4,+0.2,5,25,2,0,36,Matches
Gonçalo Guedes,pt POR,"FW,MF",Benfica,26,1996,1.4,61,82,74.4,850,165,40,51,78.4,17,22,77.3,3,4,75.0,0,0.0,0.2,0.0,0,1,1,0,5,Matches
Guga,pt POR,"DF,MF",Portimonense,19,2003,17.0,405,561,72.2,6376,2268,217,266,81.6,153,199,76.9,23,58,39.7,1,1.2,0.8,-0.2,9,16,10,7,20,Matches
Ricardo Guimarães,mz MOZ,MF,Chaves,27,1995,13.9,462,567,81.5,8261,1991,185,212,87.3,221,252,87.7,43,76,56.6,1,0.7,0.6,+0.3,10,30,6,1,40,Matches
Rafik Guitane,fr FRA,"FW,MF",Estoril,24,1999,30.1,809,1060,76.3,12613,3236,444,518,85.7,292,378,77.2,50,92,54.3,3,5.6,5.2,-2.6,59,83,51,7,129,Matches

Raphael Guzzo,pt POR,"MF,FW",Chaves,28,1995,13.2,449,572,78.5,6594,2201,240,265,90.6,157,192,81.8,22,55,40.0,0,0.9,1.7,-0.9,13,34,13,3,54,Matches
Viktor Gyökeres,se SWE,FW,Sporting CP,25,1998,32.4,578,806,71.7,6938,1036,397,496,80.0,128,187,68.4,14,32,43.8,10,7.7,6.1,+2.3,54,27,19,2,51,Matches
Justin de Haas,nl NED,DF,Famalicão,23,2000,17.8,862,1007,85.6,18124,7206,268,288,93.1,452,496,91.1,139,209,66.5,0,0.1,0.2,-0.1,1,38,5,1,39,Matches
