Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Marco Bertini,it ITA,MF,Lazio,19,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Beto,gw GNB,FW,Udinese,24,1998,23.7,16,9,0,9,7,4,17,23.5,13,18,3,15,6,22,30,0,Matches
Matteo Bianchetti,it ITA,DF,Cremonese,29,1993,23.7,32,19,21,9,2,20,32,62.5,12,31,17,14,20,52,111,0,Matches
Alessandro Bianco,it ITA,MF,Fiorentina,19,2002,1.7,5,2,2,3,0,2,3,66.7,1,1,0,1,0,5,0,0,Matches
Jaka Bijol,si SVN,DF,Udinese,23,1999,30.3,39,23,32,7,0,16,27,59.3,11,41,25,16,29,68,165,0,Matches
Cristiano Biraghi,it ITA,DF,Fiorentina,29,1992,28.3,65,38,29,29,7,32,65,49.2,33,32,7,25,14,79,42,1,Matches
Samuele Birindelli,it ITA,DF,Monza,23,1999,15.6,35,19,21,10,4,18,29,62.1,11,28,8,20,16,51,30,0,Matches
Kristijan Bistrović,hr CRO,MF,Lecce,24,1998,5.1,3,1,3,0,0,0,5,0.0,5,3,0,3,0,3,4,0,Matches
Alexis Blin,fr FRA,MF,Lecce,25,1996,26.4,69,39,27,33,9,38,73,52.1,35,55,15,40,34,103,74,0,Matches
Jeremie Boga,ci CIV,"MF,FW",Atalanta,25,1997,8.7,9,5,3,2,4,2,5,40.0,3,6,0,6,1,10,1,0,Matches
Emil Bohinen,no NOR,MF,Salernitana,23,1999,9.2,25,13,15,8,2,12,23,52.2,11,25,7,18,17,42,21,0,Matches

Giacomo Bonaventura,it ITA,MF,Fiorentina,32,1989,21.2,35,23,14,15,6,24,37,64.9,13,14,0,14,16,51,5,1,Matches
Federico Bonazzoli,it ITA,"FW,MF",Salernitana,25,1997,12.4,5,3,0,3,2,0,9,0.0,9,9,1,8,3,8,0,0,Matches
