Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
César,br BRA,GK,Boavista,30,1992,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
Kayky Chagas,br BRA,"MF,FW",Paços,19,2003,3.0,6,3,2,2,2,3,5,60.0,2,4,0,4,3,9,3,0,Matches
Youssef Chermiti,pt POR,FW,Sporting CP,18,2004,9.4,3,2,0,2,1,1,9,11.1,8,7,2,5,1,4,3,0,Matches
Fábio China,pt POR,"DF,MF",Marítimo,30,1992,4.4,16,12,8,7,1,7,8,87.5,1,6,3,3,7,23,6,0,Matches
Chiquinho,pt POR,MF,Benfica,27,1995,15.2,46,26,13,28,5,22,35,62.9,13,15,1,14,16,62,5,0,Matches
Clayton,br BRA,FW,Casa Pia,23,1999,13.2,11,5,1,8,2,5,15,33.3,10,3,0,3,4,15,10,0,Matches
Sebastián Coates,uy URU,DF,Sporting CP,31,1990,28.4,25,14,17,6,2,18,30,60.0,12,23,17,6,21,46,66,0,Matches
Dylan Collard,mu MRI,DF,Marítimo,22,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Santiago Colombatto,ar ARG,MF,Famalicão,25,1997,29.0,59,42,22,31,6,31,68,45.6,37,29,4,25,32,91,32,0,Matches
Fábio Conceição,pt POR,"DF,MF",Rio Ave,21,2001,22.0,32,19,17,11,4,20,43,46.5,23,18,6,12,22,54,14,0,Matches
Rodrigo Conceição,pt POR,DF,Porto,22,2000,6.1,15,12,11,4,0,11,18,61.1,7,10,0,10,8,23,12,0,Matches
Sérgio Conceição,pt POR,"DF,FW",Portimonense,25,1996,1.3,2,2,2,0,0,1,3,33.3,2,3,1,2,0,2,2,0,Matches
Félix Correia,pt POR,FW,Marítimo,21,2001,8.4,15,9,2,8,5,8,15,53.3,7,4,0,4,3,18,1,0,Matches

João Pedro Araújo Correia,cv CPV,"DF,FW",Chaves,25,1996,19.9,24,13,18,5,1,10,22,45.5,12,23,10,13,19,43,53,0,Matches
Antonio Cortés,es ESP,FW,Vitória,22,2000,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Bruno Xavier Almeida Costa,pt POR,MF,Porto,25,1997,2.9,7,4,0,7,0,6,11,54.5,5,0,0,0,2,9,1,0,Matches
Diogo Costa,pt POR,GK,Porto,22,1999,33.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,17,4,Matches
Edgar Costa,pt POR,"FW,MF",Marítimo,35,1987,5.3,10,8,7,2,1,6,11,54.5,5,7,0,7,2,12,3,0,Matches
Gonçalo Costa,pt POR,"DF,FW",Portimonense,22,2000,2.6,7,4,4,2,1,2,7,28.6,5,3,0,3,7,14,3,0,Matches
Matheus Costa,br BRA,DF,Marítimo,27,1995,12.0,22,16,15,5,2,10,15,66.7,5,11,7,4,15,37,50,1,Matches
Murilo Costa,br BRA,FW,Gil Vicente FC,27,1994,24.2,18,7,7,8,3,6,26,23.1,20,22,0,22,16,34,16,1,Matches
Rui Costa,pt POR,MF,Santa Clara,26,1996,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Tomás Costa Silva,pt POR,DF,Vizela,22,1999,13.1,45,28,32,10,3,29,44,65.9,15,19,5,14,22,67,46,0,Matches
Vitor Costa,br BRA,"DF,MF",Marítimo,28,1994,26.7,58,29,29,23,6,30,61,49.2,31,31,4,27,30,88,62,2,Matches
Costinha,pt POR,"DF,MF",Rio Ave,22,2000,31.1,106,63,49,49,8,60,102,58.8,42,76,16,60,40,146,81,0,Matches
Costinha,pt POR,"MF,FW",Santa Clara,29,1992,7.5,8,6,1,5,2,3,9,33.3,6,7,1,6,4,12,1,0,Matches
Sandro Cruz,ao ANG,"DF,FW",Chaves,21,2001,5.9,16,15,8,5,3,10,14,71.4,4,9,3,6,7,23,16,0,Matches
Cuca,cv CPV,MF,Casa Pia,31,1991,4.3,9,8,3,4,2,6,12,50.0,6,6,0,6,7,16,7,0,Matches
Lucas Cunha,br BRA,DF,Gil Vicente FC,25,1997,15.0,9,7,7,2,0,6,9,66.7,3,19,14,5,17,26,70,0,Matches
Oday Dabbagh,ps PLE,FW,Arouca,23,1998,10.2,3,1,0,2,1,1,3,33.3,2,5,0,5,6,9,8,0,Matches
Augusto Dabo,pt POR,"DF,FW",Boavista,18,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Ignacio De Arruabarrena,uy URU,GK,Arouca,25,1997,30.0,3,1,3,0,0,2,2,100.0,0,2,0,2,0,3,15,2,Matches
Hernán De La Fuente,ar ARG,DF,Famalicão,25,1997,6.0,22,13,14,7,1,10,16,62.5,6,10,6,4,9,31,16,0,Matches
Dele,ng NGA,"FW,MF",Estoril,21,2001,0.9,1,0,1,0,0,0,2,0.0,2,1,0,1,0,1,0,0,Matches
Juan Delgado,cl CHI,DF,Paços,29,1993,29.9,58,35,27,21,10,37,73,50.7,36,23,4,19,24,82,54,2,Matches
Shaquil Delos,fr FRA,DF,Estoril,23,1999,4.6,11,8,7,2,2,6,8,75.0,2,6,2,4,4,15,6,0,Matches
Denílson,br BRA,FW,Famalicão,27,1995,4.0,4,2,4,0,0,1,2,50.0,1,2,2,0,1,5,14,0,Matches
Depú,ao ANG,"FW,MF",Gil Vicente FC,22,2000,0.9,2,0,0,1,1,0,1,0.0,1,0,0,0,1,3,3,0,Matches

Derick,br BRA,"MF,DF",Casa Pia,28,1993,16.0,28,18,17,10,1,20,42,47.6,22,26,6,20,16,44,44,0,Matches
Lamine Diaby,fr FRA,MF,Portimonense,25,1996,15.7,33,17,16,14,3,11,23,47.8,12,16,6,10,21,54,46,2,Matches
Ousmane Diomande,ci CIV,DF,Sporting CP,18,2003,9.8,22,13,12,10,0,10,19,52.6,9,6,4,2,11,33,24,3,Matches
Álvaro djaló,es ESP,"FW,MF",Braga,22,1999,7.1,15,7,7,4,4,5,26,19.2,21,11,0,11,5,20,10,0,Matches
Matchoi Djaló,pt POR,"MF,FW",Paços,19,2003,14.5,19,13,8,8,3,8,17,47.1,9,19,3,16,7,26,7,1,Matches
Mihai Dobre,ro ROU,"FW,DF",Famalicão,23,1998,10.4,23,16,17,4,2,15,30,50.0,15,10,1,9,3,26,9,0,Matches
Julian Draxler,de GER,"MF,FW",Benfica,28,1993,4.5,5,2,0,3,2,2,4,50.0,2,5,1,4,1,6,1,0,Matches
Edu,pt POR,MF,Chaves,20,2002,0.4,0,0,0,0,0,0,0,,0,0,0,0,2,2,1,1,Matches
Carlos Eduardo,br BRA,"FW,MF",Estoril,25,1996,8.0,18,7,10,6,2,12,35,34.3,23,7,3,4,8,26,9,0,Matches
Paulo Eduardo,br BRA,DF,Santa Clara,20,2002,5.3,7,5,5,2,0,5,8,62.5,3,4,3,1,6,13,28,0,Matches
Marcus Edwards,eng ENG,"FW,MF",Sporting CP,23,1998,25.0,14,10,5,5,4,5,29,17.2,24,7,0,7,5,19,2,0,Matches
Erison,br BRA,FW,Estoril,23,1999,7.6,3,0,1,1,1,1,3,33.3,2,4,0,4,0,3,6,0,Matches
Ricardo Esgaio,pt POR,"DF,MF",Sporting CP,29,1993,14.6,40,32,10,25,5,25,43,58.1,18,10,0,10,9,49,27,0,Matches
Tiago Esgaio,pt POR,DF,Arouca,26,1995,25.4,45,24,28,14,3,39,63,61.9,24,26,6,20,22,67,93,0,Matches
Dario Essugo,pt POR,MF,Sporting CP,17,2005,2.2,10,5,3,6,1,6,9,66.7,3,2,1,1,4,14,0,0,Matches
Gonçalo Esteves,pt POR,DF,Estoril,18,2004,2.0,4,1,3,1,0,3,3,100.0,0,3,0,3,2,6,3,0,Matches
Paulo Estrela Moreira,pt POR,MF,Portimonense,23,1999,16.8,39,19,10,28,1,15,39,38.5,24,25,5,20,35,74,28,0,Matches
Friday Etim,ng NGA,FW,Vizela,20,2002,4.9,6,3,1,3,2,4,4,100.0,0,3,0,3,4,10,2,0,Matches
Euller,br BRA,"FW,MF",Chaves,27,1995,11.8,21,13,8,10,3,13,31,41.9,18,12,2,10,10,31,8,0,Matches
Stephen Eustáquio,ca CAN,MF,Porto,25,1996,18.6,57,29,21,27,9,32,61,52.5,29,25,6,19,19,76,22,0,Matches
Evanilson,br BRA,FW,Porto,22,1999,15.0,15,12,2,6,7,6,13,46.2,7,14,1,13,5,20,5,0,Matches
Ewerton,br BRA,MF,Portimonense,29,1992,6.5,18,12,5,8,5,8,16,50.0,8,6,1,5,3,21,4,0,Matches
