nation_rank,nation_prev_rank,nation,confederation,points,season
106,114,Guinea-Bissau,CAF,1191,2022_2023
107,118,Republic of the Congo,CAF,1190,2022_2023
108,105,Madagascar,CAF,1188,2022_2023
109,108,Kenya,CAF,1184,2022_2023
110,103,Tajikistan,AFC,1183,2022_2023
111,106,Kosovo,UEFA,1182,2022_2023
112,101,Thailand,AFC,1181,2022_2023
113,104,Mozambique,CAF,1179,2022_2023
114,98,Namibia,CAF,1172,2022_2023
115,123,Estonia,UEFA,1172,2022_2023
116,110,North Korea,AFC,1170,2022_2023
117,90,Angola,CAF,1168,2022_2023
118,132,Gambia,CAF,1161,2022_2023
119,120,Togo,CAF,1158,2022_2023
120,127,Cyprus,UEFA,1156,2022_2023
121,111,Azerbaijan,UEFA,1148,2022_2023
122,113,Tanzania,CAF,1146,2022_2023
123,126,Malawi,CAF,1144,2022_2023
124,122,Sierra Leone,CAF,1144,2022_2023
125,129,Zimbabwe,CAF,1139,2022_2023
126,117,Libya,CAF,1134,2022_2023
127,128,Central African Republic,CAF,1127,2022_2023
128,125,Niger,CAF,1120,2022_2023
129,119,Comoros,CAF,1119,2022_2023
130,121,Sudan,CAF,1109,2022_2023
131,138,Faroe Islands,UEFA,1107,2022_2023
132,147,Philippines,AFC,1099,2022_2023
133,141,Solomon Islands,OFC,1098,2022_2023
134,134,Malaysia,AFC,1095,2022_2023
135,136,Kuwait,AFC,1093,2022_2023
136,137,Latvia,UEFA,1090,2022_2023
137,148,Antigua and Barbuda,CONCACAF,1089,2022_2023
138,130,Nicaragua,CONCACAF,1089,2022_2023
139,131,Rwanda,CAF,1087,2022_2023
140,144,Turkmenistan,AFC,1086,2022_2023
141,139,Burundi,CAF,1080,2022_2023
142,143,Ethiopia,CAF,1073,2022_2023
143,135,Lithuania,UEFA,1072,2022_2023
144,155,Eswatini,CAF,1066,2022_2023
145,140,Suriname,CONCACAF,1063,2022_2023
146,146,Saint Kitts and Nevis,CONCACAF,1058,2022_2023
147,133,Indonesia,AFC,1053,2022_2023
148,159,Hong Kong,AFC,1052,2022_2023
149,145,Botswana,CAF,1051,2022_2023
150,142,Liberia,CAF,1048,2022_2023
151,150,Dominican Republic,CONCACAF,1036,2022_2023
152,149,Lesotho,CAF,1034,2022_2023
153,164,Andorra,UEFA,1025,2022_2023
154,165,Chinese Taipei,AFC,1024,2022_2023
155,163,Maldives,AFC,1022,2022_2023
156,156,Yemen,AFC,1020,2022_2023
157,161,Singapore,AFC,1016,2022_2023
158,151,Afghanistan,AFC,1014,2022_2023
159,152,Moldova,UEFA,1010,2022_2023
160,157,Puerto Rico,CONCACAF,1008,2022_2023
161,166,Myanmar,AFC,1004,2022_2023
162,168,Papua New Guinea,OFC,1003,2022_2023
163,160,New Caledonia,OFC,996,2022_2023
164,158,Tahiti,OFC,995,2022_2023
165,154,Guyana,CONCACAF,994,2022_2023
166,170,Saint Lucia,CONCACAF,988,2022_2023
167,169,South Sudan,CAF,987,2022_2023
168,162,Vanuatu,OFC,986,2022_2023
169,167,Cuba,CONCACAF,981,2022_2023
170,153,Fiji,OFC,980,2022_2023
171,172,Malta,UEFA,972,2022_2023
172,177,Barbados,CONCACAF,970,2022_2023
173,173,Grenada,CONCACAF,959,2022_2023
174,171,Bermuda,CONCACAF,958,2022_2023
175,175,Nepal,AFC,954,2022_2023
176,174,Saint Vincent and the Grenadines,CONCACAF,954,2022_2023
177,180,Cambodia,AFC,949,2022_2023
178,179,Mauritius,CAF,943,2022_2023
179,176,Montserrat,CONCACAF,940,2022_2023
180,183,Belize,CONCACAF,932,2022_2023
181,178,Chad,CAF,930,2022_2023
182,181,Dominica,CONCACAF,911,2022_2023
183,189,Mongolia,AFC,909,2022_2023
184,182,Bhutan,AFC,906,2022_2023
185,185,Macau,AFC,904,2022_2023
186,188,Laos,AFC,900,2022_2023
187,186,Cook Islands,OFC,899,2022_2023
188,191,São Tomé and Príncipe,CAF,898,2022_2023
189,184,Bangladesh,AFC,894,2022_2023
190,193,Djibouti,CAF,889,2022_2023
191,190,Brunei,AFC,888,2022_2023
192,196,Timor-Leste,AFC,860,2022_2023
193,194,Aruba,CONCACAF,858,2022_2023
194,202,Somalia,CAF,855,2022_2023
195,201,Seychelles,CAF,854,2022_2023
196,195,Cayman Islands,CONCACAF,852,2022_2023
197,197,Pakistan,AFC,848,2022_2023
198,198,Gibraltar,UEFA,845,2022_2023
199,199,Liechtenstein,UEFA,844,2022_2023
200,203,Bahamas,CONCACAF,842,2022_2023
201,204,Guam,AFC,838,2022_2023
202,205,Sri Lanka,AFC,825,2022_2023
203,206,Turks and Caicos Islands,CONCACAF,825,2022_2023
204,208,United States Virgin Islands,CONCACAF,817,2022_2023
205,207,British Virgin Islands,CONCACAF,812,2022_2023
206,209,Anguilla,CONCACAF,786,2022_2023
207,210,San Marino,UEFA,750,2022_2023
1,1,Argentina,CONMEBOL,1889,2023_2024
2,2,France,UEFA,1852,2023_2024
3,3,Spain,UEFA,1836,2023_2024
4,4,England,UEFA,1817,2023_2024
5,5,Brazil,CONMEBOL,1772,2023_2024
6,6,Belgium,UEFA,1768,2023_2024
7,7,Netherlands,UEFA,1760,2023_2024
8,8,Portugal,UEFA,1752,2023_2024
9,9,Colombia,CONMEBOL,1739,2023_2024
10,10,Italy,UEFA,1726,2023_2024
11,11,Uruguay,CONMEBOL,1701,2023_2024
12,12,Croatia,UEFA,1700,2023_2024
13,13,Germany,UEFA,1692,2023_2024
14,14,Morocco,CAF,1676,2023_2024
15,15,Switzerland,UEFA,1641,2023_2024
16,18,Japan,AFC,1640,2023_2024
17,17,Mexico,CONCACAF,1636,2023_2024
18,16,United States,CONCACAF,1632,2023_2024
19,20,Iran,AFC,1623,2023_2024
20,21,Denmark,UEFA,1622,2023_2024
21,19,Senegal,CAF,1621,2023_2024
22,22,Austria,UEFA,1580,2023_2024
23,23,South Korea,AFC,1573,2023_2024
24,25,Ukraine,UEFA,1548,2023_2024
25,24,Australia,AFC,1544,2023_2024
26,26,Turkey,UEFA,1539,2023_2024
27,27,Ecuador,CONMEBOL,1535,2023_2024
28,29,Sweden,UEFA,1528,2023_2024
29,30,Wales,UEFA,1527,2023_2024
30,28,Poland,UEFA,1525,2023_2024
