squad,#_of_players,90s_played,passes_completed,passes_attempted,pass_completion_%,total_passing_distance,progressive_passing_distance,passes_completed_(short),passes_attempted_(short),pass_completion_%_(short),passes_completed_(medium),passes_attempted_(medium),pass_completion_%_(medium),passes_completed_(long),passes_attempted_(long),pass_completion_%_(long),assists,xag:_exp._assisted_goals,xa:_expected_assists,assists_-_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,league,season
B-SAD,37,34,9838,13251,74,185619,73724,3949,4653,84,4437,5295,83,1207,2584,46,11,20,18,-9,212,639,146,56,850,Primeira_Liga,2021_2022
Benfica,35,34,16615,19789,84,294149,97191,7083,7888,89,7501,8372,89,1585,2473,64,58,54,50,3,402,1365,393,91,1819,Primeira_Liga,2021_2022
Boavista,28,34,10587,13988,75,204104,78061,4097,4873,84,4783,5618,85,1418,2696,52,28,24,18,3,288,668,110,44,841,Primeira_Liga,2021_2022
Braga,40,34,14840,18609,79,279751,92693,5932,6768,87,6765,7826,86,1818,3137,58,34,37,31,-3,356,1223,254,57,1391,Primeira_Liga,2021_2022
Estoril,31,34,11591,14765,78,225491,78664,4178,4865,85,5719,6598,86,1500,2594,57,25,24,23,0,253,851,185,78,1176,Primeira_Liga,2021_2022
Famalicão,37,34,11418,14675,77,223553,86354,4385,5140,85,5090,5957,85,1653,2813,58,32,32,29,0,289,936,217,71,1201,Primeira_Liga,2021_2022
Gil Vicente FC,29,34,13929,17410,80,267552,92922,5282,6058,87,6561,7547,86,1768,2970,59,32,31,28,0,313,1198,258,41,1429,Primeira_Liga,2021_2022
Marítimo,30,34,11617,14954,77,230848,86304,4105,4828,85,5710,6611,86,1620,2857,56,21,22,20,-1,246,757,163,62,996,Primeira_Liga,2021_2022
Moreirense,29,34,9346,13209,70,179411,72213,3821,4671,81,3955,4970,79,1305,2702,48,19,24,21,-5,243,802,176,62,1029,Primeira_Liga,2021_2022
Paços,30,34,11350,14804,76,221718,83807,4332,4992,86,5224,6197,84,1572,2888,54,17,21,21,-4,244,826,188,76,992,Primeira_Liga,2021_2022
Portimonense,35,34,11242,14717,76,225169,86132,4222,4962,85,5155,6046,85,1681,3081,54,18,23,20,-5,299,820,142,36,1056,Primeira_Liga,2021_2022
Porto,33,34,16188,19569,82,281824,96681,7589,8413,90,6243,7179,87,1776,2821,63,54,59,55,-5,446,1298,388,67,1554,Primeira_Liga,2021_2022
Santa Clara,32,34,10609,14029,75,206207,81040,4137,4877,84,4747,5605,84,1498,2822,53,22,26,23,-4,247,809,156,36,967,Primeira_Liga,2021_2022
Sporting CP,31,34,16576,19896,83,293023,96142,7398,8193,90,7221,8175,88,1635,2644,61,45,48,43,-3,394,1264,338,97,1563,Primeira_Liga,2021_2022
Tondela,27,34,10770,14260,75,203209,82052,4461,5200,85,4660,5630,82,1399,2667,52,25,22,19,2,213,731,158,47,964,Primeira_Liga,2021_2022
Vitória,31,34,11541,14962,77,220936,81315,4731,5471,86,4934,5844,84,1600,2854,56,25,31,27,-6,322,976,246,81,1273,Primeira_Liga,2021_2022
Vizela,31,34,10187,13836,73,184230,76044,4484,5277,85,4271,5224,81,1175,2470,47,23,27,29,-4,299,844,218,76,1167,Primeira_Liga,2021_2022
Atalanta,29,38,16051,19961,80,281418,100413,7280,8321,87,6956,7989,87,1466,2642,55,57,43,38,13,437,1223,381,114,1754,Serie_A,2023_2024
Bologna,28,38,19125,22504,85,315900,100821,9408,10260,91,7744,8573,90,1415,2441,58,32,32,25,0,356,1267,256,55,1453,Serie_A,2023_2024
Cagliari,29,38,10731,14709,73,205047,81881,4427,5206,85,4662,5786,80,1441,2966,48,30,29,25,0,330,863,260,125,1109,Serie_A,2023_2024
Empoli,34,38,11571,15348,75,210427,82600,4961,5759,86,5094,6059,84,1240,2680,46,19,25,24,-6,297,827,206,74,1056,Serie_A,2023_2024
Fiorentina,30,38,16180,19975,81,306932,103541,6368,7193,88,7511,8557,87,2004,3302,60,41,35,39,5,395,1327,374,103,1656,Serie_A,2023_2024
Frosinone,34,38,13740,17545,78,226596,87424,6769,7660,88,5457,6523,83,1085,2330,46,29,30,24,-1,350,962,279,69,1326,Serie_A,2023_2024
Genoa,34,38,12053,15765,76,219285,85245,5128,5934,86,5142,6121,84,1379,2710,50,27,22,24,4,300,865,223,75,1079,Serie_A,2023_2024
Hellas Verona,36,38,10639,14710,72,211949,86317,4116,5023,81,4666,5727,81,1618,3113,52,29,27,22,1,335,958,216,92,1122,Serie_A,2023_2024
Inter,27,38,19136,22447,85,332897,109819,8631,9446,91,8159,9056,90,1839,2800,65,60,55,50,4,440,1288,437,116,1620,Serie_A,2023_2024
Juventus,31,38,14757,18079,81,274823,94184,5963,6728,88,6820,7755,87,1727,2762,62,37,39,37,-2,417,1191,296,105,1473,Serie_A,2023_2024
Lazio,22,38,17462,21071,82,293219,101247,8440,9314,90,6970,7966,87,1557,2657,58,30,32,31,-2,331,1270,316,62,1528,Serie_A,2023_2024
Lecce,26,38,11742,15397,76,220284,81904,4700,5530,85,5225,6158,84,1487,2846,52,23,30,23,-7,378,895,211,87,1183,Serie_A,2023_2024
Milan,35,38,17656,20741,85,304243,102555,7905,8708,90,7904,8738,90,1438,2341,61,56,46,41,10,430,1213,338,94,1569,Serie_A,2023_2024
Monza,31,38,16734,19870,84,310386,98194,6742,7422,90,7969,8830,90,1771,2837,62,29,27,27,1,348,1087,251,92,1248,Serie_A,2023_2024
Napoli,29,38,19517,22942,85,335198,107611,9095,9898,91,8105,9121,88,1832,2884,63,36,42,38,-6,497,1507,398,84,1758,Serie_A,2023_2024
Roma,30,38,17066,20523,83,298380,99682,7660,8446,90,7615,8620,88,1474,2569,57,44,34,31,9,363,1217,315,87,1469,Serie_A,2023_2024
Salernitana,39,38,12124,15920,76,210672,79322,5624,6417,87,4851,5890,82,1233,2585,47,25,22,18,2,310,885,207,74,1119,Serie_A,2023_2024
Sassuolo,30,38,11978,15683,76,221423,83557,4986,5788,86,5295,6301,84,1385,2776,49,28,25,25,2,340,995,248,60,1301,Serie_A,2023_2024
Torino,30,38,14578,18229,80,257125,90455,6446,7271,88,6372,7364,86,1345,2609,51,29,30,29,-1,338,1028,277,101,1333,Serie_A,2023_2024
Udinese,32,38,9976,13300,75,185378,75887,4317,5066,85,4174,5111,81,1234,2396,51,23,28,23,-5,329,874,186,76,1022,Serie_A,2023_2024
Arsenal,27,38,16176,19843,81,280868,91114,7325,8210,89,7187,8140,88,1326,2584,51,41,40,34,0,437,1354,329,74,1655,Premier_League,2021_2022
Aston Villa,31,38,12748,16499,77,220973,85405,5916,6803,87,5184,6136,84,1239,2571,48,42,34,30,7,356,1019,293,70,1300,Premier_League,2021_2022
Brentford,29,38,11676,16272,71,211867,85983,5201,6312,82,4797,6120,78,1357,2852,47,33,33,33,0,311,942,262,81,1189,Premier_League,2021_2022
Brighton,26,38,16410,20588,79,288827,95307,7195,8172,88,7130,8208,86,1579,2953,53,30,32,31,-2,356,1187,342,72,1547,Premier_League,2021_2022
Burnley,23,38,9454,14107,67,178791,80195,4297,5327,80,3306,4472,73,1457,3216,45,26,31,28,-5,286,877,240,84,972,Premier_League,2021_2022
Chelsea,26,38,21190,24888,85,342325,113085,10628,11617,91,8318,9322,89,1524,2514,60,52,44,42,7,439,1614,437,66,1967,Premier_League,2021_2022
Crystal Palace,24,38,14983,19081,78,265538,92523,6553,7495,87,6521,7610,85,1467,2871,51,31,31,30,0,305,990,270,75,1229,Premier_League,2021_2022
Everton,33,38,10366,14557,71,184813,76163,4889,5859,83,3844,4901,78,1215,2704,44,29,28,25,0,323,898,255,77,1100,Premier_League,2021_2022
Leeds United,29,38,13989,18288,76,242664,89161,6271,7285,86,5921,7050,84,1325,2754,48,26,31,25,-5,347,995,272,53,1483,Premier_League,2021_2022
Leicester City,28,38,16129,20137,80,269547,94214,7751,8789,88,6573,7579,86,1329,2581,51,46,34,26,11,312,1025,254,57,1356,Premier_League,2021_2022
Liverpool,27,38,21163,25552,82,370621,127087,9420,10506,89,9245,10569,87,2000,3211,62,71,63,56,7,527,1878,511,92,2243,Premier_League,2021_2022
Manchester City,26,38,24406,27902,87,412596,117964,11713,12605,92,10158,11162,91,1972,2895,68,63,65,57,-2,536,2110,535,74,2421,Premier_League,2021_2022
Manchester Utd,29,38,16690,20641,80,280259,93084,8162,9234,88,6398,7436,86,1548,2626,58,46,42,37,3,407,1315,312,65,1568,Premier_League,2021_2022
Newcastle Utd,29,38,10201,14036,72,188373,77685,4545,5432,83,3917,4880,80,1343,2746,48,23,25,23,-2,308,791,193,55,923,Premier_League,2021_2022
Norwich City,28,38,12164,16070,75,217007,80065,5578,6484,86,4912,5949,82,1369,2757,49,16,24,23,-8,264,739,226,46,1031,Premier_League,2021_2022
Southampton,25,38,12505,16941,73,211003,80089,6089,7173,84,4893,6093,80,1112,2591,42,26,32,28,-6,353,1016,249,58,1326,Premier_League,2021_2022
Tottenham,25,38,17204,20696,83,283871,93464,8270,9143,90,6856,7812,87,1376,2371,58,50,47,41,3,379,1172,338,81,1459,Premier_League,2021_2022
Watford,30,38,10423,14640,71,193942,80054,4505,5496,82,4270,5325,80,1330,2903,45,26,32,22,-6,298,834,213,70,1070,Premier_League,2021_2022
West Ham,25,38,14326,18378,78,251152,89191,6627,7493,88,5789,6856,84,1479,2906,50,46,37,32,8,320,1106,271,87,1449,Premier_League,2021_2022
Wolves,26,38,15253,19103,79,275607,92814,6533,7415,88,6610,7664,86,1718,3005,57,22,26,23,-4,294,1096,212,57,1283,Premier_League,2021_2022
Almería,29,38,12151,15855,76,225475,89276,5232,6003,87,5084,6022,84,1512,2911,51,33,32,28,0,316,846,218,81,1090,La_Liga,2022_2023
Athletic Club,26,38,14440,18630,77,261620,96037,6451,7431,86,6030,7262,83,1634,2878,56,33,38,35,-5,413,1385,341,107,1816,La_Liga,2022_2023
Atlético Madrid,27,38,16814,20488,82,277627,101839,8616,9432,91,6028,7038,85,1549,2765,56,51,48,40,3,418,1200,335,68,1571,La_Liga,2022_2023
Barcelona,29,38,21298,24733,86,364375,115139,10267,11175,91,8599,9543,90,1990,2923,68,56,60,66,-4,449,1859,482,104,2181,La_Liga,2022_2023
