player,nation,position,squad,age,year_of_birth,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
Ivor Pandur,CRO,GK,Fortuna Sittard,23,2000,16,16,"1,440",16.0,28.0,1.75,78.0,51.0,66.7,5.0,4.0,7.0,4.0,25.0,2.0,2.0,0.0,0.0,0.0,Eredivisie,2023_2024
Diant Ramaj,GER,GK,Ajax,21,2001,22,20,"1,824",20.3,32.0,1.58,99.0,68.0,68.7,10.0,7.0,3.0,3.0,15.0,1.0,1.0,0.0,0.0,0.0,Eredivisie,2023_2024
Robin Roefs,NED,GK,NEC Nijmegen,20,2003,5,4,420,4.7,5.0,1.07,18.0,13.0,72.2,1.0,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,,Eredivisie,2023_2024
Eloy Room,CUW,GK,Vitesse,34,1989,34,34,"3,060",34.0,74.0,2.18,225.0,150.0,69.3,6.0,6.0,22.0,3.0,8.8,7.0,5.0,2.0,0.0,28.6,Eredivisie,2023_2024
Gerónimo Rulli,ARG,GK,Ajax,31,1992,7,7,571,6.3,12.0,1.89,30.0,18.0,63.3,4.0,2.0,1.0,1.0,14.3,1.0,1.0,0.0,0.0,0.0,Eredivisie,2023_2024
Mathew Ryan,AUS,GK,AZ Alkmaar,31,1992,29,29,"2,610",29.0,28.0,0.97,109.0,81.0,77.1,19.0,6.0,4.0,13.0,44.8,3.0,3.0,0.0,0.0,0.0,Eredivisie,2023_2024
Samuel Şahin-Radlinger,AUT,GK,Almere City,30,1992,6,5,464,5.2,6.0,1.16,25.0,19.0,76.0,0.0,4.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,,Eredivisie,2023_2024
Jasper Schendelaar,NED,GK,Zwolle,22,2000,32,32,"2,880",32.0,64.0,2.0,185.0,123.0,69.2,9.0,8.0,15.0,5.0,15.6,9.0,7.0,2.0,0.0,22.2,Eredivisie,2023_2024
Mark Spenkelink,NED,GK,RKC Waalwijk,26,1997,1,1,90,1.0,2.0,2.0,12.0,10.0,83.3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,Eredivisie,2023_2024
Przemysław Tytoń,POL,GK,Twente,36,1987,2,2,180,2.0,2.0,1.0,6.0,5.0,66.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Eredivisie,2023_2024
