player,nation,position,squad,age,year_of_birth,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
Frederik Ibsen,DEN,GK,Lyngby,25,1997,6,6,540,6.0,12.0,2.0,20.0,9.0,45.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Danish_Superliga,2022_2023
Karl-Johan Johnsson,SWE,GK,FC Copenhagen,32,1990,4,3,353,3.9,9.0,2.29,15.0,7.0,40.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,Danish_Superliga,2022_2023
Mads Kikkenborg,DEN,GK,Lyngby,22,1999,26,26,"2,340",26.0,34.0,1.31,104.0,74.0,69.2,6.0,8.0,12.0,3.0,11.5,4.0,2.0,2.0,0.0,50.0,Danish_Superliga,2022_2023
Nicolai Larsen,DEN,GK,Silkeborg,31,1991,32,32,"2,834",31.5,47.0,1.49,120.0,78.0,64.2,11.0,8.0,13.0,6.0,18.8,5.0,4.0,1.0,0.0,20.0,Danish_Superliga,2022_2023
Jonas Lössl,DEN,GK,Midtjylland,33,1989,24,24,"2,160",24.0,25.0,1.04,75.0,54.0,72.0,10.0,9.0,5.0,9.0,37.5,6.0,4.0,0.0,2.0,0.0,Danish_Superliga,2022_2023
Lucas Lund Pedersen,DEN,GK,Viborg,22,2000,32,32,"2,880",32.0,34.0,1.06,135.0,104.0,75.6,14.0,9.0,9.0,9.0,28.1,5.0,1.0,2.0,2.0,66.7,Danish_Superliga,2022_2023
Nico Mantl,GER,GK,Aalborg,22,2000,8,8,720,8.0,9.0,1.13,39.0,31.0,79.5,2.0,3.0,3.0,2.0,25.0,2.0,1.0,0.0,1.0,0.0,Danish_Superliga,2022_2023
Thomas Mikkelsen,DEN,GK,Brøndby,38,1983,5,5,450,5.0,6.0,1.2,15.0,10.0,66.7,2.0,1.0,2.0,2.0,40.0,1.0,1.0,0.0,0.0,0.0,Danish_Superliga,2022_2023
Alexander Nybo,DEN,GK,Randers,27,1995,1,1,90,1.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Danish_Superliga,2022_2023
Josip Posavec,CRO,GK,Aalborg,26,1996,10,10,900,10.0,14.0,1.4,45.0,31.0,68.9,2.0,4.0,4.0,3.0,30.0,0.0,0.0,0.0,0.0,,Danish_Superliga,2022_2023
Elías Rafn Ólafsson,ISL,GK,Midtjylland,22,2000,8,8,720,8.0,14.0,1.75,34.0,22.0,64.7,3.0,3.0,2.0,1.0,12.5,2.0,2.0,0.0,0.0,0.0,Danish_Superliga,2022_2023
Mathew Ryan,AUS,GK,FC Copenhagen,30,1992,6,6,540,6.0,7.0,1.17,23.0,17.0,73.9,3.0,0.0,3.0,3.0,50.0,2.0,1.0,0.0,1.0,0.0,Danish_Superliga,2022_2023
Theo Sander,DEN,GK,Aalborg,17,2005,14,14,"1,260",14.0,20.0,1.43,59.0,41.0,69.5,2.0,2.0,10.0,4.0,28.6,2.0,2.0,0.0,0.0,0.0,Danish_Superliga,2022_2023
Aleksandar Stankovic,DEN,GK,Randers,27,1995,1,0,25,0.3,2.0,7.2,2.0,1.0,50.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,Danish_Superliga,2022_2023
Emil Audero,ITA,GK,Sampdoria,24,1997,29,29,"2,560",28.4,48.0,1.69,130.0,82.0,63.8,8.0,5.0,16.0,5.0,17.2,2.0,1.0,1.0,0.0,50.0,Serie_A,2021_2022
Nicola Bagnolini,ITA,GK,Bologna,17,2004,1,0,3,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,Serie_A,2021_2022
Francesco Bardi,ITA,GK,Bologna,29,1992,2,2,177,2.0,2.0,1.02,9.0,7.0,77.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Serie_A,2021_2022
Vid Belec,SVN,GK,Salernitana,31,1990,23,21,"1,938",21.5,49.0,2.28,135.0,87.0,65.9,3.0,2.0,16.0,1.0,4.8,5.0,3.0,1.0,1.0,25.0,Serie_A,2021_2022
Alessandro Berardi,ITA,GK,Hellas Verona,30,1991,1,1,90,1.0,3.0,3.0,7.0,4.0,57.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Serie_A,2021_2022
Etrit Berisha,ALB,GK,Torino,32,1989,10,10,900,10.0,8.0,0.8,41.0,32.0,85.4,3.0,4.0,3.0,4.0,40.0,3.0,2.0,1.0,0.0,33.3,Serie_A,2021_2022
Andrea Consigli,ITA,GK,Sassuolo,34,1987,37,37,"3,322",36.9,63.0,1.71,171.0,108.0,67.8,13.0,11.0,13.0,3.0,8.1,9.0,8.0,1.0,0.0,11.1,Serie_A,2021_2022
Alessio Cragno,ITA,GK,Cagliari,27,1994,35,35,"3,150",35.0,63.0,1.8,168.0,104.0,66.1,6.0,10.0,19.0,2.0,5.7,8.0,6.0,2.0,0.0,25.0,Serie_A,2021_2022
Bartłomiej Drągowski,POL,GK,Fiorentina,23,1997,7,7,556,6.2,8.0,1.29,26.0,17.0,73.1,3.0,0.0,4.0,2.0,28.6,2.0,1.0,1.0,0.0,50.0,Serie_A,2021_2022
Wladimiro Falcone,ITA,GK,Sampdoria,26,1995,10,9,855,9.5,14.0,1.47,54.0,41.0,75.9,2.0,1.0,6.0,2.0,22.2,1.0,1.0,0.0,0.0,0.0,Serie_A,2021_2022
Vincenzo Fiorillo,ITA,GK,Salernitana,31,1990,1,1,90,1.0,5.0,5.0,8.0,3.0,37.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Serie_A,2021_2022
Luca Gemello,ITA,GK,Torino,21,2000,1,1,90,1.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Serie_A,2021_2022
Samir Handanović,SVN,GK,Inter,37,1984,37,37,"3,330",37.0,30.0,0.81,124.0,95.0,79.0,25.0,9.0,3.0,15.0,40.5,4.0,4.0,0.0,0.0,0.0,Serie_A,2021_2022
Luca Lezzerini,ITA,GK,Venezia,26,1995,6,6,495,5.5,9.0,1.64,39.0,30.0,76.9,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,Serie_A,2021_2022
Niki Mäenpää,FIN,GK,Venezia,36,1985,17,16,"1,485",16.5,27.0,1.64,84.0,57.0,73.8,1.0,4.0,11.0,1.0,6.3,6.0,5.0,0.0,1.0,0.0,Serie_A,2021_2022
Mike Maignan,FRA,GK,Milan,26,1995,32,32,"2,880",32.0,21.0,0.66,101.0,81.0,81.2,22.0,7.0,3.0,17.0,53.1,2.0,2.0,0.0,0.0,0.0,Serie_A,2021_2022
Davide Marfella,ITA,GK,Napoli,21,1999,1,0,11,0.1,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,Serie_A,2021_2022
Alex Meret,ITA,GK,Napoli,24,1997,7,7,619,6.9,6.0,0.87,29.0,23.0,79.3,5.0,1.0,1.0,2.0,28.6,0.0,0.0,0.0,0.0,,Serie_A,2021_2022
Vanja Milinković-Savić,SRB,GK,Torino,24,1997,27,27,"2,430",27.0,33.0,1.22,80.0,46.0,67.5,9.0,7.0,11.0,4.0,14.8,8.0,7.0,1.0,0.0,12.5,Serie_A,2021_2022
Lorenzo Montipò,ITA,GK,Hellas Verona,25,1996,34,34,"3,060",34.0,50.0,1.47,137.0,88.0,65.0,13.0,10.0,11.0,4.0,11.8,3.0,2.0,1.0,0.0,33.3,Serie_A,2021_2022
Juan Musso,ARG,GK,Atalanta,27,1994,33,33,"2,932",32.6,42.0,1.29,119.0,80.0,67.2,16.0,8.0,9.0,8.0,24.2,4.0,3.0,0.0,1.0,0.0,Serie_A,2021_2022
David Ospina,COL,GK,Napoli,32,1988,31,31,"2,790",31.0,25.0,0.81,106.0,82.0,77.4,19.0,6.0,6.0,13.0,41.9,1.0,1.0,0.0,0.0,0.0,Serie_A,2021_2022
Daniele Padelli,ITA,GK,Udinese,35,1985,3,3,270,3.0,8.0,2.67,21.0,13.0,61.9,1.0,0.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,,Serie_A,2021_2022
Ivor Pandur,CRO,GK,Hellas Verona,21,2000,3,3,270,3.0,6.0,2.0,15.0,9.0,66.7,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Serie_A,2021_2022
Rui Patrício,POR,GK,Roma,33,1988,38,38,"3,420",38.0,43.0,1.13,146.0,104.0,74.0,18.0,9.0,11.0,15.0,39.5,6.0,5.0,1.0,0.0,16.7,Serie_A,2021_2022
Gianluca Pegolo,ITA,GK,Sassuolo,40,1981,1,1,90,1.0,3.0,3.0,5.0,2.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Serie_A,2021_2022
Mattia Perin,ITA,GK,Juventus,28,1992,5,5,405,4.5,7.0,1.56,16.0,10.0,56.3,2.0,1.0,2.0,1.0,20.0,0.0,0.0,0.0,0.0,,Serie_A,2021_2022
Carlo Pinsoglio,ITA,GK,Juventus,31,1990,1,0,45,0.5,1.0,2.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,Serie_A,2021_2022
Ivan Provedel,ITA,GK,Spezia,27,1994,31,31,"2,761",30.7,52.0,1.7,165.0,116.0,73.9,9.0,5.0,17.0,7.0,22.6,11.0,9.0,0.0,2.0,0.0,Serie_A,2021_2022
Ionuț Radu,ROU,GK,Inter,24,1997,1,1,90,1.0,2.0,2.0,3.0,1.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Serie_A,2021_2022
Boris Radunović,SRB,GK,Cagliari,25,1996,3,3,270,3.0,5.0,1.67,17.0,11.0,76.5,0.0,2.0,1.0,1.0,33.3,2.0,1.0,1.0,0.0,50.0,Serie_A,2021_2022
Nicola Ravaglia,ITA,GK,Sampdoria,32,1988,1,0,5,0.1,1.0,18.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,Serie_A,2021_2022
Pepe Reina,ESP,GK,Lazio,38,1982,15,15,"1,350",15.0,29.0,1.93,60.0,31.0,58.3,6.0,4.0,5.0,2.0,13.3,5.0,4.0,0.0,1.0,0.0,Serie_A,2021_2022
Sergio Romero,ARG,GK,Venezia,34,1987,16,16,"1,440",16.0,33.0,2.06,105.0,74.0,74.3,3.0,4.0,9.0,3.0,18.8,6.0,6.0,0.0,0.0,0.0,Serie_A,2021_2022
Francesco Rossi,ITA,GK,Atalanta,30,1991,1,0,37,0.4,1.0,2.43,2.0,1.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Serie_A,2021_2022
Giacomo Satalino,ITA,GK,Sassuolo,22,1999,1,0,8,0.1,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Serie_A,2021_2022
Adrian Šemper,CRO,GK,Genoa,23,1998,1,1,90,1.0,1.0,1.0,4.0,3.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Serie_A,2021_2022
Luigi Sepe,ITA,GK,Salernitana,30,1991,16,16,"1,392",15.5,24.0,1.55,78.0,54.0,73.1,4.0,8.0,4.0,1.0,6.3,3.0,3.0,0.0,0.0,0.0,Serie_A,2021_2022
Marco Silvestri,ITA,GK,Udinese,30,1991,35,35,"3,150",35.0,50.0,1.43,141.0,92.0,68.1,10.0,14.0,11.0,7.0,20.0,7.0,5.0,0.0,2.0,0.0,Serie_A,2021_2022
Salvatore Sirigu,ITA,GK,Genoa,34,1987,37,37,"3,330",37.0,59.0,1.59,180.0,122.0,69.4,4.0,16.0,17.0,10.0,27.0,5.0,4.0,1.0,0.0,20.0,Serie_A,2021_2022
Łukasz Skorupski,POL,GK,Bologna,30,1991,36,36,"3,240",36.0,53.0,1.47,174.0,122.0,74.1,11.0,9.0,16.0,12.0,33.3,9.0,8.0,1.0,0.0,11.1,Serie_A,2021_2022
Marco Sportiello,ITA,GK,Atalanta,29,1992,5,5,450,5.0,5.0,1.0,18.0,13.0,83.3,0.0,3.0,2.0,2.0,40.0,2.0,2.0,0.0,0.0,0.0,Serie_A,2021_2022
Thomas Strakosha,ALB,GK,Lazio,26,1995,23,23,"2,070",23.0,29.0,1.26,86.0,58.0,67.4,12.0,6.0,5.0,7.0,30.4,1.0,1.0,0.0,0.0,0.0,Serie_A,2021_2022
Wojciech Szczęsny,POL,GK,Juventus,31,1990,33,33,"2,970",33.0,29.0,0.88,105.0,73.0,75.2,18.0,9.0,6.0,12.0,36.4,6.0,3.0,3.0,0.0,50.0,Serie_A,2021_2022
Ciprian Tătărușanu,ROU,GK,Milan,35,1986,6,6,540,6.0,10.0,1.67,24.0,14.0,66.7,4.0,1.0,1.0,1.0,16.7,3.0,2.0,1.0,0.0,33.3,Serie_A,2021_2022
Pietro Terracciano,ITA,GK,Fiorentina,31,1990,32,31,"2,862",31.8,43.0,1.35,100.0,58.0,59.0,16.0,5.0,10.0,9.0,29.0,3.0,2.0,1.0,0.0,33.3,Serie_A,2021_2022
Guglielmo Vicario,ITA,GK,Empoli,24,1996,38,38,"3,420",38.0,70.0,1.84,216.0,150.0,69.9,10.0,11.0,17.0,7.0,18.4,10.0,5.0,2.0,3.0,28.6,Serie_A,2021_2022
Jeroen Zoet,NED,GK,Spezia,30,1991,7,7,630,7.0,19.0,2.71,43.0,23.0,58.1,1.0,1.0,5.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,Serie_A,2021_2022
Petar Zovko,BIH,GK,Spezia,19,2002,1,0,29,0.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Serie_A,2021_2022
Oliver Baumann,GER,GK,Hoffenheim,31,1990,33,33,"2,970",33.0,57.0,1.73,155.0,98.0,64.5,12.0,7.0,14.0,8.0,24.2,4.0,2.0,1.0,1.0,33.3,Bundesliga,2021_2022
Fabian Bredlow,GER,GK,Stuttgart,26,1995,4,4,360,4.0,7.0,1.75,24.0,17.0,70.8,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bundesliga,2021_2022
Sascha Burchert,GER,GK,Greuther Fürth,31,1989,14,14,"1,260",14.0,28.0,2.0,72.0,46.0,65.3,2.0,4.0,8.0,3.0,21.4,3.0,3.0,0.0,0.0,0.0,Bundesliga,2021_2022
Roman Bürki,SUI,GK,Dortmund,30,1990,1,1,90,1.0,1.0,1.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Bundesliga,2021_2022
Koen Casteels,BEL,GK,Wolfsburg,29,1992,28,28,"2,520",28.0,40.0,1.43,118.0,76.0,68.6,11.0,6.0,11.0,10.0,35.7,6.0,3.0,2.0,1.0,40.0,Bundesliga,2021_2022
Finn Dahmen,GER,GK,Mainz 05,23,1998,2,2,180,2.0,3.0,1.5,5.0,2.0,60.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Bundesliga,2021_2022
Michael Esser,GER,GK,Bochum,33,1987,3,3,270,3.0,7.0,2.33,21.0,14.0,76.2,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Bundesliga,2021_2022
Mark Flekken,NED,GK,Freiburg,28,1993,32,32,"2,880",32.0,39.0,1.22,141.0,103.0,73.8,15.0,9.0,8.0,10.0,31.3,2.0,2.0,0.0,0.0,0.0,Bundesliga,2021_2022
Christian Früchtl,GER,GK,Bayern Munich,21,2000,1,0,10,0.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Bundesliga,2021_2022
Marius Funk,GER,GK,Greuther Fürth,25,1996,8,8,720,8.0,30.0,3.75,54.0,26.0,48.1,0.0,0.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Bundesliga,2021_2022
Rafał Gikiewicz,POL,GK,Augsburg,33,1987,34,34,"3,060",34.0,56.0,1.65,156.0,102.0,67.3,10.0,8.0,16.0,9.0,26.5,5.0,5.0,0.0,0.0,0.0,Bundesliga,2021_2022
Jens Grahl,GER,GK,Eint Frankfurt,32,1988,1,1,90,1.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bundesliga,2021_2022
Lennart Grill,GER,GK,Leverkusen,22,1999,1,1,90,1.0,2.0,2.0,6.0,5.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bundesliga,2021_2022
Péter Gulácsi,HUN,GK,RB Leipzig,31,1990,33,33,"2,967",33.0,34.0,1.03,111.0,78.0,72.1,17.0,7.0,9.0,9.0,27.3,3.0,3.0,0.0,0.0,0.0,Bundesliga,2021_2022
Marwin Hitz,SUI,GK,Dortmund,33,1987,5,4,405,4.5,12.0,2.67,25.0,13.0,60.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Bundesliga,2021_2022
Timo Horn,GER,GK,Köln,28,1993,13,13,"1,170",13.0,21.0,1.62,56.0,36.0,62.5,4.0,6.0,3.0,1.0,7.7,0.0,0.0,0.0,0.0,,Bundesliga,2021_2022
Lukáš Hrádecký,FIN,GK,Leverkusen,31,1989,32,32,"2,880",32.0,44.0,1.37,154.0,109.0,72.7,17.0,7.0,8.0,8.0,25.0,4.0,2.0,1.0,1.0,33.3,Bundesliga,2021_2022
Stefanos Kapino,GRE,GK,Arminia,27,1994,1,1,90,1.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Bundesliga,2021_2022
Gregor Kobel,SUI,GK,Dortmund,23,1997,29,29,"2,565",28.5,39.0,1.37,110.0,73.0,67.3,20.0,3.0,6.0,7.0,24.1,3.0,3.0,0.0,0.0,0.0,Bundesliga,2021_2022
Andreas Linde,SWE,GK,Greuther Fürth,28,1993,12,12,"1,080",12.0,24.0,2.0,62.0,39.0,62.9,1.0,5.0,6.0,3.0,25.0,1.0,1.0,0.0,0.0,0.0,Bundesliga,2021_2022
Marcel Lotka,POL,GK,Hertha BSC,20,2001,10,9,885,9.8,20.0,2.03,49.0,29.0,65.3,2.0,1.0,6.0,2.0,22.2,3.0,3.0,0.0,0.0,0.0,Bundesliga,2021_2022
Andrey Lunyov,RUS,GK,Leverkusen,29,1991,1,1,90,1.0,1.0,1.0,2.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bundesliga,2021_2022
Andreas Luthe,GER,GK,Union Berlin,34,1987,27,27,"2,430",27.0,39.0,1.44,104.0,68.0,64.4,11.0,7.0,9.0,6.0,22.2,2.0,2.0,0.0,0.0,0.0,Bundesliga,2021_2022
Josep Martinez,ESP,GK,RB Leipzig,23,1998,1,1,90,1.0,3.0,3.0,4.0,1.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bundesliga,2021_2022
Florian Müller,GER,GK,Stuttgart,23,1997,30,30,"2,700",30.0,52.0,1.73,139.0,88.0,65.5,7.0,10.0,13.0,4.0,13.3,4.0,4.0,0.0,0.0,0.0,Bundesliga,2021_2022
Manuel Neuer,GER,GK,Bayern Munich,35,1986,28,28,"2,510",27.9,26.0,0.93,89.0,63.0,71.9,22.0,4.0,2.0,10.0,35.7,1.0,1.0,0.0,0.0,0.0,Bundesliga,2021_2022
Stefan Ortega,GER,GK,Arminia,28,1992,33,33,"2,970",33.0,53.0,1.61,176.0,125.0,73.9,4.0,13.0,16.0,6.0,18.2,7.0,7.0,0.0,0.0,0.0,Bundesliga,2021_2022
Philipp Pentke,GER,GK,Hoffenheim,36,1985,1,1,90,1.0,3.0,3.0,7.0,4.0,57.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bundesliga,2021_2022
Pavao Pervan,AUT,GK,Wolfsburg,33,1987,6,6,540,6.0,14.0,2.33,38.0,25.0,65.8,1.0,0.0,5.0,1.0,16.7,1.0,1.0,0.0,0.0,0.0,Bundesliga,2021_2022
Diant Ramaj,GER,GK,Eint Frankfurt,19,2001,1,1,90,1.0,1.0,1.0,4.0,3.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bundesliga,2021_2022
Manuel Riemann,GER,GK,Bochum,32,1988,31,31,"2,790",31.0,45.0,1.45,155.0,112.0,72.9,10.0,6.0,15.0,7.0,22.6,6.0,3.0,2.0,1.0,40.0,Bundesliga,2021_2022
Frederik Rønnow,DEN,GK,Union Berlin,28,1992,7,7,630,7.0,5.0,0.71,18.0,14.0,72.2,5.0,2.0,0.0,2.0,28.6,0.0,0.0,0.0,0.0,,Bundesliga,2021_2022
Marvin Schwäbe,GER,GK,Köln,26,1995,21,21,"1,890",21.0,28.0,1.33,98.0,70.0,71.4,10.0,4.0,7.0,3.0,14.3,1.0,0.0,1.0,0.0,100.0,Bundesliga,2021_2022
Alexander Schwolow,GER,GK,Hertha BSC,29,1992,25,25,"2,175",24.2,51.0,2.11,123.0,72.0,62.6,7.0,5.0,13.0,4.0,16.0,5.0,5.0,0.0,0.0,0.0,Bundesliga,2021_2022
Tobias Sippel,GER,GK,Gladbach,33,1988,1,1,90,1.0,1.0,1.0,3.0,2.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bundesliga,2021_2022
Yann Sommer,SUI,GK,Gladbach,32,1988,33,33,"2,970",33.0,60.0,1.82,182.0,120.0,68.7,12.0,8.0,13.0,5.0,15.2,5.0,3.0,2.0,0.0,40.0,Bundesliga,2021_2022
Kevin Trapp,GER,GK,Eint Frankfurt,31,1990,32,32,"2,880",32.0,46.0,1.44,157.0,112.0,73.2,10.0,11.0,11.0,5.0,15.6,4.0,4.0,0.0,0.0,0.0,Bundesliga,2021_2022
Philipp Tschauner,GER,GK,RB Leipzig,35,1985,1,0,3,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,Bundesliga,2021_2022
Sven Ulreich,GER,GK,Bayern Munich,32,1988,6,6,540,6.0,11.0,1.83,23.0,13.0,56.5,2.0,1.0,3.0,1.0,16.7,1.0,1.0,0.0,0.0,0.0,Bundesliga,2021_2022
Benjamin Uphoff,GER,GK,Freiburg,27,1993,2,2,180,2.0,7.0,3.5,12.0,5.0,41.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bundesliga,2021_2022
Robin Zentner,GER,GK,Mainz 05,26,1994,32,32,"2,880",32.0,42.0,1.31,120.0,78.0,68.3,12.0,6.0,14.0,10.0,31.3,5.0,4.0,1.0,0.0,20.0,Bundesliga,2021_2022
Gökhan Akkan,TUR,GK,Ankaragücü,27,1995,23,23,"2,011",22.3,31.0,1.39,109.0,82.0,75.2,9.0,4.0,10.0,4.0,17.4,4.0,4.0,0.0,0.0,0.0,Super_Lig,2022_2023
Rúnar Alex Rúnarsson,ISL,GK,Alanyaspor,27,1995,30,30,"2,644",29.4,54.0,1.84,151.0,106.0,69.5,8.0,7.0,15.0,6.0,20.0,9.0,8.0,1.0,0.0,11.1,Super_Lig,2022_2023
Alp Arda,nan,GK,İstanbulspor,27,1995,2,2,180,2.0,6.0,3.0,11.0,5.0,45.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Super_Lig,2022_2023
Volkan Babacan,TUR,GK,Başakşehir,33,1988,21,21,"1,890",21.0,14.0,0.67,58.0,46.0,79.3,11.0,5.0,5.0,8.0,38.1,2.0,2.0,0.0,0.0,0.0,Super_Lig,2022_2023
Bilal Bayazit,NED,GK,Kayserispor,23,1999,30,30,"2,692",29.9,52.0,1.74,146.0,101.0,68.5,12.0,4.0,14.0,7.0,23.3,7.0,6.0,1.0,0.0,14.3,Super_Lig,2022_2023
Altay Bayındır,TUR,GK,Fenerbahçe,24,1998,26,26,"2,340",26.0,31.0,1.19,81.0,54.0,66.7,18.0,3.0,5.0,9.0,34.6,5.0,4.0,1.0,0.0,20.0,Super_Lig,2022_2023
Emre Bilgin,TUR,GK,Beşiktaş,18,2004,2,2,180,2.0,3.0,1.5,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Super_Lig,2022_2023
Ruud Boffin,BEL,GK,Antalyaspor,34,1987,7,7,630,7.0,14.0,2.0,36.0,23.0,63.9,2.0,0.0,5.0,1.0,14.3,1.0,1.0,0.0,0.0,0.0,Super_Lig,2022_2023
Uğurcan Çakır,TUR,GK,Trabzonspor,26,1996,31,31,"2,760",30.7,48.0,1.57,122.0,80.0,65.6,14.0,5.0,12.0,11.0,35.5,6.0,6.0,0.0,0.0,0.0,Super_Lig,2022_2023
İrfan Can Eğribayat,TUR,GK,Fenerbahçe,24,1998,8,8,720,8.0,11.0,1.37,32.0,23.0,71.9,5.0,2.0,1.0,1.0,12.5,2.0,2.0,0.0,0.0,0.0,Super_Lig,2022_2023
Erdem Canpolat,GER,GK,Kasımpaşa,21,2001,10,9,811,9.0,20.0,2.22,45.0,29.0,64.4,4.0,1.0,4.0,1.0,11.1,4.0,4.0,0.0,0.0,0.0,Super_Lig,2022_2023
Muzaffer Cem Kablan,nan,GK,Fatih Karagümrük,22,2000,1,0,5,0.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,Super_Lig,2022_2023
Mehmet Dadakdeniz,TUR,GK,Antalyaspor,22,1999,1,1,90,1.0,0.0,0.0,3.0,4.0,100.0,0.0,1.0,0.0,1.0,100.0,1.0,0.0,1.0,0.0,100.0,Super_Lig,2022_2023
Anıl Demir,nan,GK,Ümraniyespor,25,1996,1,1,90,1.0,5.0,5.0,9.0,5.0,55.6,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Super_Lig,2022_2023
Ersin Destanoğlu,TUR,GK,Beşiktaş,21,2001,9,9,810,9.0,11.0,1.22,23.0,13.0,56.5,4.0,4.0,1.0,3.0,33.3,1.0,1.0,0.0,0.0,0.0,Super_Lig,2022_2023
Deniz Dilmen,nan,GK,Başakşehir,17,2005,1,1,90,1.0,2.0,2.0,9.0,8.0,77.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,Super_Lig,2022_2023
Erhan Erentürk,TUR,GK,Konyaspor,27,1995,5,5,450,5.0,11.0,2.2,21.0,12.0,57.1,1.0,2.0,2.0,1.0,20.0,2.0,2.0,0.0,0.0,0.0,Super_Lig,2022_2023
Cenk Gönen,TUR,GK,Kayserispor,34,1988,5,4,367,4.1,9.0,2.21,18.0,9.0,50.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Super_Lig,2022_2023
Bahadır Güngördü,nan,GK,Ankaragücü,24,1997,13,11,"1,048",11.7,20.0,1.72,53.0,36.0,67.9,2.0,2.0,7.0,2.0,18.2,3.0,3.0,0.0,0.0,0.0,Super_Lig,2022_2023
Mert Günok,TUR,GK,Beşiktaş,33,1989,23,23,"2,070",23.0,22.0,0.96,75.0,54.0,72.0,16.0,5.0,2.0,7.0,30.4,2.0,1.0,0.0,1.0,0.0,Super_Lig,2022_2023
