squad,#_of_players,average_age,possession,matches_played,starts,minutes,90s_played,goals,assists,goals_+_assists,non-penalty_goals,penalty_kicks_made,penalty_kicks_attempted,yellow_cards,red_cards,goals/90,assists/90,goals_+_assists/90,non-penalty_goals/90,npxg_+_xag/90,league,season,xg:_expected_goals,npxg:_non-penalty_xg,xag:_exp._assisted_goals,npxg_+_xag,progressive_carries,progressive_passes,non-penalty_goals_+_assists/90,xg/90,xag/90,xg_+_xag/90,npxg/90
Almería,29,26,45.0,38,418,3420,38,49,33.0,82.0,47,2,3,98,4,1,0.0,2.0,1,1.0,La_Liga,2022_2023,45.0,43.0,32.0,75.0,569.0,1090.0,2.0,1.0,0.0,2.0,1.0
Athletic Club,26,27,51.0,38,418,3420,38,46,33.0,79.0,41,5,7,81,5,1,0.0,2.0,1,2.0,La_Liga,2022_2023,54.0,48.0,38.0,87.0,864.0,1816.0,1.0,1.0,1.0,2.0,1.0
Atlético Madrid,27,28,50.0,38,418,3420,38,68,51.0,119.0,67,1,1,92,8,1,1.0,3.0,1,2.0,La_Liga,2022_2023,61.0,61.0,48.0,109.0,730.0,1571.0,3.0,1.0,1.0,2.0,1.0
Barcelona,29,25,64.0,38,418,3420,38,69,56.0,125.0,69,0,2,84,6,1,1.0,3.0,1,3.0,La_Liga,2022_2023,75.0,74.0,60.0,134.0,963.0,2181.0,3.0,1.0,1.0,3.0,1.0
Betis,30,28,50.0,38,418,3420,38,43,26.0,69.0,35,8,9,83,15,1,0.0,1.0,0,2.0,La_Liga,2022_2023,51.0,44.0,34.0,78.0,620.0,1272.0,1.0,1.0,0.0,2.0,1.0
Cádiz,38,29,41.0,38,418,3420,38,29,20.0,49.0,25,4,5,116,7,0,0.0,1.0,0,1.0,La_Liga,2022_2023,41.0,37.0,27.0,65.0,475.0,969.0,1.0,1.0,0.0,1.0,0.0
Celta Vigo,26,26,50.0,38,418,3420,38,41,31.0,72.0,39,2,3,85,6,1,0.0,1.0,1,1.0,La_Liga,2022_2023,42.0,40.0,30.0,71.0,704.0,1403.0,1.0,1.0,0.0,1.0,1.0
Elche,32,28,45.0,38,418,3420,38,30,21.0,51.0,26,4,5,99,12,0,0.0,1.0,0,1.0,La_Liga,2022_2023,37.0,33.0,27.0,60.0,561.0,1197.0,1.0,0.0,0.0,1.0,0.0
Espanyol,33,27,43.0,38,418,3420,38,51,31.0,82.0,46,5,5,99,10,1,0.0,2.0,1,2.0,La_Liga,2022_2023,48.0,44.0,35.0,79.0,528.0,1146.0,2.0,1.0,0.0,2.0,1.0
Getafe,25,27,39.0,38,418,3420,38,34,21.0,55.0,29,5,8,126,9,0,0.0,1.0,0,1.0,La_Liga,2022_2023,36.0,30.0,22.0,53.0,365.0,1003.0,1.0,0.0,0.0,1.0,0.0
Girona,29,26,51.0,38,418,3420,38,55,41.0,96.0,47,8,9,92,3,1,1.0,2.0,1,2.0,La_Liga,2022_2023,50.0,43.0,37.0,81.0,725.0,1378.0,2.0,1.0,0.0,2.0,1.0
Mallorca,31,27,41.0,38,418,3420,38,36,27.0,63.0,32,4,5,120,5,0,0.0,1.0,0,1.0,La_Liga,2022_2023,35.0,31.0,26.0,57.0,476.0,948.0,1.0,0.0,0.0,1.0,0.0
Osasuna,26,27,48.0,38,418,3420,38,36,30.0,66.0,32,4,5,93,7,0,0.0,1.0,0,1.0,La_Liga,2022_2023,39.0,35.0,28.0,64.0,545.0,1356.0,1.0,1.0,0.0,1.0,0.0
Rayo Vallecano,28,27,51.0,38,418,3420,38,41,29.0,70.0,37,4,8,90,6,1,0.0,1.0,0,1.0,La_Liga,2022_2023,43.0,37.0,30.0,67.0,703.0,1390.0,1.0,1.0,0.0,1.0,0.0
Real Madrid,26,27,60.0,38,418,3420,38,73,56.0,129.0,64,9,12,72,3,1,1.0,3.0,1,3.0,La_Liga,2022_2023,75.0,66.0,56.0,122.0,1008.0,2017.0,3.0,1.0,1.0,3.0,1.0
Real Sociedad,30,25,54.0,38,418,3420,38,47,36.0,83.0,45,2,4,90,2,1,0.0,2.0,1,2.0,La_Liga,2022_2023,52.0,49.0,39.0,89.0,692.0,1483.0,2.0,1.0,1.0,2.0,1.0
Sevilla,35,28,52.0,38,418,3420,38,47,31.0,78.0,43,4,5,121,13,1,0.0,2.0,1,1.0,La_Liga,2022_2023,46.0,42.0,32.0,74.0,558.0,1513.0,1.0,1.0,0.0,2.0,1.0
Valencia,28,24,52.0,38,418,3420,38,40,23.0,63.0,35,5,8,93,8,1,0.0,1.0,0,1.0,La_Liga,2022_2023,49.0,43.0,32.0,75.0,786.0,1472.0,1.0,1.0,0.0,2.0,1.0
Valladolid,36,27,48.0,38,418,3420,38,32,24.0,56.0,29,3,4,94,6,0,0.0,1.0,0,1.0,La_Liga,2022_2023,38.0,35.0,28.0,63.0,610.0,1244.0,1.0,1.0,0.0,1.0,0.0
Villarreal,32,28,56.0,38,418,3420,38,57,33.0,90.0,53,4,7,91,4,1,0.0,2.0,1,2.0,La_Liga,2022_2023,61.0,56.0,43.0,99.0,846.0,1622.0,2.0,1.0,1.0,2.0,1.0
Ajax,30,26,66.0,34,374,3060,34,94,71.0,165.0,88,6,9,35,1,2,2.0,4.0,2,4.0,Eredivisie,2021_2022,94.0,87.0,70.0,157.0,811.0,2602.0,4.0,2.0,2.0,4.0,2.0
AZ Alkmaar,28,24,55.0,34,374,3060,34,62,49.0,111.0,56,6,7,52,1,1,1.0,3.0,1,2.0,Eredivisie,2021_2022,57.0,52.0,41.0,93.0,600.0,1674.0,3.0,1.0,1.0,2.0,1.0
