squad,#_of_players,average_age,possession,matches_played,starts,minutes,90s_played,goals,assists,goals_+_assists,non-penalty_goals,penalty_kicks_made,penalty_kicks_attempted,yellow_cards,red_cards,goals/90,assists/90,goals_+_assists/90,non-penalty_goals/90,npxg_+_xag/90,league,season,xg:_expected_goals,npxg:_non-penalty_xg,xag:_exp._assisted_goals,npxg_+_xag,progressive_carries,progressive_passes,non-penalty_goals_+_assists/90,xg/90,xag/90,xg_+_xag/90,npxg/90
Adana Demirspor,44,28,51.0,38,418,3420,38,53,30.0,83.0,45,8,8,81,8,1,0.0,2.0,1,1.0,Super_Lig,2023_2024,,,,,,,,,,,
Alanyaspor,25,28,52.0,38,418,3420,38,52,30.0,82.0,47,5,7,87,4,1,0.0,2.0,1,2.0,Super_Lig,2023_2024,,,,,,,,,,,
Ankaragücü,31,27,48.0,38,418,3420,38,45,30.0,75.0,41,4,5,67,3,1,0.0,1.0,1,1.0,Super_Lig,2023_2024,,,,,,,,,,,
Antalyaspor,27,29,51.0,38,418,3420,38,43,33.0,76.0,39,4,5,78,4,1,0.0,2.0,1,1.0,Super_Lig,2023_2024,,,,,,,,,,,
Başakşehir,35,28,53.0,38,418,3420,38,55,36.0,91.0,50,5,6,84,5,1,0.0,2.0,1,2.0,Super_Lig,2023_2024,,,,,,,,,,,
Beşiktaş,37,27,55.0,38,418,3420,38,51,37.0,88.0,48,3,6,92,4,1,0.0,2.0,1,2.0,Super_Lig,2023_2024,,,,,,,,,,,
Fatih Karagümrük,35,28,50.0,38,418,3420,38,47,37.0,84.0,45,2,3,96,7,1,0.0,2.0,1,2.0,Super_Lig,2023_2024,,,,,,,,,,,
Fenerbahçe,33,28,57.0,38,418,3420,38,95,64.0,159.0,83,12,17,96,5,2,1.0,4.0,2,3.0,Super_Lig,2023_2024,,,,,,,,,,,
Galatasaray,32,28,61.0,38,418,3420,38,90,59.0,149.0,79,11,13,66,1,2,1.0,3.0,2,3.0,Super_Lig,2023_2024,,,,,,,,,,,
Gaziantep FK,30,29,42.0,38,418,3420,38,48,33.0,81.0,45,3,6,85,4,1,0.0,2.0,1,2.0,Super_Lig,2023_2024,,,,,,,,,,,
Hatayspor,33,25,47.0,38,418,3420,38,44,29.0,73.0,39,5,7,106,1,1,0.0,1.0,1,1.0,Super_Lig,2023_2024,,,,,,,,,,,
İstanbulspor,34,26,46.0,38,418,3420,38,28,18.0,46.0,27,1,3,94,6,0,0.0,1.0,0,1.0,Super_Lig,2023_2024,,,,,,,,,,,
Kasımpaşa,32,27,47.0,38,418,3420,38,59,39.0,98.0,54,5,6,70,2,1,1.0,2.0,1,2.0,Super_Lig,2023_2024,,,,,,,,,,,
Kayserispor,33,28,52.0,38,418,3420,38,42,28.0,70.0,37,5,6,84,4,1,0.0,1.0,0,1.0,Super_Lig,2023_2024,,,,,,,,,,,
Konyaspor,36,28,46.0,38,418,3420,38,40,24.0,64.0,31,9,9,75,2,1,0.0,1.0,0,1.0,Super_Lig,2023_2024,,,,,,,,,,,
Pendikspor,35,29,50.0,38,418,3420,38,42,28.0,70.0,37,5,7,89,6,1,0.0,1.0,0,1.0,Super_Lig,2023_2024,,,,,,,,,,,
Rizespor,29,25,47.0,38,418,3420,38,47,39.0,86.0,46,1,2,91,3,1,1.0,2.0,1,2.0,Super_Lig,2023_2024,,,,,,,,,,,
Samsunspor,33,27,47.0,38,418,3420,38,41,24.0,65.0,34,7,8,80,3,1,0.0,1.0,0,1.0,Super_Lig,2023_2024,,,,,,,,,,,
Sivasspor,34,29,41.0,38,418,3420,38,46,29.0,75.0,41,5,5,78,3,1,0.0,1.0,1,1.0,Super_Lig,2023_2024,,,,,,,,,,,
Trabzonspor,33,26,52.0,38,418,3420,38,66,44.0,110.0,62,4,4,65,1,1,1.0,2.0,1,2.0,Super_Lig,2023_2024,,,,,,,,,,,
Aalborg,30,25,48.0,32,352,2880,32,34,23.0,57.0,33,1,2,55,0,1,0.0,1.0,1,1.0,Danish_Superliga,2022_2023,,,,,,,,,,,
AGF,28,26,48.0,32,352,2880,32,42,24.0,66.0,36,6,6,63,3,1,0.0,2.0,1,1.0,Danish_Superliga,2022_2023,,,,,,,,,,,
Brøndby,30,25,51.0,32,352,2880,32,47,28.0,75.0,42,5,5,64,4,1,0.0,2.0,1,2.0,Danish_Superliga,2022_2023,,,,,,,,,,,
FC Copenhagen,32,24,56.0,32,352,2880,32,59,34.0,93.0,54,5,9,80,1,1,1.0,2.0,1,2.0,Danish_Superliga,2022_2023,,,,,,,,,,,
Horsens,25,26,42.0,32,352,2880,32,31,18.0,49.0,24,7,7,63,3,0,0.0,1.0,0,1.0,Danish_Superliga,2022_2023,,,,,,,,,,,
Lyngby,31,25,45.0,32,352,2880,32,30,25.0,55.0,28,2,2,70,1,0,0.0,1.0,0,1.0,Danish_Superliga,2022_2023,,,,,,,,,,,
Midtjylland,33,25,50.0,32,352,2880,32,53,35.0,88.0,48,5,7,60,3,1,1.0,2.0,1,2.0,Danish_Superliga,2022_2023,,,,,,,,,,,
Nordsjælland,28,22,54.0,32,352,2880,32,50,35.0,85.0,46,4,6,62,4,1,1.0,2.0,1,2.0,Danish_Superliga,2022_2023,,,,,,,,,,,
Odense,35,25,50.0,32,352,2880,32,46,31.0,77.0,38,8,9,59,4,1,0.0,2.0,1,2.0,Danish_Superliga,2022_2023,,,,,,,,,,,
Randers,31,26,48.0,32,352,2880,32,39,24.0,63.0,37,2,3,59,1,1,0.0,1.0,1,1.0,Danish_Superliga,2022_2023,,,,,,,,,,,
Silkeborg,30,25,58.0,32,352,2880,32,42,33.0,75.0,40,2,4,36,1,1,1.0,2.0,1,2.0,Danish_Superliga,2022_2023,,,,,,,,,,,
Viborg,29,24,48.0,32,352,2880,32,44,32.0,76.0,42,2,4,54,2,1,1.0,2.0,1,2.0,Danish_Superliga,2022_2023,,,,,,,,,,,
Anderlecht,32,26,53.0,30,330,2700,30,56,41.0,97.0,49,7,7,54,2,1,1.0,3.0,1,2.0,Belgian_Pro_League,2023_2024,47.0,42.0,34.0,77.0,469.0,1306.0,3.0,1.0,1.0,2.0,1.0
Antwerp,27,24,59.0,30,330,2700,30,52,36.0,88.0,47,5,9,44,1,1,1.0,2.0,1,2.0,Belgian_Pro_League,2023_2024,51.0,44.0,36.0,80.0,616.0,1515.0,2.0,1.0,1.0,2.0,1.0
Cercle Brugge,27,23,45.0,30,330,2700,30,43,34.0,77.0,41,2,3,66,3,1,1.0,2.0,1,2.0,Belgian_Pro_League,2023_2024,50.0,48.0,37.0,85.0,378.0,1215.0,2.0,1.0,1.0,2.0,1.0
Charleroi,30,25,47.0,30,330,2700,30,26,20.0,46.0,23,3,4,58,4,0,0.0,1.0,0,1.0,Belgian_Pro_League,2023_2024,32.0,29.0,24.0,54.0,437.0,1210.0,1.0,1.0,0.0,1.0,0.0
Club Brugge,29,25,56.0,30,330,2700,30,60,39.0,99.0,52,8,10,58,3,2,1.0,3.0,1,3.0,Belgian_Pro_League,2023_2024,60.0,52.0,42.0,94.0,658.0,1552.0,3.0,2.0,1.0,3.0,1.0
Eupen,26,25,44.0,30,330,2700,30,24,18.0,42.0,23,1,1,56,2,0,0.0,1.0,0,1.0,Belgian_Pro_League,2023_2024,28.0,28.0,21.0,49.0,410.0,976.0,1.0,0.0,0.0,1.0,0.0
Genk,26,24,53.0,30,330,2700,30,49,30.0,79.0,47,2,5,64,6,1,1.0,2.0,1,3.0,Belgian_Pro_League,2023_2024,59.0,55.0,43.0,98.0,557.0,1597.0,2.0,1.0,1.0,3.0,1.0
Gent,32,26,54.0,30,330,2700,30,50,30.0,80.0,46,4,6,40,6,1,1.0,2.0,1,2.0,Belgian_Pro_League,2023_2024,49.0,45.0,33.0,78.0,614.0,1409.0,2.0,1.0,1.0,2.0,1.0
Kortrijk,36,24,43.0,30,330,2700,30,22,13.0,35.0,20,2,2,63,2,0,0.0,1.0,0,1.0,Belgian_Pro_League,2023_2024,25.0,24.0,17.0,41.0,493.0,999.0,1.0,0.0,0.0,1.0,0.0
Mechelen,30,26,50.0,30,330,2700,30,37,28.0,65.0,34,3,4,48,0,1,0.0,2.0,1,2.0,Belgian_Pro_League,2023_2024,42.0,39.0,31.0,70.0,487.0,1287.0,2.0,1.0,1.0,2.0,1.0
OH Leuven,29,24,44.0,30,330,2700,30,34,25.0,59.0,30,4,5,77,2,1,0.0,1.0,1,1.0,Belgian_Pro_League,2023_2024,33.0,29.0,23.0,53.0,404.0,920.0,1.0,1.0,0.0,1.0,0.0
RWD Molenbeek,38,25,43.0,30,330,2700,30,31,22.0,53.0,30,1,1,65,6,1,0.0,1.0,1,1.0,Belgian_Pro_League,2023_2024,33.0,32.0,25.0,58.0,402.0,942.0,1.0,1.0,0.0,1.0,1.0
Sint-Truiden,25,23,56.0,30,330,2700,30,33,21.0,54.0,30,3,5,46,1,1,0.0,1.0,1,2.0,Belgian_Pro_League,2023_2024,38.0,34.0,27.0,61.0,568.0,1259.0,1.0,1.0,0.0,2.0,1.0
Standard Liège,34,24,50.0,30,330,2700,30,32,23.0,55.0,30,2,4,55,4,1,0.0,1.0,1,1.0,Belgian_Pro_League,2023_2024,32.0,29.0,21.0,50.0,553.0,1151.0,1.0,1.0,0.0,1.0,0.0
Union SG,26,26,49.0,30,330,2700,30,63,42.0,105.0,53,10,11,69,2,2,1.0,3.0,1,3.0,Belgian_Pro_League,2023_2024,58.0,49.0,41.0,90.0,627.0,1462.0,3.0,1.0,1.0,3.0,1.0
Westerlo,32,25,47.0,30,330,2700,30,41,23.0,64.0,33,8,8,64,2,1,0.0,2.0,1,1.0,Belgian_Pro_League,2023_2024,40.0,34.0,22.0,57.0,487.0,1184.0,1.0,1.0,0.0,2.0,1.0
Atalanta,27,26,49.0,38,418,3420,38,64,42.0,106.0,58,6,8,83,3,1,1.0,2.0,1,2.0,Serie_A,2022_2023,57.0,51.0,42.0,93.0,687.0,1637.0,2.0,1.0,1.0,2.0,1.0
Bologna,27,26,54.0,38,418,3420,38,52,41.0,93.0,46,6,6,84,3,1,1.0,2.0,1,1.0,Serie_A,2022_2023,43.0,39.0,31.0,70.0,564.0,1366.0,2.0,1.0,0.0,1.0,1.0
Cremonese,33,26,42.0,38,418,3420,38,35,18.0,53.0,30,5,7,81,3,0,0.0,1.0,0,1.0,Serie_A,2022_2023,38.0,33.0,24.0,57.0,521.0,1107.0,1.0,1.0,0.0,1.0,0.0
Empoli,32,25,47.0,38,418,3420,38,35,20.0,55.0,33,2,2,88,7,0,0.0,1.0,0,1.0,Serie_A,2022_2023,38.0,37.0,26.0,64.0,608.0,1114.0,1.0,1.0,0.0,1.0,0.0
Fiorentina,30,26,56.0,38,418,3420,38,51,37.0,88.0,47,4,6,93,3,1,0.0,2.0,1,2.0,Serie_A,2022_2023,55.0,50.0,40.0,91.0,789.0,1627.0,2.0,1.0,1.0,2.0,1.0
Hellas Verona,36,26,41.0,38,418,3420,38,29,22.0,51.0,28,1,1,103,3,0,0.0,1.0,0,1.0,Serie_A,2022_2023,35.0,35.0,28.0,63.0,503.0,1063.0,1.0,0.0,0.0,1.0,0.0
Inter,25,28,55.0,38,418,3420,38,68,50.0,118.0,64,4,5,65,3,1,1.0,3.0,1,3.0,Serie_A,2022_2023,68.0,64.0,51.0,116.0,668.0,1624.0,3.0,1.0,1.0,3.0,1.0
Juventus,29,27,49.0,38,418,3420,38,56,41.0,97.0,53,3,6,74,6,1,1.0,2.0,1,2.0,Serie_A,2022_2023,55.0,50.0,39.0,90.0,673.0,1394.0,2.0,1.0,1.0,2.0,1.0
Lazio,24,28,52.0,38,418,3420,38,59,37.0,96.0,53,6,8,87,2,1,0.0,2.0,1,2.0,Serie_A,2022_2023,51.0,44.0,34.0,79.0,683.0,1381.0,2.0,1.0,0.0,2.0,1.0
Lecce,29,24,41.0,38,418,3420,38,31,21.0,52.0,27,4,6,86,2,0,0.0,1.0,0,1.0,Serie_A,2022_2023,36.0,31.0,25.0,56.0,515.0,1232.0,1.0,0.0,0.0,1.0,0.0
Milan,30,26,55.0,38,418,3420,38,61,49.0,110.0,56,5,5,90,2,1,1.0,2.0,1,2.0,Serie_A,2022_2023,58.0,55.0,46.0,101.0,795.0,1584.0,2.0,1.0,1.0,2.0,1.0
Monza,31,26,55.0,38,418,3420,38,46,31.0,77.0,41,5,6,90,4,1,0.0,2.0,1,1.0,Serie_A,2022_2023,45.0,41.0,33.0,75.0,708.0,1362.0,1.0,1.0,0.0,2.0,1.0
Napoli,27,26,61.0,38,418,3420,38,75,57.0,132.0,67,8,10,47,1,1,1.0,3.0,1,2.0,Serie_A,2022_2023,64.0,56.0,46.0,103.0,907.0,1804.0,3.0,1.0,1.0,2.0,1.0
Roma,30,27,48.0,38,418,3420,38,50,33.0,83.0,43,7,10,83,4,1,0.0,2.0,1,2.0,Serie_A,2022_2023,57.0,49.0,38.0,88.0,684.0,1217.0,2.0,1.0,1.0,2.0,1.0
Salernitana,30,27,44.0,38,418,3420,38,46,34.0,80.0,44,2,2,85,4,1,0.0,2.0,1,1.0,Serie_A,2022_2023,36.0,35.0,26.0,62.0,519.0,1089.0,2.0,0.0,0.0,1.0,0.0
Sampdoria,40,27,46.0,38,418,3420,38,23,18.0,41.0,22,1,2,108,3,0,0.0,1.0,0,1.0,Serie_A,2022_2023,34.0,32.0,24.0,56.0,466.0,1126.0,1.0,0.0,0.0,1.0,0.0
Sassuolo,31,26,49.0,38,418,3420,38,46,30.0,76.0,37,9,10,90,6,1,0.0,2.0,0,2.0,Serie_A,2022_2023,51.0,43.0,36.0,80.0,761.0,1565.0,1.0,1.0,0.0,2.0,1.0
Spezia,34,25,47.0,38,418,3420,38,29,18.0,47.0,25,4,4,103,6,0,0.0,1.0,0,1.0,Serie_A,2022_2023,41.0,38.0,29.0,67.0,553.0,1163.0,1.0,1.0,0.0,1.0,1.0
Torino,28,25,53.0,38,418,3420,38,41,34.0,75.0,39,2,2,81,0,1,0.0,1.0,1,1.0,Serie_A,2022_2023,41.0,40.0,35.0,75.0,684.0,1328.0,1.0,1.0,0.0,2.0,1.0
Udinese,30,26,48.0,38,418,3420,38,46,41.0,87.0,45,1,2,88,3,1,1.0,2.0,1,2.0,Serie_A,2022_2023,46.0,45.0,37.0,83.0,646.0,1354.0,2.0,1.0,0.0,2.0,1.0
Arouca,31,26,53.0,34,374,3060,34,51,38.0,89.0,48,3,7,83,6,1,1.0,2.0,1,2.0,Primeira_Liga,2023_2024,47.0,42.0,32.0,74.0,473.0,1317.0,2.0,1.0,0.0,2.0,1.0
Benfica,34,26,59.0,34,374,3060,34,76,59.0,135.0,72,4,6,67,3,2,1.0,3.0,2,3.0,Primeira_Liga,2023_2024,77.0,72.0,59.0,131.0,807.0,1880.0,3.0,2.0,1.0,4.0,2.0
Boavista,23,26,48.0,34,374,3060,34,37,18.0,55.0,33,4,5,105,8,1,0.0,1.0,0,1.0,Primeira_Liga,2023_2024,36.0,32.0,24.0,57.0,411.0,1008.0,1.0,1.0,0.0,1.0,0.0
Braga,25,27,56.0,34,374,3060,34,70,49.0,119.0,65,5,6,80,4,2,1.0,3.0,1,3.0,Primeira_Liga,2023_2024,63.0,59.0,48.0,107.0,601.0,1678.0,3.0,1.0,1.0,3.0,1.0
Casa Pia,32,27,43.0,34,374,3060,34,37,27.0,64.0,34,3,4,76,4,1,0.0,1.0,1,1.0,Primeira_Liga,2023_2024,29.0,26.0,19.0,45.0,472.0,985.0,1.0,0.0,0.0,1.0,0.0
Chaves,31,27,43.0,34,374,3060,34,30,18.0,48.0,25,5,6,103,9,0,0.0,1.0,0,1.0,Primeira_Liga,2023_2024,34.0,29.0,22.0,52.0,414.0,925.0,1.0,1.0,0.0,1.0,0.0
Estoril,31,24,48.0,34,374,3060,34,49,27.0,76.0,47,2,2,77,5,1,0.0,2.0,1,1.0,Primeira_Liga,2023_2024,39.0,37.0,26.0,64.0,570.0,1060.0,2.0,1.0,0.0,1.0,1.0
Estrela,34,27,47.0,34,374,3060,34,29,18.0,47.0,28,1,1,76,7,0,0.0,1.0,0,1.0,Primeira_Liga,2023_2024,38.0,37.0,29.0,67.0,405.0,1057.0,1.0,1.0,0.0,2.0,1.0
Famalicão,27,23,47.0,34,374,3060,34,37,23.0,60.0,34,3,5,104,9,1,0.0,1.0,1,1.0,Primeira_Liga,2023_2024,35.0,32.0,24.0,56.0,507.0,976.0,1.0,1.0,0.0,1.0,0.0
Farense,25,28,42.0,34,374,3060,34,46,26.0,72.0,41,5,7,79,6,1,0.0,2.0,1,1.0,Primeira_Liga,2023_2024,44.0,39.0,27.0,66.0,406.0,944.0,1.0,1.0,0.0,2.0,1.0
Gil Vicente FC,31,25,49.0,34,374,3060,34,42,28.0,70.0,36,6,8,75,3,1,0.0,2.0,1,1.0,Primeira_Liga,2023_2024,40.0,34.0,25.0,59.0,565.0,1144.0,1.0,1.0,0.0,1.0,1.0
Moreirense,29,26,46.0,34,374,3060,34,35,30.0,65.0,34,1,3,75,3,1,0.0,1.0,1,1.0,Primeira_Liga,2023_2024,32.0,30.0,25.0,56.0,503.0,1054.0,1.0,0.0,0.0,1.0,0.0
Portimonense,31,25,44.0,34,374,3060,34,39,30.0,69.0,34,5,6,94,5,1,0.0,2.0,1,1.0,Primeira_Liga,2023_2024,35.0,30.0,23.0,54.0,516.0,976.0,1.0,1.0,0.0,1.0,0.0
Porto,32,25,63.0,34,374,3060,34,62,46.0,108.0,57,5,8,95,10,1,1.0,3.0,1,3.0,Primeira_Liga,2023_2024,64.0,58.0,46.0,104.0,819.0,1869.0,3.0,1.0,1.0,3.0,1.0
Rio Ave,33,27,48.0,34,374,3060,34,36,22.0,58.0,28,8,9,98,4,1,0.0,1.0,0,1.0,Primeira_Liga,2023_2024,38.0,31.0,25.0,57.0,451.0,1085.0,1.0,1.0,0.0,1.0,0.0
Sporting CP,29,26,59.0,34,374,3060,34,93,67.0,160.0,88,5,5,80,3,2,1.0,4.0,2,3.0,Primeira_Liga,2023_2024,72.0,69.0,55.0,124.0,719.0,1669.0,4.0,2.0,1.0,3.0,2.0
Vitória,27,26,48.0,34,374,3060,34,49,35.0,84.0,44,5,8,94,3,1,1.0,2.0,1,2.0,Primeira_Liga,2023_2024,45.0,39.0,32.0,71.0,467.0,1361.0,2.0,1.0,0.0,2.0,1.0
Vizela,31,24,49.0,34,374,3060,34,34,25.0,59.0,32,2,4,82,5,1,0.0,1.0,0,1.0,Primeira_Liga,2023_2024,40.0,37.0,28.0,66.0,462.0,1244.0,1.0,1.0,0.0,2.0,1.0
Augsburg,34,25,41.0,34,374,3060,34,41,29.0,70.0,37,4,5,96,5,1,0.0,2.0,1,1.0,Bundesliga,2022_2023,34.0,30.0,24.0,55.0,331.0,847.0,1.0,1.0,0.0,1.0,0.0
Bayern Munich,28,26,64.0,34,374,3060,34,90,67.0,157.0,87,3,5,49,3,2,1.0,4.0,2,3.0,Bundesliga,2022_2023,75.0,71.0,56.0,127.0,863.0,2041.0,4.0,2.0,1.0,3.0,2.0
Bochum,26,29,46.0,34,374,3060,34,37,28.0,65.0,34,3,3,64,1,1,0.0,1.0,1,1.0,Bundesliga,2022_2023,40.0,37.0,28.0,66.0,350.0,1022.0,1.0,1.0,0.0,2.0,1.0
Dortmund,30,25,58.0,34,374,3060,34,81,61.0,142.0,77,4,6,66,0,2,1.0,4.0,2,3.0,Bundesliga,2022_2023,71.0,66.0,51.0,118.0,783.0,1628.0,4.0,2.0,1.0,3.0,1.0
Eint Frankfurt,28,26,52.0,34,374,3060,34,56,33.0,89.0,50,6,6,71,1,1,0.0,2.0,1,2.0,Bundesliga,2022_2023,52.0,47.0,36.0,83.0,632.0,1372.0,2.0,1.0,1.0,2.0,1.0
Freiburg,27,27,48.0,34,374,3060,34,51,34.0,85.0,44,7,8,62,2,1,1.0,2.0,1,2.0,Bundesliga,2022_2023,47.0,41.0,28.0,70.0,427.0,1039.0,2.0,1.0,0.0,2.0,1.0
Gladbach,27,26,53.0,34,374,3060,34,52,39.0,91.0,48,4,6,62,3,1,1.0,2.0,1,2.0,Bundesliga,2022_2023,52.0,47.0,41.0,88.0,518.0,1168.0,2.0,1.0,1.0,2.0,1.0
Hertha BSC,32,26,42.0,34,374,3060,34,42,23.0,65.0,35,7,7,82,1,1,0.0,1.0,1,1.0,Bundesliga,2022_2023,39.0,33.0,25.0,59.0,413.0,914.0,1.0,1.0,0.0,1.0,1.0
Hoffenheim,31,26,48.0,34,374,3060,34,46,30.0,76.0,39,7,9,80,5,1,0.0,2.0,1,2.0,Bundesliga,2022_2023,48.0,41.0,32.0,73.0,457.0,1175.0,2.0,1.0,0.0,2.0,1.0
Köln,27,26,49.0,34,374,3060,34,46,31.0,77.0,42,4,4,75,3,1,0.0,2.0,1,2.0,Bundesliga,2022_2023,47.0,44.0,35.0,79.0,522.0,1247.0,2.0,1.0,1.0,2.0,1.0
Leverkusen,27,24,52.0,34,374,3060,34,57,44.0,101.0,52,5,7,75,7,1,1.0,2.0,1,2.0,Bundesliga,2022_2023,51.0,46.0,38.0,85.0,678.0,1243.0,2.0,1.0,1.0,2.0,1.0
Mainz 05,27,27,44.0,34,374,3060,34,54,35.0,89.0,50,4,6,69,1,1,1.0,2.0,1,2.0,Bundesliga,2022_2023,47.0,42.0,30.0,72.0,364.0,1155.0,2.0,1.0,0.0,2.0,1.0
RB Leipzig,25,26,58.0,34,374,3060,34,64,39.0,103.0,58,6,7,69,2,1,1.0,3.0,1,2.0,Bundesliga,2022_2023,62.0,57.0,43.0,100.0,599.0,1450.0,2.0,1.0,1.0,3.0,1.0
Schalke 04,35,27,46.0,34,374,3060,34,32,24.0,56.0,28,4,5,68,1,0,0.0,1.0,0,1.0,Bundesliga,2022_2023,39.0,35.0,28.0,64.0,415.0,934.0,1.0,1.0,0.0,2.0,1.0
Stuttgart,30,24,50.0,34,374,3060,34,45,34.0,79.0,40,5,5,72,5,1,1.0,2.0,1,2.0,Bundesliga,2022_2023,47.0,43.0,38.0,81.0,609.0,1278.0,2.0,1.0,1.0,2.0,1.0
Union Berlin,28,27,43.0,34,374,3060,34,49,38.0,87.0,46,3,7,65,2,1,1.0,2.0,1,1.0,Bundesliga,2022_2023,37.0,32.0,25.0,58.0,375.0,1012.0,2.0,1.0,0.0,1.0,0.0
Werder Bremen,25,27,49.0,34,374,3060,34,50,37.0,87.0,45,5,6,76,1,1,1.0,2.0,1,1.0,Bundesliga,2022_2023,41.0,36.0,29.0,65.0,412.0,1140.0,2.0,1.0,0.0,2.0,1.0
Wolfsburg,28,24,50.0,34,374,3060,34,55,44.0,99.0,51,4,7,63,0,1,1.0,2.0,1,2.0,Bundesliga,2022_2023,51.0,45.0,39.0,84.0,455.0,1306.0,2.0,1.0,1.0,2.0,1.0
Aalborg,28,25,50.0,32,352,2880,32,47,32.0,79.0,43,4,4,74,4,1,1.0,2.0,1,2.0,Danish_Superliga,2021_2022,,,,,,,,,,,
AGF,31,25,45.0,32,352,2880,32,31,19.0,50.0,29,2,2,77,1,0,0.0,1.0,0,1.0,Danish_Superliga,2021_2022,,,,,,,,,,,
Brøndby,33,24,52.0,32,352,2880,32,39,29.0,68.0,37,2,2,56,3,1,0.0,2.0,1,2.0,Danish_Superliga,2021_2022,,,,,,,,,,,
FC Copenhagen,35,25,50.0,32,352,2880,32,55,39.0,94.0,54,1,2,67,2,1,1.0,2.0,1,2.0,Danish_Superliga,2021_2022,,,,,,,,,,,
Midtjylland,35,25,49.0,32,352,2880,32,59,44.0,103.0,54,5,5,49,2,1,1.0,3.0,1,3.0,Danish_Superliga,2021_2022,,,,,,,,,,,
Nordsjælland,33,21,54.0,32,352,2880,32,37,23.0,60.0,34,3,3,57,3,1,0.0,1.0,1,1.0,Danish_Superliga,2021_2022,,,,,,,,,,,
Odense,27,25,52.0,32,352,2880,32,45,28.0,73.0,41,4,6,49,1,1,0.0,2.0,1,2.0,Danish_Superliga,2021_2022,,,,,,,,,,,
Randers,27,26,47.0,32,352,2880,32,34,25.0,59.0,30,4,6,58,2,1,0.0,1.0,0,1.0,Danish_Superliga,2021_2022,,,,,,,,,,,
Silkeborg,26,24,58.0,32,352,2880,32,54,41.0,95.0,52,2,2,30,1,1,1.0,2.0,1,2.0,Danish_Superliga,2021_2022,,,,,,,,,,,
SønderjyskE,33,25,45.0,32,352,2880,32,28,15.0,43.0,27,1,1,60,2,0,0.0,1.0,0,1.0,Danish_Superliga,2021_2022,,,,,,,,,,,
Vejle BK,40,25,45.0,32,352,2880,32,29,21.0,50.0,27,2,2,80,3,0,0.0,1.0,0,1.0,Danish_Superliga,2021_2022,,,,,,,,,,,
Viborg,29,24,49.0,32,352,2880,32,44,26.0,70.0,40,4,6,74,3,1,0.0,2.0,1,2.0,Danish_Superliga,2021_2022,,,,,,,,,,,
Arda,30,25,,36,396,3240,36,45,0.0,45.0,41,4,4,100,5,1,0.0,1.0,1,1.0,Bulgarian_First_League,2022_2023,,,,,,,,,,,
Beroe,38,27,,35,385,3150,35,30,3.0,33.0,26,4,4,110,6,0,0.0,0.0,0,0.0,Bulgarian_First_League,2022_2023,,,,,,,,,,,
Botev Plovdiv,44,25,,36,396,3240,36,39,0.0,39.0,35,4,4,98,7,1,0.0,1.0,0,0.0,Bulgarian_First_League,2022_2023,,,,,,,,,,,
Botev Vratsa,32,26,,35,385,3150,35,27,1.0,28.0,23,4,4,101,6,0,0.0,0.0,0,0.0,Bulgarian_First_League,2022_2023,,,,,,,,,,,
Cherno More,31,26,,35,385,3150,35,38,0.0,38.0,34,4,4,88,2,1,0.0,1.0,0,0.0,Bulgarian_First_League,2022_2023,,,,,,,,,,,
CSKA 1948,34,26,,35,385,3150,35,54,2.0,56.0,48,6,6,96,7,1,0.0,1.0,1,1.0,Bulgarian_First_League,2022_2023,,,,,,,,,,,
CSKA Sofia,30,26,,35,385,3150,35,64,2.0,66.0,57,7,7,112,4,1,0.0,1.0,1,1.0,Bulgarian_First_League,2022_2023,,,,,,,,,,,
FC Spartak Varna,40,26,,35,385,3150,35,31,1.0,32.0,30,1,1,86,3,0,0.0,0.0,0,0.0,Bulgarian_First_League,2022_2023,,,,,,,,,,,
Levski Sofia,28,23,,35,385,3150,35,47,1.0,48.0,43,4,4,74,3,1,0.0,1.0,1,1.0,Bulgarian_First_League,2022_2023,,,,,,,,,,,
Loko Plovdiv,31,25,,35,385,3150,35,33,4.0,37.0,30,3,3,85,4,0,0.0,1.0,0,0.0,Bulgarian_First_League,2022_2023,,,,,,,,,,,
Lokomotiv Sofia,29,26,,36,396,3240,36,36,1.0,37.0,29,7,7,96,9,1,0.0,1.0,0,0.0,Bulgarian_First_League,2022_2023,,,,,,,,,,,
Ludogorets,32,26,,35,385,3150,35,80,1.0,81.0,75,5,5,81,2,2,0.0,2.0,2,2.0,Bulgarian_First_League,2022_2023,,,,,,,,,,,
PFC Hebar Pazardzhik,36,26,,35,385,3150,35,29,0.0,29.0,27,2,2,91,3,0,0.0,0.0,0,0.0,Bulgarian_First_League,2022_2023,,,,,,,,,,,
Pirin Blagoevgrad,35,26,,35,385,3150,35,27,1.0,28.0,21,6,6,112,4,0,0.0,0.0,0,0.0,Bulgarian_First_League,2022_2023,,,,,,,,,,,
Septemvri Sofia,37,23,,35,385,3150,35,28,0.0,28.0,25,3,3,91,4,0,0.0,0.0,0,0.0,Bulgarian_First_League,2022_2023,,,,,,,,,,,
Slavia Sofia,30,26,,36,396,3240,36,35,0.0,35.0,33,2,2,92,2,0,0.0,0.0,0,0.0,Bulgarian_First_League,2022_2023,,,,,,,,,,,
Anderlecht,25,24,56.0,34,374,3060,34,70,44.0,114.0,63,7,7,55,6,2,1.0,3.0,1,3.0,Belgian_Pro_League,2021_2022,73.0,68.0,54.0,123.0,665.0,1844.0,3.0,2.0,1.0,3.0,2.0
