competition_name,gender,country,champion,top_scorer,season
VBet Liha,M,UKR,FC Shakhtar Donetsk,Artem Dovbyk - 24,2022_2023
EFL Cup,M,ENG,Liverpool FC,"Eddie Nketiah, Marcus Forss - 5",2021_2022
FA Community Shield,M,ENG,Leicester City FC,Kelechi Iheanacho - 1,2021_2022
The Emirates FA Cup,M,ENG,Liverpool FC,"Jayden Stockley, Riyad Mahrez - 4",2021_2022
Copa del Rey,M,ESP,Real Betis,Borja Iglesias - 5,2021_2022
Supercopa de España,M,ESP,Real Madrid CF,Karim Benzema - 2,2021_2022
Coupe de France,M,FRA,FC Nantes,"Tolu Arokodare, Arkadiusz Milik... - 5",2021_2022
Trophée des Champions,M,FRA,Lille OSC,Xeka - 1,2021_2022
DFB-Pokal,M,GER,RB Leipzig,Robert Glatzel - 5,2021_2022
DFL-Supercup,M,GER,FC Bayern Munich,Robert Lewandowski - 2,2021_2022
Coppa Italia Frecciarossa,M,ITA,Internazionale,Dušan Vlahović - 4,2021_2022
Supercoppa Frecciarossa,M,ITA,Internazionale,"Alexis Sánchez, Lautaro Martínez... - 1",2021_2022
EFL Cup,M,ENG,Liverpool FC,Morgan Rogers - 5,2023_2024
FA Community Shield,M,ENG,Arsenal FC,"Leandro Trossard, Cole Palmer - 1",2023_2024
The Emirates FA Cup,M,ENG,Manchester United FC,"Sammie Szmodics, Ellis Simms - 6",2023_2024
Copa del Rey,M,ESP,Athletic Club,"Abdón Prats, Asier Villalibre... - 6",2023_2024
Supercopa de España,M,ESP,Real Madrid CF,Vinicius Júnior - 3,2023_2024
Coupe de France,M,FRA,Paris Saint-Germain FC,Kylian Mbappé - 8,2023_2024
Trophée des Champions,M,FRA,Paris Saint-Germain FC,"Kylian Mbappé, Lee Kang-in - 1",2023_2024
DFB-Pokal,M,GER,Bayer 04 Leverkusen,Amine Adli - 5,2023_2024
DFL-Supercup,M,GER,RB Leipzig,Dani Olmo - 3,2023_2024
Coppa Italia Frecciarossa,M,ITA,Juventus FC,Arkadiusz Milik - 4,2023_2024
EA Sports FC Supercup,M,ITA,Internazionale,Alessio Zerbin - 2,2023_2024
Isuzu UTE A-League,M,AUS,Central Coast Mariners FC,Adam Taggart - 20,2023_2024
Admiral Bundesliga,M,AUT,SK Sturm Graz,Karim Konaté - 20,2023_2024
Jupiler Pro League,M,BEL,Club Brugge KV,Kévin Denkey - 23,2023_2024
efbet League,M,BUL,PFC Ludogorets Razgrad,Aleksandar Kolev - 15,2023_2024
SuperSport HNL,M,CRO,GNK Dinamo Zagreb,Ramón Mierez - 18,2023_2024
Fortuna:Liga,M,CZE,,Václav Jurečka - 19,2023_2024
3F Superliga,M,DEN,FC Midtjylland,German Onugkha - 15,2023_2024
Premier League,M,ENG,Manchester City FC,Erling Haaland - 27,2023_2024
LaLiga EA Sports,M,ESP,Real Madrid CF,Artem Dovbyk - 24,2023_2024
Ligue 1 Uber Eats,M,FRA,Paris Saint-Germain FC,Kylian Mbappé - 27,2023_2024
Fußball-Bundesliga,M,GER,Bayer 04 Leverkusen,Harry Kane - 36,2023_2024
Stoiximan Super League,M,GRE,PAOK FC,Loren Morón - 20,2023_2024
OTP Bank Liga,M,HUN,Ferencvárosi TC,Barnabás Varga - 20,2023_2024
Indian Super League,M,IND,Mumbai City FC,Dimitris Diamantakos - 13,2023_2024
Persian Gulf Pro League,M,IRN,Persepolis FC,Shahriar Moghanlou - 16,2023_2024
Serie A TIM; Serie A Made in Italy,M,ITA,Internazionale,Lautaro Martínez - 24,2023_2024
Roshn Saudi League,M,KSA,Al-Hilal Saudi FC,Cristiano Ronaldo - 35,2023_2024
Liga BBVA MX,M,MEX,"América (T), América (T)",Guillermo Martínez Ayala - 16,2023_2024
Eredivisie,M,NED,PSV Eindhoven,"Vangelis Pavlidis, Luuk de Jong - 29",2023_2024
PKO Bank Polski Ekstraklasa,M,POL,Jagiellonia Białystok,Erik Expósito - 19,2023_2024
Liga Portugal Betclic,M,POR,Sporting CP,Viktor Gyökeres - 29,2023_2024
SuperLiga,M,ROU,FCSB,"Florinel Coman, Philip Otele - 18",2023_2024
DStv Premiership,M,RSA,Mamelodi Sundowns FC,Tshegofatso Mabaso - 16,2023_2024
Mir Russian Premier League,M,RUS,FC Zenit Saint Petersburg,Mateo Cassierra - 21,2023_2024
cinch Premiership,M,SCO,Celtic FC,Lawrence Shankland - 24,2023_2024
Mozzart Bet SuperLiga,M,SRB,Red Star Belgrade,"Milos Lukovic, Saldanha - 17",2023_2024
Credit Suisse Super League,M,SUI,BSC Young Boys,"Žan Celar, Kevin Carlos... - 14",2023_2024
Trendyol Süper Lig,M,TUR,Galatasaray SK,Mauro Icardi - 25,2023_2024
VBet Liha,M,UKR,FC Shakhtar Donetsk,Vladyslav Vanat - 14,2023_2024
EFL Cup,M,ENG,Manchester United FC,Marcus Rashford - 6,2022_2023
FA Community Shield,M,ENG,Liverpool FC,"Trent Alexander-Arnold, Darwin Núñez... - 1",2022_2023
The Emirates FA Cup,M,ENG,Manchester City FC,Paul Mullin - 8,2022_2023
Copa del Rey,M,ESP,Real Madrid CF,Kiké - 5,2022_2023
Supercopa de España,M,ESP,,"Robert Lewandowski, Karim Benzema - 2",2022_2023
Coupe de France,M,FRA,Toulouse FC,Thijs Dallinga - 6,2022_2023
Trophée des Champions,M,FRA,Paris Saint-Germain FC,Neymar - 2,2022_2023
DFB-Pokal,M,GER,RB Leipzig,Randal Kolo Muani - 6,2022_2023
DFL-Supercup,M,GER,FC Bayern Munich,"Benjamin Pavard, Serge Gnabry... - 1",2022_2023
Coppa Italia Frecciarossa,M,ITA,Internazionale,Walid Cheddira - 5,2022_2023
EA Sports Supercup,M,ITA,,"Edin Džeko, Lautaro Martínez... - 1",2022_2023
Isuzu UTE A-League,M,AUS,Western United FC,Jamie Maclaren - 15,2021_2022
Admiral Bundesliga,M,AUT,FC Red Bull Salzburg,Karim Adeyemi - 19,2021_2022
Jupiler Pro League,M,BEL,Club Brugge KV,Deniz Undav - 25,2021_2022
efbet League,M,BUL,PFC Ludogorets Razgrad,Pieros Sotiriou - 17,2021_2022
Hrvatski telekom Prva liga,M,CRO,GNK Dinamo Zagreb,Marko Livaja - 28,2021_2022
Fortuna:Liga,M,CZE,FC Viktoria Plzeň,Jean-David Beauguel - 19,2021_2022
3F Superliga,M,DEN,FC Copenhagen,Nicklas Helenius - 17,2021_2022
Premier League,M,ENG,Manchester City FC,"Son Heung-min, Mohamed Salah - 23",2021_2022
LaLiga Santander,M,ESP,Real Madrid CF,Karim Benzema - 27,2021_2022
Ligue 1 Uber Eats,M,FRA,Paris Saint-Germain FC,Kylian Mbappé - 28,2021_2022
Fußball-Bundesliga,M,GER,FC Bayern Munich,Robert Lewandowski - 35,2021_2022
Super League Interwetten,M,GRE,Olympiacos FC,Tom van Weert - 17,2021_2022
OTP Bank Liga,M,HUN,Ferencvárosi TC,Ádám Martin - 31,2021_2022
Hero Indian Super League,M,IND,Hyderabad FC,Bartholomew Ogbeche - 17,2021_2022
Persian Gulf Pro League,M,IRN,Esteghlal Tehran FC,Godwin Mensha - 14,2021_2022
Serie A TIM,M,ITA,AC Milan,Ciro Immobile - 27,2021_2022
Saudi Professional League,M,KSA,Al-Hilal Saudi FC,Odion Ighalo - 24,2021_2022
Liga BBVA MX,M,MEX,"Atlas (T), Atlas (T)",Germán Berterame - 16,2021_2022
Eredivisie,M,NED,AFC Ajax,Sébastien Haller - 21,2021_2022
PKO Bank Polski Ekstraklasa,M,POL,KKS Lech Poznań,Ivi - 20,2021_2022
Liga Portugal Bwin,M,POR,FC Porto,Darwin Núñez - 26,2021_2022
Casa Liga 1,M,ROU,CFR Cluj,Florin Tănase - 20,2021_2022
DStv Premiership,M,RSA,Mamelodi Sundowns FC,Peter Shalulile - 23,2021_2022
Tinkoff Russian Premier League,M,RUS,FC Zenit Saint Petersburg,Gamid Agalarov - 19,2021_2022
cinch Premiership,M,SCO,Celtic FC,"Regan Charles-Cook, Giorgos Giakoumakis - 13",2021_2022
Linglong Tire SuperLiga,M,SRB,Red Star Belgrade,Ricardo Jorge Pires Gomes - 29,2021_2022
Credit Suisse Super League,M,SUI,FC Zürich,Jordan Pefok - 22,2021_2022
Spor Toto Süper Lig,M,TUR,Trabzonspor,Umut Bozok - 20,2021_2022
VBet Liha,M,UKR,,Artem Dovbyk - 14,2021_2022
