Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
David Schnegg,at AUT,DF,Sturm Graz,23,1998,30,20,"1,748",19.4,3,4,7,3,0,0,7,0,0.15,0.21,0.36,0.15,0.36,Matches
Emanuel Schreiner,at AUT,"DF,MF",SCR Altach,33,1989,13,8,620,6.9,1,1,2,1,0,0,3,0,0.15,0.15,0.29,0.15,0.29,Matches
Kofi Schulz,de GER,"DF,MF",WSG Tirol,33,1989,28,28,"2,406",26.7,2,2,4,2,0,0,2,0,0.07,0.07,0.15,0.07,0.15,Matches
Till Schumacher,de GER,"DF,MF",SK Austria Klagenfurt,24,1997,21,17,"1,487",16.5,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches

Tobias Schützenauer,at AUT,GK,Sturm Graz,25,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Felix Seiwald,at AUT,DF,Ried,21,2000,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nicolas Seiwald,at AUT,MF,RB Salzburg,21,2001,31,29,"2,584",28.7,3,2,5,3,0,0,3,0,0.10,0.07,0.17,0.10,0.17,Matches
Benjamin Šeško,si SVN,FW,RB Salzburg,19,2003,30,23,"2,021",22.5,16,4,20,14,2,2,1,0,0.71,0.18,0.89,0.62,0.80,Matches
Ziad El Sheiwi,at AUT,DF,Austria Wien,18,2004,1,1,77,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jörg Siebenhandl,at AUT,GK,Sturm Graz,32,1990,16,16,"1,440",16.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Roko Simic,hr CRO,FW,RB Salzburg,18,2003,9,3,321,3.6,0,1,1,0,0,0,2,0,0.00,0.28,0.28,0.00,0.28,Matches
