Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Onurhan Babuscu,at AUT,MF,Gaziantep FK,18,2003,2,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kağan Bağış,,MF,İstanbulspor,24,1998,9,0,145,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Stéphane Bahoken,cm CMR,FW,Kasımpaşa,30,1992,26,18,"1,564",17.4,4,2,6,4,0,0,3,0,0.23,0.12,0.35,0.23,0.35,Matches
Riad Bajić,ba BIH,FW,Giresunspor,28,1994,34,34,"2,868",31.9,14,2,16,11,3,5,1,0,0.44,0.06,0.50,0.35,0.41,Matches
Anastasios Bakasetas,gr GRE,MF,Trabzonspor,29,1993,27,26,"2,098",23.3,8,5,13,3,5,5,9,1,0.34,0.21,0.56,0.13,0.34,Matches
Bünyamin Balcı,tr TUR,"DF,MF",Antalyaspor,22,2000,34,32,"2,810",31.2,0,3,3,0,0,0,3,1,0.00,0.10,0.10,0.00,0.10,Matches
Jure Balkovec,si SVN,DF,Alanyaspor,27,1994,29,21,"1,906",21.2,4,1,5,4,0,0,4,0,0.19,0.05,0.24,0.19,0.24,Matches
Mario Balotelli,it ITA,FW,Adana Demirspor,31,1990,2,0,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rayyan Baniya,,DF,Fatih Karagümrük,23,1999,25,25,"2,249",25.0,2,0,2,2,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches
Özgur Baran Aksaka,,MF,Galatasaray,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches

Abdülkerim Bardakcı,tr TUR,DF,Galatasaray,27,1994,30,30,"2,653",29.5,3,3,6,3,0,0,6,2,0.10,0.10,0.20,0.10,0.20,Matches
Enis Bardhi,mk MKD,MF,Trabzonspor,27,1995,30,12,"1,333",14.8,6,0,6,5,1,1,2,0,0.41,0.00,0.41,0.34,0.34,Matches
Marc Bartra,es ESP,DF,Trabzonspor,31,1991,29,25,"2,270",25.2,4,1,5,4,0,0,4,1,0.16,0.04,0.20,0.16,0.20,Matches
Sadık Baş,,"FW,DF",Hatayspor,28,1994,5,2,140,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Emrah Başsan,tr TUR,MF,Kayserispor,30,1992,26,13,"1,220",13.6,2,4,6,2,0,0,1,0,0.15,0.30,0.44,0.15,0.44,Matches
Michy Batshuayi,be BEL,FW,Fenerbahçe,28,1993,19,16,"1,211",13.5,12,1,13,9,3,3,6,1,0.89,0.07,0.97,0.67,0.74,Matches
Bilal Bayazit,nl NED,GK,Kayserispor,23,1999,30,30,"2,692",29.9,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
Altay Bayındır,tr TUR,GK,Fenerbahçe,24,1998,26,26,"2,340",26.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Furkan Bayır,tr TUR,DF,Alanyaspor,22,2000,32,31,"2,789",31.0,1,0,1,1,0,0,6,0,0.03,0.00,0.03,0.03,0.03,Matches
Gökdeniz Bayrakdar,tr TUR,MF,Antalyaspor,20,2001,13,3,412,4.6,2,0,2,2,0,0,1,0,0.44,0.00,0.44,0.44,0.44,Matches
Emin Bayram,tr TUR,DF,Galatasaray,19,2003,7,4,426,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Burak Bekaroğlu,,DF,Hatayspor,25,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Burak Bekaroğlu,,DF,Fatih Karagümrük,25,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
