Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Karim Azamoum,fr FRA,DF,Troyes,31,1990,7,4,388,4.3,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,6,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Loïc Bade,fr FRA,DF,Rennes,21,2000,14,11,985,10.9,0,1,1,0,0,0,3,1,0.3,0.3,0.5,0.8,8,45,3,0.00,0.09,0.09,0.00,0.09,0.03,0.05,0.07,0.03,0.07,Matches
Benoît Badiashile,fr FRA,DF,Monaco,20,2001,24,21,"1,838",20.4,1,0,1,1,0,0,4,0,1.6,1.6,0.4,2.0,16,111,5,0.05,0.00,0.05,0.05,0.05,0.08,0.02,0.10,0.08,0.10,Matches
Youssouph Badji,sn SEN,"FW,MF",Brest,19,2001,9,1,135,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,0,11,0.00,0.00,0.00,0.00,0.00,0.08,0.04,0.12,0.08,0.12,Matches
Stéphane Bahoken,cm CMR,FW,Angers,29,1992,29,12,"1,099",12.2,3,1,4,3,0,0,0,0,4.1,4.1,1.3,5.4,9,15,78,0.25,0.08,0.33,0.25,0.33,0.33,0.11,0.44,0.33,0.44,Matches
Dénys Bain,fr FRA,DF,Brest,28,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Stefan Bajic,fr FRA,GK,Saint-Étienne,19,2001,7,4,510,5.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Cédric Bakambu,cd COD,FW,Marseille,30,1991,12,5,356,4.0,4,0,4,4,0,0,1,0,2.6,2.6,0.4,3.0,7,9,28,1.01,0.00,1.01,1.01,1.01,0.65,0.11,0.76,0.65,0.76,Matches
Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,18,2002,4,4,307,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,18,2002,5,0,43,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,1,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches
Ibrahima Baldé,fr FRA,"FW,MF",Lens,18,2003,4,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Leonardo Balerdi,ar ARG,DF,Marseille,22,1999,17,10,950,10.6,0,0,0,0,0,0,4,1,0.1,0.1,0.0,0.1,6,41,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Abdoulaye Bamba,ci CIV,"DF,FW",Angers,31,1990,10,4,458,5.1,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,7,13,21,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.06,Matches
Jonathan Bamba,ci CIV,"MF,FW",Lille,25,1996,31,28,"2,428",27.0,1,2,3,1,0,0,3,0,3.0,3.0,3.7,6.7,101,116,200,0.04,0.07,0.11,0.04,0.11,0.11,0.14,0.25,0.11,0.25,Matches
Simon Banza,cd COD,FW,Lens,24,1996,4,1,124,1.4,1,1,2,1,0,0,0,0,1.0,1.0,0.7,1.7,2,1,8,0.73,0.73,1.45,0.73,1.45,0.73,0.53,1.26,0.73,1.26,Matches
Danilo Barbosa,br BRA,DF,Nice,25,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Bradley Barcola,fr FRA,"FW,MF",Lyon,18,2002,11,2,263,2.9,0,1,1,0,0,0,0,0,0.3,0.3,0.6,1.0,9,9,27,0.00,0.34,0.34,0.00,0.34,0.11,0.22,0.33,0.11,0.33,Matches
Melvin Bard,fr FRA,DF,Nice,20,2000,33,30,"2,589",28.8,2,2,4,2,0,0,3,0,0.9,0.9,3.4,4.3,65,134,129,0.07,0.07,0.14,0.07,0.14,0.03,0.12,0.15,0.03,0.15,Matches
Toma Bašić,hr CRO,MF,Bordeaux,24,1996,3,3,209,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,6,9,10,0.00,0.43,0.43,0.00,0.43,0.02,0.16,0.18,0.02,0.18,Matches
Amine Bassi,fr FRA,"MF,FW",Metz,23,1997,5,2,184,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,5,13,11,0.00,0.00,0.00,0.00,0.00,0.09,0.22,0.30,0.09,0.30,Matches

Paul Baysse,fr FRA,"MF,DF",Bordeaux,33,1988,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Youcef Belaïli,dz ALG,"MF,FW",Brest,29,1992,13,11,825,9.2,3,2,5,3,0,1,2,0,2.8,1.9,2.8,4.7,36,42,56,0.33,0.22,0.55,0.33,0.55,0.31,0.31,0.62,0.21,0.52,Matches
Haris Belkebla,dz ALG,MF,Brest,27,1994,31,26,"2,310",25.7,0,0,0,0,0,0,2,0,0.1,0.1,0.8,0.9,15,98,27,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.00,0.04,Matches
Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,23,1998,36,26,"2,332",25.9,2,3,5,2,0,0,5,0,1.9,1.9,2.7,4.6,75,107,90,0.08,0.12,0.19,0.08,0.19,0.07,0.10,0.18,0.07,0.18,Matches
Jeanuël Belocian,fr FRA,DF,Rennes,16,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Hatem Ben Arfa,fr FRA,"FW,MF",Lille,34,1987,7,4,314,3.5,0,1,1,0,0,0,1,0,0.3,0.3,0.7,0.9,12,14,18,0.00,0.29,0.29,0.00,0.29,0.07,0.19,0.26,0.07,0.26,Matches
Salim Ben Seghir,fr FRA,MF,Marseille,18,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Wissam Ben Yedder,fr FRA,FW,Monaco,30,1990,37,29,"2,529",28.1,25,5,30,17,8,8,3,0,18.0,11.7,5.0,16.7,59,73,238,0.89,0.18,1.07,0.60,0.78,0.64,0.18,0.82,0.42,0.59,Matches
Darío Benedetto,ar ARG,"FW,MF",Marseille,31,1990,2,0,54,0.6,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,2,2,0.00,0.00,0.00,0.00,0.00,0.43,0.06,0.49,0.43,0.49,Matches
Walter Benítez,ar ARG,GK,Nice,28,1993,37,37,"3,330",37.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Loris Benito,ch SUI,DF,Bordeaux,29,1992,1,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nabil Bentaleb,dz ALG,MF,Angers,26,1994,18,18,"1,515",16.8,1,0,1,1,0,0,4,0,0.6,0.6,0.1,0.7,12,82,16,0.06,0.00,0.06,0.06,0.06,0.04,0.00,0.04,0.04,0.04,Matches
Patrick Berg,no NOR,MF,Lens,23,1997,14,2,307,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4,15,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
Mitchell van Bergen,nl NED,"FW,MF",Reims,21,1999,20,11,983,10.9,0,0,0,0,0,0,1,0,1.2,1.2,1.3,2.5,24,14,54,0.00,0.00,0.00,0.00,0.00,0.11,0.12,0.23,0.11,0.23,Matches
Valon Berisha,xk KVX,"MF,FW",Reims,28,1993,13,5,455,5.1,0,1,1,0,0,0,2,1,0.2,0.2,0.5,0.6,4,20,15,0.00,0.20,0.20,0.00,0.20,0.04,0.09,0.13,0.04,0.13,Matches
