Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Serhii Buletsa,ua UKR,MF,Zagłębie Lubin,24,1999,28,20,"1,427",15.9,1,4,5,1,0,0,0,0,0.06,0.25,0.32,0.06,0.32,Matches
Marco Burch,ch SUI,DF,Legia Warsaw,22,2000,7,4,437,4.9,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
Jasmin Burić,ba BIH,GK,Zagłębie Lubin,36,1987,5,5,450,5.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Marcel Bykowski,pl POL,FW,Piast Gliwice,18,2004,6,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Fabian Bzdyl,pl POL,DF,Cracovia,15,2007,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dawid Błanik,pl POL,"MF,FW",Korona Kielce,26,1997,29,17,"1,398",15.5,1,4,5,1,0,0,4,0,0.06,0.26,0.32,0.06,0.32,Matches
Kaan Caliskaner,de GER,FW,Jagiellonia,23,1999,14,1,261,2.9,2,1,3,2,0,0,1,0,0.69,0.34,1.03,0.69,1.03,Matches
Frank Castañeda,co COL,MF,Radomiak Radom,29,1994,15,7,659,7.3,1,1,2,1,0,0,2,0,0.14,0.14,0.27,0.14,0.27,Matches

Berto Cayarga,es ESP,MF,Radomiak Radom,26,1996,2,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marcin Cebula,pl POL,"FW,MF",RKS Raków,27,1995,21,7,826,9.2,1,2,3,1,0,0,3,0,0.11,0.22,0.33,0.11,0.33,Matches
Thiago Ceijas,ar ARG,MF,Łódzki KS,22,2001,8,3,273,3.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
Jurgen Çelhaka,al ALB,MF,Legia Warsaw,22,2000,19,11,965,10.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Mike Cestor,,DF,Radomiak Radom,31,1992,12,9,827,9.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Alex Cetnar,pl POL,MF,Stal Mielec,16,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mateusz Chmarek,pl POL,FW,Górnik Zabrze,19,2004,5,1,139,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kacper Chodyna,pl POL,MF,Zagłębie Lubin,24,1999,33,30,"2,533",28.1,7,10,17,5,2,2,6,1,0.25,0.36,0.60,0.18,0.53,Matches
Mateusz Cholewiak,pl POL,MF,Puszcza Niepołomice,33,1990,19,13,"1,089",12.1,3,3,6,3,0,0,2,0,0.25,0.25,0.50,0.25,0.50,Matches
Michał Chrapek,pl POL,MF,Piast Gliwice,31,1992,29,23,"1,862",20.7,1,0,1,0,1,1,4,0,0.05,0.00,0.05,0.00,0.00,Matches
Mateusz Cichocki,pl POL,DF,Radomiak Radom,31,1992,20,16,"1,455",16.2,1,0,1,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches
Kacper Cichon,pl POL,MF,Puszcza Niepołomice,21,2001,3,0,13,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Andrejs Ciganiks,lv LVA,"DF,FW",Widzew Łódź,26,1997,28,13,"1,380",15.3,3,2,5,3,0,0,7,0,0.20,0.13,0.33,0.20,0.33,Matches
Valentin Cojocaru,ro ROU,GK,Pogoń Szczecin,27,1995,27,27,"2,430",27.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Rui Filipe Cunha Correia,pt POR,MF,Jagiellonia,28,1995,33,32,"2,715",30.2,9,7,16,9,0,0,6,0,0.30,0.23,0.53,0.30,0.53,Matches
Artur Crăciun,md MDA,DF,Puszcza Niepołomice,25,1998,29,29,"2,518",28.0,7,2,9,2,5,5,12,1,0.25,0.07,0.32,0.07,0.14,Matches
Ante Crnac,hr CRO,FW,RKS Raków,19,2003,26,21,"1,856",20.6,8,4,12,8,0,0,3,0,0.39,0.19,0.58,0.39,0.58,Matches
Kamil Cybulski,pl POL,"MF,FW",Widzew Łódź,17,2005,8,3,307,3.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Alan Czerwiński,pl POL,"DF,MF",Lech Poznań,30,1993,27,15,"1,467",16.3,1,1,2,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,Matches
Jakub Czerwiński,pl POL,DF,Piast Gliwice,31,1991,29,29,"2,537",28.2,1,0,1,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,Matches
Szymon Czyż,pl POL,MF,Górnik Zabrze,22,2001,24,12,"1,084",12.0,4,0,4,4,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches
Mateusz Czyżycki,pl POL,"MF,FW",Korona Kielce,25,1998,15,10,746,8.3,1,1,2,1,0,0,1,0,0.12,0.12,0.24,0.12,0.24,Matches
Damian Dąbrowski,pl POL,MF,Zagłębie Lubin,30,1992,33,33,"2,871",31.9,1,3,4,1,0,1,2,0,0.03,0.09,0.13,0.03,0.13,Matches
Robert Dadok,pl POL,"MF,DF",Ruch Chorzów,26,1996,10,10,875,9.7,1,0,1,1,0,0,2,1,0.10,0.00,0.10,0.10,0.10,Matches
Robert Dadok,pl POL,"MF,DF",Górnik Zabrze,26,1996,16,5,588,6.5,0,1,1,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,Matches

Filip Dagerstål,se SWE,DF,Lech Poznań,26,1997,7,6,523,5.8,1,0,1,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches
Adrián Dalmau,es ESP,FW,Korona Kielce,29,1994,29,10,996,11.1,5,3,8,3,2,2,2,0,0.45,0.27,0.72,0.27,0.54,Matches
Kamil Dankowski,pl POL,"DF,MF",Łódzki KS,27,1996,30,25,"2,327",25.9,0,2,2,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches
Ignacy Dawid,pl POL,MF,Widzew Łódź,20,2003,5,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ronaldo Deaconu,ro ROU,MF,Korona Kielce,26,1997,17,6,673,7.5,3,0,3,3,0,0,2,0,0.40,0.00,0.40,0.40,0.40,Matches
Adrián Diéguez,es ESP,DF,Jagiellonia,27,1996,30,30,"2,625",29.2,0,2,2,0,0,0,8,1,0.00,0.07,0.07,0.00,0.07,Matches
Noah Diliberto,fr FRA,"MF,FW",Widzew Łódź,21,2001,10,5,346,3.8,1,0,1,1,0,0,1,0,0.26,0.00,0.26,0.26,0.26,Matches
Sokratis Dioudis,gr GRE,GK,Zagłębie Lubin,30,1993,21,21,"1,889",21.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
Maciej Domański,pl POL,"FW,MF",Stal Mielec,32,1990,33,33,"2,866",31.8,3,8,11,3,0,0,1,0,0.09,0.25,0.35,0.09,0.35,Matches
Christos Donis,gr GRE,MF,Radomiak Radom,28,1994,28,20,"1,588",17.6,1,2,3,1,0,0,5,0,0.06,0.11,0.17,0.06,0.17,Matches
Barry Douglas,sct SCO,DF,Lech Poznań,33,1989,15,10,866,9.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Dawid Drachal,pl POL,"MF,FW",RKS Raków,18,2005,26,13,"1,301",14.5,3,3,6,3,0,0,2,0,0.21,0.21,0.42,0.21,0.42,Matches
Riza Durmisi,dk DEN,DF,Łódzki KS,29,1994,11,10,923,10.3,0,1,1,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,Matches
Patryk Dziczek,pl POL,MF,Piast Gliwice,25,1998,30,29,"2,509",27.9,8,0,8,1,7,8,11,0,0.29,0.00,0.29,0.04,0.04,Matches
Xavier Dziekonski,pl POL,GK,Korona Kielce,19,2003,29,29,"2,610",29.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Maksymilian Dziuba,pl POL,MF,Lech Poznań,18,2005,3,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Wiktor Długosz,pl POL,MF,Ruch Chorzów,23,2000,11,1,230,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Marco Ehmann,ro ROU,DF,Stal Mielec,22,2000,19,17,"1,452",16.1,0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches
Juergen Elitim,co COL,MF,Legia Warsaw,24,1999,33,28,"2,504",27.8,1,3,4,1,0,0,7,0,0.04,0.11,0.14,0.04,0.14,Matches
Lawrence Ennali,de GER,MF,Górnik Zabrze,21,2002,26,18,"1,666",18.5,5,1,6,4,1,1,4,1,0.27,0.05,0.32,0.22,0.27,Matches
Márton Eppel,hu HUN,FW,Warta Poznań,31,1991,21,11,"1,136",12.6,2,0,2,1,1,1,1,0,0.16,0.00,0.16,0.08,0.08,Matches
