Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Ivan Dichevski,bg BUL,GK,Arda,22,2001,3,3,270,3.0,0,,,0,0,0,2,0,0.00,,,0.00,,Matches
Dimitar Dikliev,bg BUL,FW,Botev Plovdiv,17,2006,1,0,9,0.1,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Ivaylo Dimitrov,bg BUL,MF,Etar,34,1989,22,10,908,10.1,2,,,1,1,1,3,0,0.20,,,0.10,,Matches
Kristian Dimitrov,bg BUL,DF,Levski Sofia,26,1997,25,19,"1,588",17.6,2,,,2,0,0,4,0,0.11,,,0.11,,Matches
Simeon Dimitrov,bg BUL,FW,CSKA 1948,23,2000,9,3,292,3.2,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Daniel Dimov,bg BUL,"DF,MF",Cherno More,34,1989,27,20,"1,657",18.4,3,,,3,0,0,4,0,0.16,,,0.16,,Matches
Dime Dimov,mk MKD,DF,Lokomotiv Sofia,29,1994,34,34,"3,053",33.9,0,,,0,0,0,5,0,0.00,,,0.00,,Matches
Plamen Dimov,bg BUL,"DF,MF",Etar,32,1990,14,14,"1,185",13.2,0,,,0,0,0,3,1,0.00,,,0.00,,Matches
Babacar Dione,be BEL,FW,Loko Plovdiv,26,1997,33,29,"2,359",26.2,5,,,5,0,0,2,0,0.19,,,0.19,,Matches
Ivan Dishkov,bg BUL,DF,PFC Hebar Pazardzhik,20,2003,2,0,18,0.2,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Junior Djile,it ITA,FW,Botev Vratsa,21,2001,2,0,19,0.2,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Trung Thanh Nguyen Do,bg BUL,MF,Slavia Sofia,18,2005,1,1,90,1.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Kristian Dobrev,bg BUL,FW,Slavia Sofia,22,2001,7,3,278,3.1,0,,,0,0,0,2,0,0.00,,,0.00,,Matches
Asen Donchev,bg BUL,FW,Pirin Blagoevgrad,21,2001,12,10,831,9.2,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Asen Donchev,bg BUL,FW,CSKA Sofia,21,2001,4,2,178,2.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Erol Dost,bg BUL,MF,Slavia Sofia,24,1999,32,15,"1,630",18.1,0,,,0,0,0,5,1,0.00,,,0.00,,Matches
Amadou Doumbouya,gn GUI,FW,Botev Plovdiv,20,2002,1,1,75,0.8,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Vlatko Drobarov,mk MKD,DF,Cherno More,30,1992,28,27,"2,360",26.2,2,,,2,0,0,5,1,0.08,,,0.08,,Matches

Kwadwo Duah,ch SUI,"FW,MF",Ludogorets,26,1997,24,16,"1,468",16.3,13,,,11,2,2,2,0,0.80,,,0.67,,Matches
Aleksandar Dyulgerov,bg BUL,DF,Pirin Blagoevgrad,33,1990,27,23,"2,153",23.9,0,,,0,0,0,4,0,0.00,,,0.00,,Matches
Ivan Dyulgerov,bg BUL,GK,Cherno More,24,1999,35,35,"3,143",34.9,0,,,0,0,0,7,0,0.00,,,0.00,,Matches
Stanislav Dyulgerov,bg BUL,MF,Arda,19,2003,3,0,33,0.4,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Okezie Ebenezer,ng NGA,MF,Arda,22,2001,22,18,"1,511",16.8,0,,,0,0,0,6,0,0.00,,,0.00,,Matches
Félix Eboa Eboa,cm CMR,"DF,MF",Arda,26,1997,4,3,260,2.9,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Mark Emilio Papazov,bg BUL,FW,CSKA Sofia,19,2003,3,1,94,1.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Mark Emilio Papazov,bg BUL,FW,PFC Hebar Pazardzhik,19,2003,15,11,821,9.1,3,,,3,0,0,0,0,0.33,,,0.33,,Matches
John Emmanuel,ng NGA,DF,Botev Plovdiv,17,2005,3,2,188,2.1,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Umeh Emmanuel,ng NGA,FW,Botev Plovdiv,18,2004,26,19,"1,613",17.9,7,,,7,0,0,0,0,0.39,,,0.39,,Matches
Bryan Esalo,fr FRA,FW,Pirin Blagoevgrad,25,1998,5,0,35,0.4,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Enzo Espinoza,ar ARG,DF,Beroe,22,2001,27,15,"1,538",17.1,0,,,0,0,0,6,0,0.00,,,0.00,,Matches
Michael Estrada,ec ECU,FW,CSKA Sofia,27,1996,17,9,846,9.4,4,,,4,0,0,2,0,0.43,,,0.43,,Matches
James Eto'o,cm CMR,DF,Botev Plovdiv,22,2000,31,27,"2,418",26.9,0,,,0,0,0,7,1,0.00,,,0.00,,Matches
Dimitar Evtimov,bg BUL,GK,CSKA Sofia,29,1993,3,2,215,2.4,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Ewandro,br BRA,"FW,MF",Loko Plovdiv,27,1996,31,30,"2,386",26.5,6,,,5,1,1,9,1,0.23,,,0.19,,Matches
Hassimi Fadiaga,gn GUI,FW,Levski Sofia,26,1997,28,16,"1,319",14.7,2,,,2,0,0,1,1,0.14,,,0.14,,Matches
Boubacar Faye Traore,sn SEN,FW,Botev Vratsa,26,1997,23,14,"1,242",13.8,3,,,3,0,0,2,0,0.22,,,0.22,,Matches
Luiz Felipe,br BRA,DF,Botev Vratsa,24,1999,17,13,"1,087",12.1,0,,,0,0,0,5,0,0.00,,,0.00,,Matches
