Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Mihajlo Ivančević,rs SRB,DF,Odense,24,1999,7,2,320,3.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Jamie Jacobs,nl NED,MF,Viborg,25,1997,9,3,276,3.1,0,1,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,Matches
Christian Jakobsen,dk DEN,"MF,FW",Hvidovre IF,30,1993,30,27,"2,215",24.6,4,3,7,4,0,0,5,0,0.16,0.12,0.28,0.16,0.28,Matches
Alassana Jatta,gm GAM,FW,Viborg,24,1999,13,0,124,1.4,1,0,1,1,0,0,0,0,0.73,0.00,0.73,0.73,0.73,Matches
Elias Jelert,dk DEN,"DF,MF",FC Copenhagen,20,2003,28,25,"2,187",24.3,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches
David Jensen,dk DEN,GK,Lyngby,31,1992,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Isak Jensen,dk DEN,"FW,MF",Viborg,19,2003,25,21,"1,680",18.7,7,2,9,7,0,0,1,0,0.37,0.11,0.48,0.37,0.48,Matches
Magnus Jensen,dk DEN,DF,Lyngby,26,1996,23,17,"1,639",18.2,2,3,5,2,0,0,4,0,0.11,0.16,0.27,0.11,0.27,Matches

Markus Jensen,dk DEN,"MF,FW",Odense,18,2005,21,2,432,4.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Oliver Jensen,dk DEN,MF,Midtjylland,21,2002,30,29,"2,591",28.8,5,4,9,5,0,0,4,0,0.17,0.14,0.31,0.17,0.31,Matches
Victor Jensen,dk DEN,DF,Midtjylland,19,2003,10,5,569,6.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ísak Jóhannesson,is ISL,MF,FC Copenhagen,20,2003,2,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mikel Johnsen,dk DEN,FW,Midtjylland,16,2006,1,0,12,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Juninho,br BRA,DF,Midtjylland,27,1995,25,14,"1,441",16.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Renato Junior,br BRA,"FW,MF",Viborg,21,2002,19,10,751,8.3,1,2,3,1,0,0,3,1,0.12,0.24,0.36,0.12,0.36,Matches
Musa Juwara,gm GAM,"FW,MF",Vejle BK,21,2001,31,17,"1,440",16.0,3,6,9,3,0,0,2,0,0.19,0.37,0.56,0.19,0.56,Matches
