Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Bruno Wilson,pt POR,DF,Vizela,25,1996,24,23,"2,048",22.8,0,1,1,0,0,0,4,0,1.2,1.2,0.9,2.2,4,41,3,0.00,0.04,0.04,0.00,0.04,0.05,0.04,0.10,0.05,0.10,Matches
Roan Wilson,cr CRC,MF,Gil Vicente FC,20,2002,5,1,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,6,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Cláudio Winck,br BRA,"DF,MF",Marítimo,28,1994,34,27,"2,421",26.9,6,3,9,2,4,4,4,0,6.1,3.0,2.9,5.9,84,132,138,0.22,0.11,0.33,0.07,0.19,0.23,0.11,0.33,0.11,0.22,Matches
Xadas,pt POR,"MF,FW",Marítimo,24,1997,32,30,"2,369",26.3,3,6,9,3,0,1,4,0,4.2,3.4,7.7,11.1,46,143,117,0.11,0.23,0.34,0.11,0.34,0.16,0.29,0.45,0.13,0.42,Matches
Abdul-Aziz Yakubu,gh GHA,FW,Rio Ave,23,1998,17,16,"1,281",14.2,7,3,10,5,2,2,2,0,3.8,2.2,1.6,3.7,20,12,88,0.49,0.21,0.70,0.35,0.56,0.27,0.11,0.38,0.15,0.26,Matches
Roman Yaremchuk,ua UKR,FW,Benfica,26,1995,2,0,50,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,3,4,0.00,0.00,0.00,0.00,0.00,0.24,0.20,0.44,0.24,0.44,Matches
Moses Yaw,gh GHA,MF,Arouca,23,1999,12,2,311,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.3,0,10,0,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08,Matches
Zaydou Youssouf,fr FRA,MF,Famalicão,23,1999,32,25,"2,143",23.8,2,0,2,2,0,0,7,1,1.2,1.2,0.4,1.6,25,115,18,0.08,0.00,0.08,0.08,0.08,0.05,0.02,0.07,0.05,0.07,Matches

Antonio Zarzana,es ESP,"MF,FW",Marítimo,20,2002,6,3,289,3.2,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,9,6,20,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,Matches
Ivan Zlobin,ru RUS,GK,Famalicão,25,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Kévin Zohi,ml MLI,"FW,MF",Vizela,25,1996,25,10,900,10.0,2,3,5,2,0,0,1,0,2.6,2.6,1.9,4.6,23,32,67,0.20,0.30,0.50,0.20,0.50,0.26,0.19,0.46,0.26,0.46,Matches
Nermin Zolotić,ba BIH,DF,Casa Pia,29,1993,29,25,"2,186",24.3,0,0,0,0,0,0,5,1,0.2,0.2,0.6,0.9,19,114,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Emilijus Zubas,lt LTU,GK,Arouca,32,1990,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
