Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Yevhen Pavlov,ua UKR,FW,FK Železničar Pančevo,32,1991,35,29,"2,142",23.8,6,2,8,5,1,1,5,0,0.25,0.08,0.34,0.21,0.29,Matches
Lazar Pavlović,rs SRB,MF,Voždovac,21,2001,6,1,176,2.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Lazar Pavlović,rs SRB,MF,Radnički Niš,21,2001,1,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Vukasin Pavlovic,rs SRB,DF,Voždovac,18,2005,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ljubiša Pecelj,ba BIH,DF,Radnički Kragujevac,29,1993,24,22,"1,958",21.8,0,3,3,0,0,0,4,0,0.00,0.14,0.14,0.00,0.14,Matches
Aleksa Pejić,rs SRB,MF,TSC Bačka Top,24,1999,12,8,692,7.7,1,0,1,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,Matches
Aleksandar Pejović,rs SRB,MF,Radnički Niš,32,1990,18,17,"1,442",16.0,1,0,1,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches
Aleksandar Pejović,rs SRB,MF,Mladost Lučani,32,1990,16,16,"1,382",15.4,0,1,1,0,0,0,7,0,0.00,0.07,0.07,0.00,0.07,Matches
Nuno Pereira,pt POR,MF,Mladost Lučani,22,2000,3,1,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marko Petković,rs SRB,DF,Radnički Niš,30,1992,13,12,"1,082",12.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Mihajlo Petkovic,rs SRB,FW,Novi Pazar,19,2004,15,5,513,5.7,2,0,2,2,0,0,3,1,0.35,0.00,0.35,0.35,0.35,Matches
Sava Petrov,rs SRB,FW,Radnički Niš,25,1998,19,17,"1,413",15.7,6,2,8,4,2,2,1,0,0.38,0.13,0.51,0.25,0.38,Matches
Bogdan Petrovic,rs SRB,FW,Voždovac,18,2004,13,5,571,6.3,0,1,1,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16,Matches
Danilo Petrović,rs SRB,DF,Mladost Lučani,16,2007,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
David Petrovic,rs SRB,DF,Radnički Niš,20,2003,31,31,"2,763",30.7,1,0,1,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,Matches
Luka Petrović,rs SRB,DF,Javor Ivanjica,26,1997,6,0,49,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Luka Petrović,rs SRB,DF,FK Železničar Pančevo,26,1997,7,4,286,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches

Nemanja Petrović,rs SRB,DF,TSC Bačka Top,31,1992,35,33,"2,818",31.3,0,1,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,Matches
Njegoš Petrović,rs SRB,MF,Vojvodina,24,1999,17,16,"1,352",15.0,4,1,5,4,0,0,5,0,0.27,0.07,0.33,0.27,0.33,Matches
Todor Petrović,ba BIH,MF,Javor Ivanjica,28,1994,29,20,"1,564",17.4,2,0,2,2,0,0,5,0,0.12,0.00,0.12,0.12,0.12,Matches
Zvonimir Petrović,ba BIH,MF,Javor Ivanjica,22,2000,5,0,98,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Stefan Pirgic,rs SRB,MF,Voždovac,20,2003,13,9,675,7.5,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
Aleksandar Popovic,rs SRB,DF,Radnički Kragujevac,24,1999,9,8,680,7.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Matija Popović,rs SRB,DF,TSC Bačka Top,16,2007,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nikola Popović,rs SRB,GK,Javor Ivanjica,17,2006,1,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Zoran Popović,rs SRB,GK,Red Star,35,1988,3,2,225,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Mirza Prguda,ba BIH,MF,Novi Pazar,18,2005,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sava Pribaković,rs SRB,DF,Mladost Lučani,20,2003,6,2,190,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Vladimir Prijović,rs SRB,DF,Napredak Kruš,21,2002,4,4,360,4.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Vladimir Prijović,rs SRB,DF,Spartak Subotic,21,2002,23,18,"1,665",18.5,1,0,1,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches
Mateja Prokopijević,rs SRB,MF,Čukarički,16,2007,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Stefan Purtic,rs SRB,MF,FK Železničar Pančevo,24,1998,20,14,"1,243",13.8,0,1,1,0,0,0,7,0,0.00,0.07,0.07,0.00,0.07,Matches
Marko Putinčanin,rs SRB,"FW,MF",Napredak Kruš,35,1987,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Milan Radin,rs SRB,MF,TSC Bačka Top,32,1991,31,25,"2,232",24.8,2,2,4,2,0,0,11,1,0.08,0.08,0.16,0.08,0.16,Matches
Vladimir Radivojević,rs SRB,MF,Mladost Lučani,37,1986,22,1,417,4.6,0,1,1,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,Matches
Vladimir Radocaj,rs SRB,FW,FK IMT Novi Beograd,24,1998,36,30,"2,582",28.7,1,4,5,1,0,0,5,1,0.03,0.14,0.17,0.03,0.17,Matches
Viktor Radojevic,rs SRB,DF,Red Star,19,2004,6,3,249,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Andrija Radovanović,rs SRB,DF,Radnički Kragujevac,22,2000,3,3,225,2.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Andrija Radulović,me MNE,FW,Vojvodina,21,2002,33,24,"2,223",24.7,7,9,16,6,1,1,2,0,0.28,0.36,0.65,0.24,0.61,Matches
Lazar Raičević,rs SRB,GK,Javor Ivanjica,25,1998,3,2,253,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marko Rakonjac,me MNE,MF,TSC Bačka Top,23,2000,23,5,719,8.0,2,3,5,2,0,0,2,0,0.25,0.38,0.63,0.25,0.63,Matches
Stefan Ranđelović,rs SRB,GK,Radnik Surdulica,24,1999,32,32,"2,808",31.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches

Luka Ratkovic,rs SRB,FW,Javor Ivanjica,26,1997,22,2,354,3.9,1,0,1,1,0,0,4,0,0.25,0.00,0.25,0.25,0.25,Matches
Miloš Ristić,rs SRB,DF,Radnički Kragujevac,28,1995,31,28,"2,425",26.9,4,4,8,2,2,2,8,0,0.15,0.15,0.30,0.07,0.22,Matches
Milan Rodić,rs SRB,DF,Red Star,32,1991,26,22,"1,938",21.5,3,1,4,3,0,0,2,0,0.14,0.05,0.19,0.14,0.19,Matches
Viktor Rogan,rs SRB,DF,Čukarički,20,2002,17,7,679,7.5,2,0,2,2,0,0,4,0,0.27,0.00,0.27,0.27,0.27,Matches
Milan Roganović,me MNE,MF,Partizan,17,2005,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Filip Rogić,se SWE,MF,FK IMT Novi Beograd,30,1993,2,0,15,0.2,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
Lazar Romanić,rs SRB,"FW,MF",FK Železničar Pančevo,25,1998,35,33,"2,786",31.0,8,3,11,7,1,2,4,0,0.26,0.10,0.36,0.23,0.32,Matches
Miloš Rošević,rs SRB,FW,Spartak Subotic,22,2001,12,4,466,5.2,1,1,2,1,0,0,1,0,0.19,0.19,0.39,0.19,0.39,Matches
Dragan Rosić,rs SRB,GK,Vojvodina,26,1996,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Dragan Rosić,rs SRB,GK,Radnički Niš,26,1996,17,17,"1,530",17.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Lazar Rosić,rs SRB,DF,Vojvodina,30,1993,15,15,"1,327",14.7,0,1,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches
Edin Rustemović,ba BIH,MF,Radnik Surdulica,30,1993,11,9,712,7.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Damir Sadiković,ba BIH,MF,Napredak Kruš,28,1995,13,5,627,7.0,1,0,1,1,0,0,0,0,0.14,0.00,0.14,0.14,0.14,Matches
Wajdi Sahli,tn TUN,FW,Radnički Kragujevac,26,1997,29,21,"1,624",18.0,8,6,14,8,0,0,10,0,0.44,0.33,0.78,0.44,0.78,Matches
Saldanha,br BRA,FW,Partizan,23,1999,27,24,"2,014",22.4,17,4,21,14,3,3,9,0,0.76,0.18,0.94,0.63,0.80,Matches
