Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Dimitris Chatziisaias,gr GRE,DF,Atromitos,28,1992,21,20,"1,607",17.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Ilias Chatzitheodoridis,gr GRE,"MF,DF",Panathinaikos,23,1997,6,2,252,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Raman Chibsah,gh GHA,"MF,DF",Apollon Smyrnis,28,1993,13,7,629,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Diamantis Chouchoumis,gr GRE,DF,Panetolikos,27,1994,20,19,"1,644",18.3,0,1,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,Matches
Lefteris Choutesiotis,gr GRE,GK,Ionikos,27,1994,31,31,"2,790",31.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches

Georgios Christodoulis,gr GRE,GK,Ionikos,20,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Giannis Christopoulos,gr GRE,DF,Asteras Tripoli,21,2000,16,15,"1,384",15.4,1,0,1,1,0,0,0,0,0.07,0.00,0.07,0.07,0.07,Matches
Dmytro Chygrynskiy,ua UKR,DF,Ionikos,34,1986,27,27,"2,364",26.3,1,0,1,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,Matches
Antonio Čolak,hr CRO,FW,PAOK,27,1993,15,8,711,7.9,2,1,3,2,0,0,0,0,0.25,0.13,0.38,0.25,0.38,Matches
Derek Cornelius,ca CAN,DF,Panetolikos,23,1997,29,28,"2,490",27.7,2,0,2,2,0,0,11,0,0.07,0.00,0.07,0.07,0.07,Matches
Jorge Correa,ar ARG,"MF,FW",Volos NFC,28,1993,10,3,343,3.8,1,1,2,1,0,0,0,0,0.26,0.26,0.52,0.26,0.52,Matches
Julián Cuesta,es ESP,GK,Aris,30,1991,27,27,"2,430",27.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Nadrey Dago,ci CIV,MF,Panetolikos,24,1997,12,7,584,6.5,1,1,2,1,0,0,2,0,0.15,0.15,0.31,0.15,0.31,Matches
Dálcio,gw GNB,MF,Ionikos,25,1996,31,30,"2,545",28.3,4,1,5,4,0,0,3,1,0.14,0.04,0.18,0.14,0.18,Matches
Abiola Dauda,ng NGA,"FW,MF",Apollon Smyrnis,33,1988,24,13,"1,099",12.2,4,1,5,4,0,0,0,0,0.33,0.08,0.41,0.33,0.41,Matches
Antonis Dedakis,gr GRE,MF,Apollon Smyrnis,26,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Didier Delgado,co COL,"DF,MF",Ionikos,29,1992,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Georgios Delizisis,gr GRE,DF,Aris,33,1987,7,2,252,2.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Đorđe Denić,rs SRB,MF,Atromitos,25,1996,29,16,"1,490",16.6,1,1,2,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,Matches
Denis,br BRA,GK,Aris,34,1987,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Apostolos Diamantis,gr GRE,DF,OFI Crete,21,2000,16,11,"1,036",11.5,1,0,1,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,Matches
Jorge Diaz,uy URU,"MF,FW",Panetolikos,32,1989,14,10,915,10.2,3,0,3,3,0,0,0,0,0.30,0.00,0.30,0.30,0.30,Matches
Sokratis Dioudis,gr GRE,GK,Panathinaikos,28,1993,11,11,990,11.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Domingues,br BRA,DF,Apollon Smyrnis,32,1988,20,20,"1,741",19.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Juan Domínguez,es ESP,"MF,FW",PAS Giannina,31,1990,29,29,"2,468",27.4,1,0,1,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,Matches
Douglas,br BRA,MF,PAOK,24,1997,21,16,"1,445",16.1,3,3,6,2,1,1,6,0,0.19,0.19,0.37,0.12,0.31,Matches
Cheick Doukouré,ci CIV,MF,Aris,28,1992,10,6,608,6.8,1,0,1,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches
Alexandros Doumas,gr GRE,DF,Apollon Smyrnis,18,2003,2,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mike van Duinen,nl NED,FW,OFI Crete,29,1991,21,11,922,10.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Fiorin Durmishaj,gr GRE,"FW,MF",OFI Crete,24,1996,23,12,"1,207",13.4,3,1,4,3,0,0,1,0,0.22,0.07,0.30,0.22,0.30,Matches

Christos Eleftheriadis,gr GRE,"MF,FW",PAS Lamia,29,1991,19,10,910,10.1,2,0,2,2,0,0,0,1,0.20,0.00,0.20,0.20,0.20,Matches
Luis Enrique Palma,hn HON,FW,Aris,21,2000,11,4,391,4.3,2,0,2,2,0,0,0,0,0.46,0.00,0.46,0.46,0.46,Matches
Devis Epassy,cm CMR,GK,OFI Crete,28,1993,23,23,"2,070",23.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
August Erlingmark,se SWE,"MF,DF",Atromitos,23,1998,16,10,939,10.4,2,1,3,2,0,0,1,0,0.19,0.10,0.29,0.19,0.29,Matches
Rodrigo Erramuspe,ar ARG,DF,PAS Giannina,31,1990,33,33,"2,950",32.8,6,2,8,0,6,6,7,0,0.18,0.06,0.24,0.00,0.06,Matches
Anderson Esiti,ng NGA,MF,PAOK,27,1994,11,4,377,4.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Bandiougou Fadiga,fr FRA,MF,Olympiacos,20,2001,5,2,134,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Manuel Fernandes,pt POR,MF,Apollon Smyrnis,35,1986,4,0,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Paolo Fernandes,es ESP,"MF,FW",Volos NFC,22,1998,27,25,"2,229",24.8,5,3,8,5,0,0,8,1,0.20,0.12,0.32,0.20,0.32,Matches
Franco Ferrari,ar ARG,DF,Volos NFC,29,1992,28,28,"2,520",28.0,2,2,4,2,0,0,8,0,0.07,0.07,0.14,0.07,0.14,Matches
Deybi Flores,hn HON,MF,Panetolikos,25,1996,32,30,"2,650",29.4,2,2,4,2,0,0,4,0,0.07,0.07,0.14,0.07,0.14,Matches
Kostas Fortounis,gr GRE,MF,Olympiacos,28,1992,3,1,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Alexander Fransson,se SWE,MF,AEK Athens,27,1994,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mijat Gaćinović,rs SRB,MF,Panathinaikos,26,1995,13,12,794,8.8,0,4,4,0,0,0,1,0,0.00,0.45,0.45,0.00,0.45,Matches
Konstantinos Galanopoulos,gr GRE,MF,AEK Athens,23,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Felipe Gallegos,cl CHI,MF,OFI Crete,29,1991,21,20,"1,766",19.6,2,3,5,2,0,0,5,0,0.10,0.15,0.25,0.10,0.25,Matches
Lucas Galvão,br BRA,DF,Atromitos,30,1991,11,10,853,9.5,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
Bruno Gama,pt POR,MF,Aris,33,1987,27,15,"1,402",15.6,5,2,7,2,3,3,0,0,0.32,0.13,0.45,0.13,0.26,Matches
Cristian Ganea,ro ROU,DF,Aris,29,1992,30,27,"2,378",26.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Athanasios Garavelis,gr GRE,GK,PAS Lamia,28,1992,18,18,"1,620",18.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Levi Garcia,tt TRI,"MF,FW",AEK Athens,23,1997,33,25,"2,095",23.3,7,4,11,7,0,0,1,1,0.30,0.17,0.47,0.30,0.47,Matches
Mateo García,ar ARG,MF,Aris,24,1996,30,12,"1,344",14.9,4,2,6,4,0,0,3,0,0.27,0.13,0.40,0.27,0.40,Matches
Rubén García,es ESP,DF,Asteras Tripoli,22,1998,15,7,691,7.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Michael Gardawski,de GER,"MF,DF",PAS Giannina,30,1990,21,21,"1,646",18.3,1,3,4,1,0,0,7,0,0.05,0.16,0.22,0.05,0.22,Matches
Franco Gastón Romero,uy URU,DF,Volos NFC,26,1995,25,22,"1,993",22.1,0,1,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,Matches

Savvas Gentsoglou,gr GRE,MF,PAS Lamia,30,1990,18,12,878,9.8,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Rudy Gestede,bj BEN,FW,Panetolikos,32,1988,3,0,76,0.8,1,0,1,1,0,0,0,0,1.18,0.00,1.18,1.18,1.18,Matches
David Giannaki,gr GRE,MF,Apollon Smyrnis,17,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
