Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Oussama El Azzouzi,ma MAR,MF,Union SG,21,2001,17,3,510,5.7,0,0,0,0,0,0,0,1,0.1,0.1,0.0,0.1,2,26,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Abou-Malal Ba,fr FRA,MF,R.F.C. Seraing,24,1998,9,9,661,7.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,7,22,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Youssouph Badji,sn SEN,"FW,MF",Charleroi,20,2001,26,12,"1,184",13.2,5,0,5,5,0,0,2,0,3.3,3.3,1.2,4.5,15,18,92,0.38,0.00,0.38,0.38,0.38,0.25,0.09,0.34,0.25,0.34,Matches
Bilal Bafdili,be BEL,"MF,FW",Mechelen,17,2004,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jonas Bager,dk DEN,DF,Charleroi,26,1996,23,21,"1,721",19.1,1,0,1,1,0,0,4,0,0.3,0.3,0.0,0.3,16,90,6,0.05,0.00,0.05,0.05,0.05,0.02,0.00,0.02,0.02,0.02,Matches
Brandon Baiye,be BEL,MF,Eupen,21,2000,8,7,465,5.2,1,0,1,1,0,0,0,1,0.1,0.1,0.1,0.2,4,16,10,0.19,0.00,0.19,0.19,0.19,0.02,0.03,0.04,0.02,0.04,Matches
Michel-Ange Balikwisha,be BEL,FW,Antwerp,21,2001,27,22,"1,865",20.7,6,1,7,6,0,0,0,0,4.1,4.1,2.6,6.7,73,63,211,0.29,0.05,0.34,0.29,0.34,0.20,0.12,0.32,0.20,0.32,Matches
William Balikwisha,cd COD,"MF,FW",Standard Liège,23,1999,31,29,"2,302",25.6,5,4,9,5,0,0,3,1,4.4,4.4,2.5,6.9,101,126,156,0.20,0.16,0.35,0.20,0.35,0.18,0.10,0.28,0.18,0.28,Matches
Mateo Barać,hr CRO,DF,Oostende,28,1994,6,5,391,4.3,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,1,13,2,0.00,0.00,0.00,0.00,0.00,0.11,0.02,0.14,0.11,0.14,Matches
Jacob Barrett Laursen,dk DEN,"DF,MF",Standard Liège,27,1994,16,8,736,8.2,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.2,14,34,53,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Jelle Bataille,be BEL,DF,Antwerp,23,1999,31,22,"1,986",22.1,0,3,3,0,0,0,2,0,0.8,0.8,2.7,3.5,89,145,130,0.00,0.14,0.14,0.00,0.14,0.04,0.12,0.16,0.04,0.16,Matches
David Bates,sct SCO,DF,Mechelen,25,1996,25,22,"1,989",22.1,2,0,2,2,0,0,6,1,1.8,1.8,0.1,1.9,4,37,4,0.09,0.00,0.09,0.09,0.09,0.09,0.01,0.09,0.09,0.09,Matches
Nick Bätzner,de GER,"FW,MF",Oostende,22,2000,30,23,"1,893",21.0,6,4,10,6,0,1,4,0,5.5,4.8,3.9,8.6,27,78,114,0.29,0.19,0.48,0.29,0.48,0.26,0.18,0.45,0.23,0.41,Matches
Robert Bauer,de GER,DF,Sint-Truiden,27,1995,24,22,"1,891",21.0,0,1,1,0,0,0,6,1,0.1,0.1,0.1,0.2,19,86,14,0.00,0.05,0.05,0.00,0.05,0.01,0.01,0.01,0.01,0.01,Matches
